cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.103521,0.106889,-0.00336818,0.137218,0.140687,-0.000649242,-0.000687499,0.103526,0.106894,False,0.36323875000000005,0.103521,0.106889,-0.00336818,False,0.664007,0.347312,0.420621,0.448334,0.374241,0.221486,0.08,0.349909,0.335802,0.335802,1.21878,1.21874,
1,initial_eval,1,0,False,False,0.147645,0.15343,-0.00578479,0.182658,0.188621,-0.000164454,-0.000237538,0.147649,0.153434,False,0.568499,0.147645,0.15343,-0.00578479,False,0.770218,0.770217,0.770216,0.770218,0.38901,0.16426,0.143636,0.770217,0.335943,0.335941,1.20796,1.20786,
2,initial_eval,2,0,False,False,0.11832,0.11894,-0.000619186,0.152459,0.153096,-0.000967316,-0.00100234,0.118325,0.118944,False,0.366943025,0.11832,0.11894,-0.000619186,False,0.433327,0.634002,0.607173,0.451917,0.272293,0.0885468,0.0878204,0.360465,0.335787,0.335786,1.19768,1.19755,
3,initial_eval,3,0,False,False,0.132953,0.133553,-0.000600155,0.167522,0.168139,-0.00057563,-0.000607797,0.132957,0.133557,False,0.45541875,0.132953,0.133553,-0.000600155,False,0.548402,0.475704,0.594567,0.647234,0.133951,0.584446,0.111895,0.547151,0.335785,0.335779,1.18728,1.18719,
4,initial_eval,4,0,False,False,0.102406,0.10518,-0.00277452,0.13607,0.138927,0.0013613,0.00129748,0.102411,0.105186,False,0.333324,0.102406,0.10518,-0.00277452,False,0.479241,0.427603,0.454395,0.476556,0.130635,0.194081,0.124699,0.379382,0.335992,0.335983,1.17724,1.17715,
5,initial_eval,5,0,False,False,0.0780333,0.0807642,-0.00273091,0.110957,0.113771,0.00477213,0.00471463,0.0780395,0.0807702,False,0.24616274999999999,0.0780333,0.0807642,-0.00273091,False,0.343936,0.323118,0.344081,0.347789,0.12845,0.190829,0.093264,0.197835,0.336863,0.336844,1.16752,1.16739,
6,initial_eval,6,0,False,False,0.143247,0.142956,0.000291818,0.178124,0.177829,-0.0018737,-0.00186893,0.143251,0.14296,True,0.578626125,0.143247,0.142956,0.000291818,True,0.633769,0.770218,0.723853,0.569535,0.488999,0.591506,0.233341,0.617788,0.33571,0.335712,1.15713,1.15701,
7,initial_eval,7,0,False,False,0.117242,0.117539,-0.000296656,0.151349,0.151654,0.000720399,0.0006957,0.117247,0.117544,False,0.40630849999999996,0.117242,0.117539,-0.000296656,False,0.456787,0.651138,0.65153,0.499602,0.265059,0.193152,0.161731,0.371469,0.336017,0.336016,1.14728,1.14717,
8,initial_eval,8,0,False,False,0.105785,0.10858,-0.00279516,0.13955,0.142429,0.000551896,0.000486055,0.105791,0.108585,False,0.30411545,0.105785,0.10858,-0.00279516,False,0.501218,0.453388,0.451211,0.438229,0.0945425,0.130259,0.0872071,0.276869,0.33594,0.33593,1.13985,1.13982,
9,initial_eval,9,0,False,False,0.115829,0.120608,-0.00477861,0.149894,0.154814,0.000101493,2.25452e-05,0.115834,0.120612,False,0.39729912500000003,0.115829,0.120608,-0.00477861,False,0.633769,0.382031,0.461924,0.677347,0.117374,0.417784,0.129989,0.358175,0.335823,0.335813,1.13963,1.1396,
10,initial_eval,10,0,False,False,0.12606,0.122901,0.00315826,0.160427,0.157175,-0.00159388,-0.00160958,0.126064,0.122906,True,0.4931313749999999,0.12606,0.122901,0.00315826,True,0.359347,0.662439,0.734394,0.515779,0.30394,0.547472,0.325115,0.496565,0.335693,0.335688,1.1396,1.13968,
11,initial_eval,11,0,False,False,0.0912426,0.0927872,-0.00154461,0.12457,0.126161,0.00201026,0.00189959,0.0912484,0.0927929,False,0.29748745,0.0912426,0.0927872,-0.00154461,False,0.403619,0.401778,0.463042,0.369689,0.0965016,0.204764,0.15483,0.285676,0.336192,0.336168,1.13993,1.13993,
12,initial_eval,12,0,False,False,0.0995305,0.102753,-0.00322268,0.133108,0.136427,0.000989688,0.000963662,0.0995361,0.102759,False,0.3282359625,0.0995305,0.102753,-0.00322268,False,0.507996,0.379869,0.429527,0.50881,0.0939397,0.258832,0.143253,0.303661,0.336013,0.336011,1.13969,1.13966,
13,initial_eval,13,0,False,False,0.0864351,0.0874031,-0.000968006,0.119616,0.120613,0.00364398,0.00356903,0.086441,0.0874089,False,0.2596300125,0.0864351,0.0874031,-0.000968006,False,0.300618,0.403654,0.470055,0.271086,0.10803,0.212289,0.0883571,0.222951,0.336611,0.336588,1.13991,1.13992,
14,initial_eval,14,0,False,False,0.10372,0.106459,-0.00273978,0.137423,0.140244,0.00074798,0.000709825,0.103725,0.106464,False,0.32813325,0.10372,0.106459,-0.00273978,False,0.532304,0.486761,0.462999,0.397812,0.08,0.310763,0.138346,0.216081,0.33601,0.336004,1.13959,1.13957,
15,initial_eval,15,0,False,False,0.107275,0.109128,-0.00185315,0.141084,0.142993,-5.87073e-05,-6.16593e-05,0.10728,0.109133,False,0.357468625,0.107275,0.109128,-0.00185315,False,0.455622,0.445758,0.510799,0.482181,0.107503,0.326463,0.125082,0.406341,0.335772,0.335774,1.13971,1.13971,
16,initial_eval,16,0,False,False,0.133666,0.135895,-0.00222841,0.168257,0.17055,0.000958365,0.000926094,0.13367,0.135898,False,0.442336,0.133666,0.135895,-0.00222841,False,0.719876,0.627597,0.676656,0.596215,0.160624,0.128865,0.203133,0.425722,0.336055,0.336055,1.13944,1.13943,
17,initial_eval,17,0,False,False,0.111621,0.114563,-0.00294174,0.145561,0.14859,0.000326421,0.000282315,0.111626,0.114568,False,0.370985,0.111621,0.114563,-0.00294174,False,0.568791,0.520787,0.507744,0.551567,0.195436,0.08,0.256725,0.28683,0.336005,0.336006,1.13992,1.13991,
18,initial_eval,18,0,False,False,0.149356,0.147226,0.00212968,0.184424,0.182227,-0.00234269,-0.0023404,0.14936,0.14723,True,0.654108375,0.149356,0.147226,0.00212968,True,0.582507,0.770216,0.770218,0.770217,0.465188,0.770218,0.334085,0.770218,0.335671,0.33567,1.13929,1.13934,
19,initial_eval,19,0,False,False,0.126225,0.124683,0.00154198,0.160601,0.159013,-0.00121521,-0.00118698,0.12623,0.124688,True,0.47882912499999997,0.126225,0.124683,0.00154198,True,0.394457,0.766388,0.762185,0.538327,0.431432,0.351268,0.190252,0.396324,0.335729,0.335734,1.1399,1.1399,
20,initial_eval,20,1,False,False,0.11333,0.107406,0.00592353,0.141233,0.147341,0.00259986,0.00257876,0.107412,0.113335,True,0.328034225,0.11333,0.107406,0.00592353,True,0.113786,0.504182,0.321666,0.329471,0.770215,0.0996948,0.237788,0.247471,0.336345,0.336347,1.1399,1.13983,
21,initial_eval,21,1,False,False,0.120026,0.118377,0.00164902,0.152517,0.154214,-0.000264591,-0.000259764,0.118381,0.12003,True,0.419851875,0.120026,0.118377,0.00164902,True,0.107908,0.617438,0.606871,0.247791,0.396243,0.315501,0.674425,0.392638,0.335838,0.335845,1.13962,1.13965,
22,initial_eval,22,1,False,False,0.126373,0.122319,0.00405334,0.156572,0.160753,0.00248947,0.00246532,0.122323,0.126377,True,0.371724125,0.126373,0.122319,0.00405334,True,0.112462,0.626863,0.584413,0.120865,0.25436,0.148003,0.770216,0.356611,0.336256,0.336264,1.13967,1.13964,
23,initial_eval,23,1,False,False,0.111665,0.107532,0.00413244,0.14135,0.145605,0.00220981,0.00219925,0.107537,0.111669,True,0.3154834875,0.111665,0.107532,0.00413244,True,0.0837599,0.479907,0.444972,0.140128,0.297158,0.120504,0.702409,0.25503,0.336241,0.336254,1.13987,1.13986,
24,initial_eval,24,1,False,False,0.0721964,0.0689209,0.00327557,0.101557,0.104934,0.0106164,0.0106143,0.0689269,0.0722023,True,0.180859625,0.0721964,0.0689209,0.00327557,True,0.125702,0.245846,0.263411,0.131666,0.110366,0.172064,0.29023,0.107592,0.339114,0.339096,1.13993,1.13993,
