cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node
0,initial_eval,0,0,False,False,0.103521,0.106889,-0.00336817,0.137218,0.140687,-0.00063025,-0.000668873,0.103528,0.106896,False,0.36323862500000004,0.103521,0.106889,-0.00336817,False,0.664006,0.347312,0.420621,0.448334,0.374241,0.221486,0.08,0.349909,0.335802,0.335801,1.21927,1.21923,,,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.147638,0.153418,-0.00577958,0.182654,0.188613,-0.000161597,-0.000235078,0.147645,0.153425,False,0.568407125,0.147638,0.153418,-0.00577958,False,0.770071,0.77007,0.770069,0.770071,0.38901,0.16426,0.143636,0.77007,0.335942,0.335941,1.20845,1.20836,,,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.11832,0.118939,-0.000619196,0.152459,0.153096,-0.000943407,-0.000978488,0.118327,0.118946,False,0.3669429,0.11832,0.118939,-0.000619196,False,0.433327,0.634002,0.607172,0.451917,0.272293,0.0885468,0.0878204,0.360465,0.335786,0.335785,1.19813,1.198,,,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.132952,0.133553,-0.000600157,0.167522,0.168139,-0.000568636,-0.000600875,0.132959,0.133559,False,0.45541850000000006,0.132952,0.133553,-0.000600157,False,0.548402,0.475704,0.594566,0.647233,0.133951,0.584446,0.111895,0.547151,0.335785,0.335778,1.18777,1.18767,,,,,,,,,,,,,
4,initial_eval,4,0,False,False,0.102406,0.10518,-0.00277452,0.13607,0.138927,0.00136938,0.00130529,0.102413,0.105187,False,0.33332387500000005,0.102406,0.10518,-0.00277452,False,0.479241,0.427603,0.454394,0.476556,0.130635,0.194081,0.124699,0.379382,0.335991,0.335983,1.17769,1.17759,,,,,,,,,,,,,
5,initial_eval,5,0,False,False,0.0780335,0.0807644,-0.00273093,0.110957,0.113771,0.00478804,0.0047302,0.0780412,0.080772,False,0.246162625,0.0780335,0.0807644,-0.00273093,False,0.343936,0.323118,0.344081,0.347788,0.12845,0.190829,0.093264,0.197835,0.336862,0.336843,1.16796,1.16783,,,,,,,,,,,,,
6,initial_eval,6,0,False,False,0.143244,0.142949,0.000294389,0.178122,0.177825,-0.00187035,-0.00186558,0.14325,0.142956,True,0.5786075,0.143244,0.142949,0.000294389,True,0.633768,0.770071,0.723852,0.569535,0.488999,0.591506,0.233341,0.617788,0.33571,0.335712,1.15761,1.15749,,,,,,,,,,,,,
7,initial_eval,7,0,False,False,0.117242,0.117539,-0.000296676,0.151349,0.151654,0.000725401,0.000700619,0.117249,0.117546,False,0.40630837499999994,0.117242,0.117539,-0.000296676,False,0.456787,0.651137,0.65153,0.499602,0.265059,0.193152,0.161731,0.371469,0.336016,0.336015,1.14771,1.1476,,,,,,,,,,,,,
8,initial_eval,8,0,False,False,0.105785,0.10858,-0.00279516,0.13955,0.142429,0.00057642,0.000510222,0.105792,0.108587,False,0.30411545,0.105785,0.10858,-0.00279516,False,0.501218,0.453388,0.451211,0.438229,0.0945425,0.130259,0.0872071,0.276869,0.335939,0.335929,1.14031,1.14028,,,,,,,,,,,,,
9,initial_eval,9,0,False,False,0.115829,0.120607,-0.00477858,0.149893,0.154814,0.000109786,3.0318e-05,0.115836,0.120614,False,0.397299,0.115829,0.120607,-0.00477858,False,0.633768,0.382031,0.461924,0.677347,0.117374,0.417784,0.129989,0.358175,0.335822,0.335813,1.14009,1.14006,,,,,,,,,,,,,
10,initial_eval,10,0,False,False,0.126059,0.122901,0.0031581,0.160427,0.157175,-0.00158934,-0.00160486,0.126066,0.122908,True,0.49313112499999995,0.126059,0.122901,0.0031581,True,0.359347,0.662439,0.734393,0.515778,0.30394,0.547472,0.325115,0.496565,0.335692,0.335687,1.14007,1.14015,,,,,,,,,,,,,
11,initial_eval,11,0,False,False,0.0912425,0.0927872,-0.00154463,0.12457,0.126161,0.00202532,0.00191462,0.0912501,0.0927946,False,0.29748745,0.0912425,0.0927872,-0.00154463,False,0.403619,0.401778,0.463042,0.369689,0.0965016,0.204764,0.15483,0.285676,0.336192,0.336167,1.14036,1.14036,,,,,,,,,,,,,
12,initial_eval,12,0,False,False,0.0995304,0.102753,-0.00322268,0.133108,0.136427,0.00100456,0.00097814,0.0995378,0.10276,False,0.3282359625,0.0995304,0.102753,-0.00322268,False,0.507996,0.379869,0.429527,0.50881,0.0939397,0.258832,0.143253,0.303661,0.336012,0.336011,1.14014,1.14012,,,,,,,,,,,,,
13,initial_eval,13,0,False,False,0.0864351,0.0874032,-0.000968055,0.119616,0.120613,0.00366372,0.00358886,0.0864427,0.0874106,False,0.2596300125,0.0864351,0.0874032,-0.000968055,False,0.300618,0.403654,0.470055,0.271086,0.10803,0.212289,0.0883571,0.222951,0.33661,0.336587,1.14036,1.14036,,,,,,,,,,,,,
14,initial_eval,14,0,False,False,0.103719,0.106459,-0.00273978,0.137423,0.140244,0.000765847,0.000727378,0.103727,0.106466,False,0.32813312499999997,0.103719,0.106459,-0.00273978,False,0.532303,0.486761,0.462999,0.397812,0.08,0.310763,0.138346,0.216081,0.33601,0.336004,1.14005,1.14003,,,,,,,,,,,,,
15,initial_eval,15,0,False,False,0.107275,0.109128,-0.00185315,0.141084,0.142993,-4.67795e-05,-4.99778e-05,0.107282,0.109135,False,0.35746849999999997,0.107275,0.109128,-0.00185315,False,0.455622,0.445758,0.510799,0.48218,0.107503,0.326463,0.125082,0.406341,0.335772,0.335774,1.14017,1.14017,,,,,,,,,,,,,
16,initial_eval,16,0,False,False,0.133666,0.135894,-0.00222839,0.168257,0.17055,0.00096228,0.000929797,0.133672,0.135901,False,0.44233574999999997,0.133666,0.135894,-0.00222839,False,0.719875,0.627597,0.676656,0.596214,0.160624,0.128865,0.203133,0.425722,0.336054,0.336055,1.1399,1.13989,,,,,,,,,,,,,
17,initial_eval,17,0,False,False,0.111621,0.114563,-0.00294174,0.145561,0.14859,0.000344792,0.000297894,0.111628,0.11457,False,0.370984875,0.111621,0.114563,-0.00294174,False,0.568791,0.520787,0.507744,0.551566,0.195436,0.08,0.256725,0.28683,0.336004,0.336005,1.14036,1.14036,,,,,,,,,,,,,
18,initial_eval,18,0,False,False,0.149346,0.147219,0.0021271,0.184417,0.182222,-0.00233968,-0.00233738,0.149353,0.147225,True,0.6540163749999999,0.149346,0.147219,0.0021271,True,0.582506,0.770069,0.770071,0.77007,0.465188,0.770071,0.334085,0.770071,0.335671,0.33567,1.13976,1.13982,,,,,,,,,,,,,
19,initial_eval,19,0,False,False,0.126223,0.124681,0.00154173,0.160601,0.159013,-0.00121033,-0.001182,0.12623,0.124688,True,0.47882674999999997,0.126223,0.124681,0.00154173,True,0.394457,0.766377,0.76218,0.538326,0.431431,0.351267,0.190252,0.396324,0.335728,0.335733,1.14036,1.14036,,,,,,,,,,,,,
20,initial_eval,20,1,False,False,0.11332,0.1074,0.00591993,0.141229,0.147334,0.00261226,0.00259132,0.107408,0.113328,True,0.328015975,0.11332,0.1074,0.00591993,True,0.113786,0.504182,0.321666,0.329471,0.770069,0.0996948,0.237788,0.247471,0.336344,0.336346,1.14036,1.14029,,,,,,,,,,,,,
21,initial_eval,21,1,False,False,0.120025,0.118376,0.001649,0.152517,0.154214,-0.000255168,-0.000250663,0.118383,0.120032,True,0.41985174999999997,0.120025,0.118376,0.001649,True,0.107908,0.617438,0.606871,0.247791,0.396243,0.315501,0.674424,0.392638,0.335838,0.335845,1.14008,1.14011,,,,,,,,,,,,,
22,initial_eval,22,1,False,False,0.126371,0.122321,0.00404972,0.156573,0.160752,0.00249698,0.0024723,0.122327,0.126377,True,0.37170575,0.126371,0.122321,0.00404972,True,0.112462,0.626863,0.584413,0.120865,0.25436,0.148003,0.770069,0.356611,0.336255,0.336262,1.14013,1.1401,,,,,,,,,,,,,
23,initial_eval,23,1,False,False,0.111664,0.107532,0.00413238,0.14135,0.145605,0.00222644,0.00221514,0.107539,0.111671,True,0.3154834875,0.111664,0.107532,0.00413238,True,0.0837599,0.479907,0.444972,0.140128,0.297158,0.120504,0.702409,0.25503,0.33624,0.336253,1.14033,1.14032,,,,,,,,,,,,,
24,initial_eval,24,1,False,False,0.0721985,0.0689231,0.00327549,0.101557,0.104934,0.0106276,0.0106249,0.0689304,0.0722058,True,0.180859625,0.0721985,0.0689231,0.00327549,True,0.125702,0.245846,0.263411,0.131666,0.110366,0.172064,0.29023,0.107592,0.339111,0.339093,1.14036,1.14036,,,,,,,,,,,,,
25,initial_eval,25,1,False,False,0.0939398,0.0931376,0.000802221,0.126523,0.127349,0.00412562,0.00409923,0.0931449,0.0939471,True,0.280322125,0.0939398,0.0931376,0.000802221,True,0.116752,0.453388,0.482446,0.151576,0.152939,0.225295,0.405542,0.254639,0.336581,0.336579,1.14001,1.14003,,,,,,,,,,,,,
26,initial_eval,26,1,False,False,0.102555,0.0995801,0.00297543,0.133159,0.136224,0.00203007,0.0020639,0.0995873,0.102563,True,0.334385875,0.102555,0.0995801,0.00297543,True,0.117705,0.534373,0.376994,0.193935,0.549957,0.258089,0.383921,0.260113,0.336188,0.336204,1.14016,1.14013,,,,,,,,,,,,,
27,initial_eval,27,1,False,False,0.107187,0.100417,0.00677022,0.134038,0.141019,0.00330152,0.00319645,0.100425,0.107195,True,0.3358445,0.107187,0.100417,0.00677022,True,0.139576,0.419892,0.233553,0.432655,0.770072,0.248706,0.189562,0.25274,0.336499,0.336478,1.14021,1.14016,,,,,,,,,,,,,
28,initial_eval,28,1,False,False,0.115989,0.109511,0.00647772,0.143388,0.150058,0.00476459,0.0046056,0.109518,0.115995,True,0.2000757875,0.115989,0.109511,0.00647772,True,0.0969991,0.224223,0.0812477,0.267701,0.636232,0.13221,0.0819935,0.08,0.33721,0.337157,1.14011,1.1401,,,,,,,,,,,,,
29,initial_eval,29,1,False,False,0.0627161,0.0591213,0.00359479,0.0913514,0.0951024,0.0128119,0.0127686,0.0591251,0.0627213,True,0.17063225,0.0627161,0.0591213,0.00359479,True,0.167326,0.220959,0.201242,0.192989,0.206889,0.135926,0.120405,0.119322,0.340931,0.34083,1.14036,1.14036,,,,,,,,,,,,,
30,initial_eval,30,1,False,False,0.0994398,0.0982724,0.00116743,0.131812,0.133015,0.00287207,0.00286357,0.0982796,0.099447,True,0.29701243750000006,0.0994398,0.0982724,0.00116743,True,0.0976875,0.493411,0.47311,0.15735,0.279074,0.158222,0.463965,0.25328,0.336363,0.336369,1.13992,1.13993,,,,,,,,,,,,,
31,initial_eval,31,1,False,False,0.0927128,0.0885563,0.00415659,0.121803,0.126085,0.00448258,0.00444105,0.0885637,0.0927202,True,0.288042875,0.0927128,0.0885563,0.00415659,True,0.161394,0.322873,0.237898,0.359386,0.591248,0.303981,0.124776,0.202787,0.336743,0.336732,1.14033,1.14029,,,,,,,,,,,,,
32,initial_eval,32,1,False,False,0.0828904,0.0801728,0.00271757,0.113162,0.115962,0.00243326,0.0023342,0.0801806,0.082898,True,0.280516375,0.0828904,0.0801728,0.00271757,True,0.28902,0.349148,0.302907,0.375364,0.368515,0.190458,0.087437,0.281282,0.336354,0.336332,1.14033,1.14034,,,,,,,,,,,,,
33,initial_eval,33,1,False,False,0.0859884,0.0834021,0.00258626,0.11649,0.119155,0.00442873,0.00439393,0.0834097,0.0859958,True,0.2437802875,0.0859884,0.0834021,0.00258626,True,0.0857193,0.399819,0.309748,0.125395,0.360979,0.168719,0.336155,0.163708,0.336732,0.336729,1.14022,1.14022,,,,,,,,,,,,,
34,initial_eval,34,1,False,False,0.11201,0.103917,0.00809234,0.137646,0.14599,0.0040832,0.00391496,0.103925,0.112018,True,0.29534748749999995,0.11201,0.103917,0.00809234,True,0.146884,0.336786,0.156324,0.425586,0.770071,0.245176,0.0846769,0.197276,0.33673,0.336685,1.14002,1.13995,,,,,,,,,,,,,
