cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.00918796,0.0147485,-0.00556057,0.0399457,0.0456922,0.0185034,0.0168254,0.00919923,0.0147596,False,0.44787324999999995,0.00918796,0.0147485,-0.00556057,False,0.741245,0.57729,0.633202,0.770218,0.107267,0.142146,0.109099,0.502519,1.07215,0.886787,1.21964,1.21964,
1,initial_eval,1,0,False,False,0.00926841,0.0159091,-0.00664074,0.0400296,0.0468912,0.0179714,0.0169887,0.00927935,0.0159202,False,0.383877,0.00926841,0.0159091,-0.00664074,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,1.07226,0.839798,1.20989,1.20989,
2,initial_eval,2,0,False,False,0.015912,0.0144,0.00151204,0.0468954,0.045333,0.0175698,0.0177485,0.0159227,0.0144111,True,0.29886775000000004,0.015912,0.0144,0.00151204,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.840475,0.902751,1.20022,1.20022,
3,initial_eval,3,0,False,False,0.0152247,0.0175277,-0.00230297,0.0461854,0.048563,0.0171148,0.0165691,0.0152356,0.0175387,False,0.34778837500000004,0.0152247,0.0175277,-0.00230297,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.869336,0.7663,1.19063,1.19063,
4,initial_eval,4,0,False,False,0.0123006,0.0190833,-0.00678264,0.0431643,0.0501691,0.0178167,0.0160743,0.012312,0.0190944,False,0.383445,0.0123006,0.0190833,-0.00678264,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.980022,0.689142,1.18112,1.18112,
5,initial_eval,5,0,False,False,0.0151396,0.0175203,-0.00238064,0.0460974,0.0485554,0.0171344,0.0166176,0.0151506,0.0175314,False,0.37133174999999996,0.0151396,0.0175203,-0.00238064,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.872762,0.766449,1.17168,1.17168,
6,initial_eval,6,0,False,False,0.0138893,0.017915,-0.00402578,0.044805,0.0489617,0.0169458,0.015907,0.0139003,0.0179262,False,0.5436529999999999,0.0138893,0.017915,-0.00402578,False,0.676339,0.66374,0.770219,0.650108,0.375466,0.351668,0.149631,0.712053,0.922522,0.747367,1.16231,1.16231,
7,initial_eval,7,0,False,False,0.0149326,0.0194595,-0.00452691,0.045883,0.0505574,0.017052,0.0154647,0.0149436,0.0194702,False,0.42723375,0.0149326,0.0194595,-0.00452691,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.881243,0.670395,1.15302,1.15302,
8,initial_eval,8,0,False,False,0.0147143,0.0196068,-0.00489248,0.0456577,0.0507095,0.0169813,0.0158512,0.0147253,0.0196176,False,0.41991187500000005,0.0147143,0.0196068,-0.00489248,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.890168,0.662545,1.14381,1.14381,
9,initial_eval,9,0,False,False,0.0140516,0.0183019,-0.00425029,0.0449722,0.0493611,0.0169865,0.0151817,0.0140632,0.0183129,False,0.51256535,0.0140516,0.0183019,-0.00425029,False,0.715184,0.569406,0.590993,0.770219,0.328889,0.269307,0.0863048,0.77022,0.91591,0.728669,1.13993,1.13993,
