cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0419067,0.0514998,-0.00959307,0.073398,0.0832905,0.00834086,0.00612317,0.041908,0.0515006,False,0.44787324999999995,0.0419067,0.0514998,-0.00959307,False,0.741245,0.57729,0.633202,0.770218,0.107267,0.142146,0.109099,0.502519,0.339534,0.338035,1.21919,1.21908,
1,initial_eval,1,0,False,False,0.0441617,0.0513309,-0.00716914,0.0757247,0.0831169,0.00739332,0.00488927,0.0441629,0.0513318,False,0.383877,0.0441617,0.0513309,-0.00716914,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.339031,0.337723,1.20933,1.20917,
2,initial_eval,2,0,False,False,0.0441226,0.0417981,0.00232447,0.0756845,0.0732869,0.00776345,0.00902919,0.044124,0.0417995,True,0.29886775000000004,0.0441226,0.0417981,0.00232447,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.338702,0.339482,1.19956,1.1994,
3,initial_eval,3,0,False,False,0.046983,0.0478501,-0.000867081,0.0786341,0.079528,0.00626581,0.00617782,0.0469844,0.0478512,False,0.34778837500000004,0.046983,0.0478501,-0.000867081,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.338104,0.338057,1.18983,1.18969,
4,initial_eval,4,0,False,False,0.0439162,0.0514805,-0.00756431,0.0754716,0.0832713,0.00744551,0.00552053,0.0439176,0.0514814,False,0.383445,0.0439162,0.0514805,-0.00756431,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.33872,0.337701,1.18022,1.18,
5,initial_eval,5,0,False,False,0.0493485,0.0478127,0.00153576,0.0810732,0.0794895,0.00629456,0.00693257,0.0493495,0.0478138,True,0.37133174999999996,0.0493485,0.0478127,0.00153576,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.338053,0.338371,1.17062,1.17044,
6,initial_eval,6,0,False,False,0.0481384,0.0525447,-0.00440634,0.0798248,0.0843672,0.00563615,0.00471649,0.0481395,0.0525455,False,0.5436529999999999,0.0481384,0.0525447,-0.00440634,False,0.676339,0.66374,0.770219,0.650108,0.375466,0.351668,0.149631,0.712053,0.338029,0.337599,1.16113,1.1609,
7,initial_eval,7,0,False,False,0.0512168,0.053337,-0.00212015,0.0829994,0.0851853,0.0046215,0.00414044,0.0512179,0.0533379,False,0.42723375,0.0512168,0.053337,-0.00212015,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.33761,0.337378,1.15167,1.15144,
8,initial_eval,8,0,False,False,0.0524442,0.0534598,-0.0010156,0.084265,0.085312,0.00505234,0.00465782,0.0524451,0.0534607,False,0.41991187500000005,0.0524442,0.0534598,-0.0010156,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.337626,0.337462,1.14229,1.14205,
9,initial_eval,9,0,False,False,0.0466294,0.0531802,-0.00655075,0.0782676,0.0850219,0.0140573,0.0132269,0.0466306,0.0531809,False,0.51256535,0.0466294,0.0531802,-0.00655075,False,0.715184,0.569406,0.590993,0.770219,0.328889,0.269307,0.0863048,0.77022,0.335563,0.335007,1.13993,1.13988,
10,initial_eval,10,0,False,False,0.043637,0.0488778,-0.00524084,0.0751837,0.0805876,0.00710676,0.00626584,0.0436385,0.0488788,False,0.34533500000000006,0.043637,0.0488778,-0.00524084,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.338635,0.338085,1.13992,1.13992,
11,initial_eval,11,0,False,False,0.0461718,0.0485375,-0.00236576,0.0777975,0.0802367,0.00681828,0.00641441,0.046173,0.0485386,False,0.40108024999999997,0.0461718,0.0485375,-0.00236576,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.338384,0.338133,1.13987,1.13989,
12,initial_eval,12,0,False,False,0.0490147,0.0503916,-0.00137687,0.0807289,0.0821484,0.00536356,0.00539022,0.0490157,0.0503925,False,0.49262754999999997,0.0490147,0.0503916,-0.00137687,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.338161,0.338074,1.13986,1.13986,
