cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.139069,0.145787,-0.0067181,0.173918,0.180844,0.173917,0.180845,0.13913,0.145851,False,0.447860125,0.139069,0.145787,-0.0067181,False,0.139125,0.145845,-0.00672054,False,0.13917,0.145893,-0.00672253,False,0.13918,0.145903,-0.00672291,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.16471e-09,1.2,
1,initial_eval,1,0,False,False,0.118938,0.122372,-0.00343396,0.1532,0.156735,0.1532,0.156735,0.118999,0.122433,False,0.383877,0.118938,0.122372,-0.00343396,False,0.118994,0.122428,-0.00343399,False,0.11904,0.122474,-0.00343402,False,0.11905,0.122484,-0.00343392,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,1.2,1.16471e-09,
2,initial_eval,2,0,False,False,0.0981724,0.101092,-0.0029196,0.131814,0.134821,0.131814,0.134821,0.0982332,0.101153,False,0.29886775000000004,0.0981724,0.101092,-0.0029196,False,0.0982283,0.101148,-0.00291963,False,0.0982741,0.101194,-0.00291966,False,0.0982841,0.101204,-0.00291955,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.16471e-09,1.2,
3,initial_eval,3,0,False,False,0.0922448,0.0940874,-0.00184252,0.125707,0.127605,0.125707,0.127605,0.0923055,0.094148,False,0.34778837500000004,0.0922448,0.0940874,-0.00184252,False,0.0923005,0.094143,-0.00184251,False,0.0923462,0.0941887,-0.0018425,False,0.0923563,0.0941987,-0.00184238,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.2,1.16471e-09,
4,initial_eval,4,0,False,False,0.109579,0.114061,-0.00448208,0.143563,0.148179,0.143563,0.148179,0.109643,0.114125,False,0.383445,0.109579,0.114061,-0.00448208,False,0.109635,0.114118,-0.00448214,False,0.109682,0.114164,-0.00448218,False,0.109692,0.114174,-0.00448206,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.336055,0.336046,1.2,1.16471e-09,
5,initial_eval,5,0,False,False,0.106985,0.108577,-0.00159177,0.140892,0.142531,0.140892,0.142531,0.107049,0.108641,False,0.37133174999999996,0.106985,0.108577,-0.00159177,False,0.107041,0.108633,-0.00159176,False,0.107087,0.108679,-0.00159175,False,0.107097,0.108689,-0.00159166,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.16471e-09,1.2,
6,initial_eval,6,0,False,False,0.140319,0.141359,-0.0010401,0.175226,0.176276,0.175228,0.176275,0.140387,0.141422,False,0.54363925,0.140319,0.141359,-0.0010401,False,0.140379,0.141415,-0.00103607,False,0.140428,0.141461,-0.00103276,False,0.140438,0.14147,-0.00103194,False,0.676339,0.66374,0.770109,0.650108,0.375466,0.351668,0.149631,0.712053,0.335777,0.335785,1.16471e-09,1.2,
7,initial_eval,7,0,False,False,0.113264,0.118626,-0.00536265,0.147358,0.15288,0.147358,0.15288,0.113328,0.11869,False,0.42723375,0.113264,0.118626,-0.00536265,False,0.11332,0.118683,-0.00536286,False,0.113366,0.118729,-0.00536302,False,0.113376,0.118739,-0.0053629,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.16471e-09,1.2,
8,initial_eval,8,0,False,False,0.111151,0.113462,-0.00231044,0.145182,0.147561,0.145182,0.147561,0.111215,0.113526,False,0.41991187500000005,0.111151,0.113462,-0.00231044,False,0.111208,0.113518,-0.00231046,False,0.111254,0.113564,-0.00231047,False,0.111264,0.113574,-0.00231036,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,1.16471e-09,1.2,
9,initial_eval,9,0,False,False,0.133764,0.142063,-0.00829883,0.168461,0.177021,0.16846,0.177023,0.133827,0.14213,False,0.512537975,0.133764,0.142063,-0.00829883,False,0.13382,0.142122,-0.00830264,False,0.133866,0.142172,-0.00830575,False,0.133876,0.142182,-0.00830639,False,0.715184,0.569406,0.590993,0.77011,0.328889,0.269307,0.0863048,0.77011,0.335808,0.335802,1.16471e-09,1.2,
