cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.139069,0.145787,-0.00671809,0.173918,0.180844,0.173917,0.180845,0.13913,0.14585,False,0.447860125,0.139069,0.145787,-0.00671809,False,0.139125,0.145845,-0.00672053,False,0.13917,0.145893,-0.00672253,False,0.13918,0.145903,-0.00672291,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.16471e-09,1.2,
1,initial_eval,1,0,False,False,0.118937,0.122371,-0.00343393,0.1532,0.156735,0.1532,0.156735,0.118999,0.122433,False,0.383877,0.118937,0.122371,-0.00343393,False,0.118994,0.122428,-0.00343397,False,0.11904,0.122474,-0.00343399,False,0.11905,0.122484,-0.00343389,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,1.2,1.16471e-09,
2,initial_eval,2,0,False,False,0.0981716,0.101091,-0.00291957,0.131813,0.13482,0.131813,0.13482,0.0982324,0.101152,False,0.29886775000000004,0.0981716,0.101091,-0.00291957,False,0.0982275,0.101147,-0.00291959,False,0.0982733,0.101193,-0.00291961,False,0.0982832,0.101203,-0.0029195,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.2,1.16471e-09,
3,initial_eval,3,0,False,False,0.0922436,0.094086,-0.00184243,0.125706,0.127604,0.125706,0.127604,0.0923042,0.0941466,False,0.34778837500000004,0.0922436,0.094086,-0.00184243,False,0.0922993,0.0941417,-0.00184242,False,0.0923449,0.0941873,-0.00184241,False,0.092355,0.0941973,-0.00184229,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.16471e-09,1.2,
4,initial_eval,4,0,False,False,0.109578,0.11406,-0.00448197,0.143562,0.148177,0.143562,0.148177,0.109641,0.114123,False,0.383445,0.109578,0.11406,-0.00448197,False,0.109634,0.114116,-0.00448203,False,0.10968,0.114162,-0.00448207,False,0.10969,0.114172,-0.00448196,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.336055,0.336046,1.2,1.16471e-09,
5,initial_eval,5,0,False,False,0.106983,0.108575,-0.00159161,0.14089,0.142528,0.14089,0.142528,0.107047,0.108638,False,0.37133174999999996,0.106983,0.108575,-0.00159161,False,0.107039,0.108631,-0.0015916,False,0.107085,0.108677,-0.00159159,False,0.107095,0.108687,-0.0015915,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.16471e-09,1.2,
6,initial_eval,6,0,False,False,0.140317,0.141357,-0.00103998,0.175224,0.176274,0.175226,0.176274,0.140385,0.141421,False,0.54363925,0.140317,0.141357,-0.00103998,False,0.140377,0.141413,-0.00103595,False,0.140426,0.141459,-0.00103264,False,0.140437,0.141469,-0.00103182,False,0.676339,0.66374,0.770109,0.650108,0.375466,0.351668,0.149631,0.712053,0.335777,0.335785,1.16471e-09,1.2,
7,initial_eval,7,0,False,False,0.113261,0.118624,-0.00536247,0.147355,0.152878,0.147355,0.152878,0.113325,0.118688,False,0.42723375,0.113261,0.118624,-0.00536247,False,0.113318,0.11868,-0.00536268,False,0.113364,0.118727,-0.00536283,False,0.113374,0.118737,-0.00536272,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.2,1.16471e-09,
8,initial_eval,8,0,False,False,0.111149,0.113459,-0.00231023,0.145179,0.147558,0.145179,0.147558,0.111212,0.113523,False,0.41991187500000005,0.111149,0.113459,-0.00231023,False,0.111205,0.113515,-0.00231025,False,0.111251,0.113561,-0.00231026,False,0.111261,0.113571,-0.00231015,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,1.2,1.16471e-09,
9,initial_eval,9,0,False,False,0.133761,0.14206,-0.00829863,0.168458,0.177018,0.168458,0.17702,0.133825,0.142128,False,0.512537975,0.133761,0.14206,-0.00829863,False,0.133817,0.14212,-0.00830244,False,0.133863,0.142169,-0.00830555,False,0.133873,0.142179,-0.0083062,False,0.715184,0.569406,0.590993,0.77011,0.328889,0.269307,0.0863048,0.77011,0.335808,0.335802,1.16471e-09,1.2,
