cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.139069,0.145787,-0.00671809,0.173918,0.180844,0.173917,0.180845,0.13913,0.14585,False,0.447860125,0.139069,0.145787,-0.00671809,False,0.139125,0.145845,-0.00672053,False,0.13917,0.145893,-0.00672253,False,0.13918,0.145903,-0.00672291,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.21959,1.21952,
1,initial_eval,1,0,False,False,0.118937,0.122371,-0.00343393,0.1532,0.156735,0.1532,0.156735,0.118999,0.122433,False,0.383877,0.118937,0.122371,-0.00343393,False,0.118994,0.122428,-0.00343397,False,0.11904,0.122474,-0.00343399,False,0.11905,0.122484,-0.00343389,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,1.20917,1.20905,
2,initial_eval,2,0,False,False,0.0981716,0.101091,-0.00291957,0.131813,0.13482,0.131813,0.13482,0.0982324,0.101152,False,0.29886775000000004,0.0981716,0.101091,-0.00291957,False,0.0982275,0.101147,-0.00291959,False,0.0982732,0.101193,-0.00291961,False,0.0982832,0.101203,-0.0029195,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.19899,1.19887,
3,initial_eval,3,0,False,False,0.0922436,0.094086,-0.00184243,0.125706,0.127604,0.125706,0.127604,0.0923042,0.0941466,False,0.34778837500000004,0.0922436,0.094086,-0.00184243,False,0.0922993,0.0941417,-0.00184242,False,0.0923449,0.0941873,-0.00184241,False,0.092355,0.0941973,-0.00184229,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.18901,1.18889,
4,initial_eval,4,0,False,False,0.109578,0.11406,-0.00448197,0.143562,0.148177,0.143562,0.148177,0.109641,0.114123,False,0.383445,0.109578,0.11406,-0.00448197,False,0.109634,0.114116,-0.00448203,False,0.10968,0.114162,-0.00448207,False,0.10969,0.114172,-0.00448196,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.336055,0.336046,1.17884,1.17867,
5,initial_eval,5,0,False,False,0.106983,0.108575,-0.00159161,0.14089,0.142528,0.14089,0.142528,0.107047,0.108638,False,0.37133174999999996,0.106983,0.108575,-0.00159161,False,0.107039,0.108631,-0.0015916,False,0.107085,0.108677,-0.00159159,False,0.107095,0.108687,-0.0015915,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.16883,1.16866,
6,initial_eval,6,0,False,False,0.140317,0.141357,-0.00103998,0.175224,0.176274,0.175226,0.176274,0.140385,0.141421,False,0.54363925,0.140317,0.141357,-0.00103998,False,0.140377,0.141413,-0.00103595,False,0.140426,0.141459,-0.00103264,False,0.140437,0.141469,-0.00103182,False,0.676339,0.66374,0.770109,0.650108,0.375466,0.351668,0.149631,0.712053,0.335777,0.335785,1.15853,1.15836,
7,initial_eval,7,0,False,False,0.113261,0.118624,-0.00536247,0.147355,0.152878,0.147355,0.152878,0.113325,0.118688,False,0.42723375,0.113261,0.118624,-0.00536247,False,0.113318,0.11868,-0.00536268,False,0.113364,0.118727,-0.00536283,False,0.113374,0.118737,-0.00536272,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.14859,1.14841,
8,initial_eval,8,0,False,False,0.111149,0.113459,-0.00231023,0.145179,0.147558,0.145179,0.147558,0.111212,0.113523,False,0.41991187500000005,0.111149,0.113459,-0.00231023,False,0.111205,0.113515,-0.00231025,False,0.111251,0.113561,-0.00231026,False,0.111261,0.113571,-0.00231015,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,1.14089,1.14091,
9,initial_eval,9,0,False,False,0.133761,0.14206,-0.00829863,0.168458,0.177018,0.168458,0.17702,0.133825,0.142128,False,0.512537975,0.133761,0.14206,-0.00829863,False,0.133817,0.14212,-0.00830244,False,0.133863,0.142169,-0.00830555,False,0.133873,0.142179,-0.0083062,False,0.715184,0.569406,0.590993,0.77011,0.328889,0.269307,0.0863048,0.77011,0.335808,0.335802,1.14062,1.14055,
10,initial_eval,10,0,False,False,0.101307,0.104512,-0.00320461,0.135043,0.138344,0.135043,0.138344,0.101371,0.104575,False,0.34533500000000006,0.101307,0.104512,-0.00320461,False,0.101363,0.104568,-0.00320464,False,0.101409,0.104614,-0.00320466,False,0.101419,0.104624,-0.00320455,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.335919,0.335923,1.14099,1.14099,
11,initial_eval,11,0,False,False,0.114302,0.118228,-0.0039258,0.148426,0.152469,0.148426,0.152469,0.114366,0.118292,False,0.40108024999999997,0.114302,0.118228,-0.0039258,False,0.114358,0.118284,-0.00392583,False,0.114404,0.11833,-0.00392586,False,0.114414,0.11834,-0.00392575,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.335886,0.335889,1.14074,1.14073,
12,initial_eval,12,0,False,False,0.144105,0.146955,-0.00284984,0.179106,0.182038,0.179106,0.182038,0.14417,0.147019,False,0.49262754999999997,0.144105,0.146955,-0.00284984,False,0.144162,0.147012,-0.00284985,False,0.144208,0.147058,-0.00284987,False,0.144219,0.147068,-0.0028497,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.335738,0.335728,1.14054,1.14054,
13,initial_eval,13,0,False,False,0.123292,0.126911,-0.00361931,0.157683,0.161409,0.157683,0.161409,0.123356,0.126975,False,0.41943698749999997,0.123292,0.126911,-0.00361931,False,0.123349,0.126968,-0.00361934,False,0.123395,0.127014,-0.00361935,False,0.123405,0.127024,-0.00361926,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.33592,0.335919,1.14099,1.14099,
14,initial_eval,14,0,False,False,0.133005,0.134419,-0.00141401,0.167682,0.169137,0.167682,0.169137,0.133069,0.134483,False,0.5126675,0.133005,0.134419,-0.00141401,False,0.133062,0.134476,-0.00141402,False,0.133108,0.134522,-0.00141402,False,0.133118,0.134532,-0.00141395,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.335689,0.335685,1.14074,1.14076,
15,initial_eval,15,0,False,False,0.138659,0.144847,-0.00618826,0.173501,0.179871,0.173501,0.179871,0.138723,0.144912,False,0.456683375,0.138659,0.144847,-0.00618826,False,0.138716,0.144904,-0.00618848,False,0.138762,0.144951,-0.00618864,False,0.138772,0.144961,-0.00618861,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.33602,0.336019,1.14077,1.14072,
16,initial_eval,16,0,False,False,0.0808696,0.0821551,-0.00128553,0.113984,0.115309,0.113984,0.115309,0.0809295,0.0822149,False,0.30304525,0.0808696,0.0821551,-0.00128553,False,0.0809246,0.08221,-0.00128545,False,0.0809698,0.0822552,-0.00128539,False,0.0809797,0.082265,-0.0012853,False,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.336404,0.3364,1.14099,1.14099,
17,initial_eval,17,0,False,False,0.14048,0.141267,-0.000787197,0.175394,0.17618,0.175396,0.17618,0.140545,0.141327,False,0.48927899999999996,0.14048,0.141267,-0.000787197,False,0.14054,0.141322,-0.000782582,False,0.140589,0.141368,-0.000778796,False,0.1406,0.141378,-0.000777851,False,0.640951,0.717267,0.770108,0.685167,0.108697,0.284195,0.178522,0.529325,0.335955,0.335959,1.14027,1.14027,
18,initial_eval,18,0,False,False,0.149765,0.148344,0.00142142,0.184949,0.183484,0.184951,0.183486,0.149831,0.148409,True,0.650415,0.149765,0.148344,0.00142142,True,0.149826,0.148404,0.0014219,True,0.149875,0.148453,0.00142228,True,0.149886,0.148463,0.00142241,True,0.396961,0.77011,0.770111,0.710292,0.629719,0.710614,0.445404,0.770109,0.335622,0.335623,1.14072,1.14074,
