cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.139071,0.145784,-0.00671215,0.17392,0.180842,0.173919,0.180843,0.139132,0.145847,False,0.4478395,0.139071,0.145784,-0.00671215,False,0.139127,0.145842,-0.0067151,False,0.139172,0.14589,-0.0067175,False,0.139182,0.1459,-0.00671798,False,0.741244,0.57729,0.633202,0.769949,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.16471e-09,1.2,
1,initial_eval,1,0,False,False,0.118938,0.122372,-0.00343392,0.1532,0.156736,0.1532,0.156736,0.118999,0.122433,False,0.383876875,0.118938,0.122372,-0.00343392,False,0.118994,0.122428,-0.00343395,False,0.11904,0.122474,-0.00343398,False,0.11905,0.122484,-0.00343388,False,0.632611,0.475341,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,1.16471e-09,1.2,
2,initial_eval,2,0,False,False,0.0981727,0.101092,-0.00291964,0.131814,0.134821,0.131814,0.134821,0.0982335,0.101153,False,0.29886775000000004,0.0981727,0.101092,-0.00291964,False,0.0982285,0.101148,-0.00291966,False,0.0982743,0.101194,-0.00291968,False,0.0982843,0.101204,-0.00291958,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.16471e-09,1.2,
3,initial_eval,3,0,False,False,0.0922449,0.0940874,-0.00184254,0.125707,0.127605,0.125707,0.127605,0.0923055,0.094148,False,0.34778837500000004,0.0922449,0.0940874,-0.00184254,False,0.0923005,0.0941431,-0.00184252,False,0.0923462,0.0941887,-0.00184251,False,0.0923563,0.0941987,-0.0018424,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.2,1.16471e-09,
4,initial_eval,4,0,False,False,0.10958,0.114062,-0.00448194,0.143564,0.148179,0.143564,0.148179,0.109643,0.114125,False,0.38344487499999996,0.10958,0.114062,-0.00448194,False,0.109636,0.114118,-0.004482,False,0.109682,0.114164,-0.00448204,False,0.109692,0.114174,-0.00448193,False,0.584164,0.47028,0.462056,0.628547,0.255223,0.176976,0.145681,0.344632,0.336055,0.336046,1.2,1.16471e-09,
5,initial_eval,5,0,False,False,0.106985,0.108577,-0.00159178,0.140892,0.142531,0.140892,0.142531,0.107049,0.108641,False,0.37133162499999994,0.106985,0.108577,-0.00159178,False,0.107042,0.108633,-0.00159177,False,0.107088,0.108679,-0.00159176,False,0.107098,0.108689,-0.00159167,False,0.543454,0.493438,0.523503,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.16471e-09,1.2,
6,initial_eval,6,0,False,False,0.140313,0.141363,-0.00104953,0.175224,0.176279,0.175226,0.176279,0.140382,0.141426,False,0.543618625,0.140313,0.141363,-0.00104953,False,0.140374,0.141419,-0.00104472,False,0.140423,0.141464,-0.00104079,False,0.140434,0.141474,-0.00103982,False,0.676339,0.66374,0.769946,0.650108,0.375466,0.351668,0.14963,0.712052,0.335777,0.335785,1.2,1.16471e-09,
7,initial_eval,7,0,False,False,0.113265,0.118627,-0.00536196,0.147359,0.152881,0.147359,0.152881,0.113329,0.118691,False,0.42723337499999997,0.113265,0.118627,-0.00536196,False,0.113321,0.118683,-0.00536222,False,0.113367,0.11873,-0.00536242,False,0.113378,0.11874,-0.00536231,False,0.580763,0.423695,0.455836,0.753176,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.2,1.16471e-09,
8,initial_eval,8,0,False,False,0.111152,0.113462,-0.00231035,0.145183,0.147562,0.145183,0.147562,0.111216,0.113526,False,0.41991187500000005,0.111152,0.113462,-0.00231035,False,0.111208,0.113519,-0.00231037,False,0.111254,0.113565,-0.00231039,False,0.111265,0.113575,-0.00231027,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,1.16471e-09,1.2,
9,initial_eval,9,0,False,False,0.133769,0.142058,-0.00828919,0.168466,0.17702,0.168465,0.177022,0.133832,0.142127,False,0.5124972250000001,0.133769,0.142058,-0.00828919,False,0.133825,0.142118,-0.00829373,False,0.133871,0.142168,-0.00829743,False,0.13388,0.142179,-0.00829821,False,0.715184,0.569406,0.590993,0.769947,0.328889,0.269307,0.0863048,0.769947,0.335808,0.335802,1.16471e-09,1.2,
