cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.513437,0.5096,0.00383714,0.558002,0.554076,0.558003,0.554077,0.513392,0.509555,True,0.44787324999999995,0.513437,0.5096,0.00383714,True,0.741245,0.57729,0.633202,0.770218,0.107267,0.142146,0.109099,0.502519,0.000655641,0.000660557,1.2,1.16471e-09,
1,initial_eval,1,0,False,False,0.506411,0.509588,-0.00317708,0.550819,0.554066,0.550819,0.554066,0.506364,0.509542,False,0.383877,0.506411,0.509588,-0.00317708,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00066469,0.000660568,1.2,1.16471e-09,
2,initial_eval,2,0,False,False,0.506398,0.50957,-0.00317153,0.550808,0.554055,0.550808,0.554055,0.506351,0.509523,False,0.29886775000000004,0.506398,0.50957,-0.00317153,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.000664703,0.000660582,1.2,1.16471e-09,
3,initial_eval,3,0,False,False,0.506388,0.509559,-0.00317151,0.550794,0.554041,0.550794,0.554041,0.506341,0.509513,False,0.34778837500000004,0.506388,0.509559,-0.00317151,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.000664721,0.0006606,1.2,1.16471e-09,
4,initial_eval,4,0,False,False,0.506395,0.509567,-0.00317251,0.550803,0.55405,0.550803,0.55405,0.506351,0.509524,False,0.383445,0.506395,0.509567,-0.00317251,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.00066471,0.000660589,1.16471e-09,1.2,
5,initial_eval,5,0,False,False,0.506381,0.509552,-0.00317154,0.550788,0.554035,0.550788,0.554035,0.506336,0.509508,False,0.37133174999999996,0.506381,0.509552,-0.00317154,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.000664729,0.000660608,1.2,1.16471e-09,
6,initial_eval,6,0,False,False,0.513413,0.5136,-0.000186743,0.557979,0.558169,0.557979,0.558169,0.513371,0.513558,False,0.5436529999999999,0.513413,0.5136,-0.000186743,False,0.676339,0.66374,0.770219,0.650108,0.375466,0.351668,0.149631,0.712053,0.000655669,0.000655433,1.16471e-09,1.2,
7,initial_eval,7,0,False,False,0.506379,0.509551,-0.00317261,0.550786,0.554033,0.550786,0.554033,0.506335,0.509508,False,0.42723375,0.506379,0.509551,-0.00317261,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.000664731,0.00066061,1.2,1.16471e-09,
8,initial_eval,8,0,False,False,0.506374,0.509547,-0.00317239,0.550781,0.554028,0.550781,0.554028,0.50633,0.509503,False,0.41991187500000005,0.506374,0.509547,-0.00317239,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.000664738,0.000660616,1.2,1.16471e-09,
9,initial_eval,9,0,False,False,0.50639,0.509581,-0.00319103,0.550796,0.554055,0.550796,0.554055,0.506347,0.509539,False,0.51256535,0.50639,0.509581,-0.00319103,False,0.715184,0.569406,0.590993,0.770219,0.328889,0.269307,0.0863048,0.77022,0.000664719,0.000660582,1.2,1.16471e-09,
10,initial_eval,10,0,False,False,0.506371,0.509543,-0.00317142,0.550778,0.554025,0.550778,0.554025,0.506327,0.509499,False,0.34533500000000006,0.506371,0.509543,-0.00317142,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.000664741,0.00066062,1.2,1.16471e-09,
11,initial_eval,11,0,False,False,0.506369,0.509541,-0.00317219,0.550775,0.554022,0.550775,0.554022,0.506325,0.509497,False,0.40108024999999997,0.506369,0.509541,-0.00317219,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.000664745,0.000660623,1.2,1.16471e-09,
12,initial_eval,12,0,False,False,0.513383,0.513572,-0.000189089,0.557949,0.558141,0.55795,0.558141,0.51334,0.51353,False,0.49262754999999997,0.513383,0.513572,-0.000189089,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.000655706,0.000655468,1.2,1.16471e-09,
