cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.251419,0.253356,-0.00193746,0.289325,0.291315,0.289325,0.291315,0.251378,0.253315,False,0.44787324999999995,0.251419,0.253356,-0.00193746,False,0.741245,0.57729,0.633202,0.770218,0.107267,0.142146,0.109099,0.502519,0.248048,0.251623,1.2,1.16471e-09,
1,initial_eval,1,0,False,False,0.249285,0.250488,-0.00120336,0.287133,0.288369,0.287133,0.288369,0.249244,0.250447,False,0.383877,0.249285,0.250488,-0.00120336,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.189704,0.192611,1.2,1.16471e-09,
2,initial_eval,2,0,False,False,0.24366,0.243569,9.12485e-05,0.281354,0.281261,0.281355,0.281261,0.243619,0.243528,True,0.29886775000000004,0.24366,0.243569,9.12485e-05,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.222719,0.222579,1.16471e-09,1.2,
3,initial_eval,3,0,False,False,0.249851,0.250169,-0.000317507,0.287715,0.288041,0.287715,0.288041,0.24981,0.250128,False,0.34778837500000004,0.249851,0.250169,-0.000317507,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.259661,0.260192,1.16471e-09,1.2,
4,initial_eval,4,0,False,False,0.249277,0.250444,-0.00116723,0.287124,0.288323,0.287124,0.288323,0.249239,0.250406,False,0.383445,0.249277,0.250444,-0.00116723,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.269184,0.271047,1.16471e-09,1.2,
5,initial_eval,5,0,False,False,0.25209,0.251587,0.000503273,0.290014,0.289497,0.290014,0.289497,0.252051,0.251548,True,0.37133174999999996,0.25209,0.251587,0.000503273,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.162498,0.159867,1.2,1.16471e-09,
6,initial_eval,6,0,False,False,0.254094,0.255872,-0.00177868,0.292072,0.293899,0.292072,0.293899,0.254055,0.255834,False,0.5436529999999999,0.254094,0.255872,-0.00177868,False,0.676339,0.66374,0.770219,0.650108,0.375466,0.351668,0.149631,0.712053,0.264211,0.267417,1.16471e-09,1.2,
7,initial_eval,7,0,False,False,0.254416,0.253907,0.000509341,0.292403,0.29188,0.292403,0.29188,0.254378,0.253868,True,0.42723375,0.254416,0.253907,0.000509341,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.238779,0.237613,1.2,1.16471e-09,
8,initial_eval,8,0,False,False,0.253786,0.252844,0.000941692,0.291755,0.290788,0.291755,0.290788,0.253747,0.252805,True,0.41991187500000005,0.253786,0.252844,0.000941692,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.256155,0.254286,1.16471e-09,1.2,
9,initial_eval,9,0,False,False,0.251777,0.25372,-0.00194234,0.289692,0.291688,0.289693,0.291688,0.251739,0.253681,False,0.51256535,0.251777,0.25372,-0.00194234,False,0.715184,0.569406,0.590993,0.770219,0.328889,0.269307,0.0863048,0.77022,0.0514485,0.0634337,1.16471e-09,1.2,
10,initial_eval,10,0,False,False,0.249964,0.251122,-0.00115869,0.28783,0.28902,0.28783,0.28902,0.249925,0.251084,False,0.34533500000000006,0.249964,0.251122,-0.00115869,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.252585,0.254817,1.16471e-09,1.2,
11,initial_eval,11,0,False,False,0.251313,0.253253,-0.00193961,0.289216,0.291208,0.289216,0.291208,0.251274,0.253214,False,0.40108024999999997,0.251313,0.253253,-0.00193961,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.25552,0.259121,1.16471e-09,1.2,
12,initial_eval,12,0,False,False,0.255026,0.254872,0.000153757,0.293029,0.292871,0.293029,0.292871,0.254988,0.254834,True,0.49262754999999997,0.255026,0.254872,0.000153757,True,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.225539,0.225136,1.2,1.16471e-09,
13,initial_eval,13,0,False,False,0.251593,0.253528,-0.00193519,0.289503,0.291491,0.289503,0.291491,0.251554,0.253489,False,0.41943698749999997,0.251593,0.253528,-0.00193519,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.25706,0.260362,1.16291e-09,1.2,
