cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.247036,0.248923,-0.0018867,0.284823,0.286761,0.284823,0.286761,0.246995,0.248882,False,0.44787324999999995,0.247036,0.248923,-0.0018867,False,0.741245,0.57729,0.633202,0.770218,0.107267,0.142146,0.109099,0.502519,0.328435,0.328436,1.2,1.16471e-09,
1,initial_eval,1,0,False,False,0.24442,0.245518,-0.00109778,0.282135,0.283263,0.282135,0.283263,0.244379,0.245477,False,0.383877,0.24442,0.245518,-0.00109778,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.330194,0.3302,1.2,1.16471e-09,
2,initial_eval,2,0,False,False,0.237844,0.237543,0.000301659,0.27538,0.27507,0.27538,0.27507,0.237803,0.237502,True,0.29886775000000004,0.237844,0.237543,0.000301659,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.330145,0.330144,1.2,1.16471e-09,
3,initial_eval,3,0,False,False,0.244987,0.245062,-7.50705e-05,0.282718,0.282795,0.282718,0.282795,0.244946,0.245021,False,0.34778837500000004,0.244987,0.245062,-7.50705e-05,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.330276,0.330277,1.2,1.16471e-09,
4,initial_eval,4,0,False,False,0.244536,0.245608,-0.00107143,0.282255,0.283355,0.282255,0.283355,0.244497,0.245569,False,0.383445,0.244536,0.245608,-0.00107143,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.330329,0.330335,1.16471e-09,1.2,
5,initial_eval,5,0,False,False,0.247512,0.247029,0.000483929,0.285312,0.284815,0.285312,0.284815,0.247474,0.24699,True,0.37133174999999996,0.247512,0.247029,0.000483929,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.330363,0.330361,1.2,1.16471e-09,
6,initial_eval,6,0,False,False,0.250194,0.251885,-0.00169193,0.288066,0.289804,0.288066,0.289804,0.250155,0.251847,False,0.543652875,0.250194,0.251885,-0.00169193,False,0.676339,0.66374,0.770218,0.650108,0.375466,0.351668,0.149631,0.712053,0.330282,0.330291,1.16471e-09,1.2,
7,initial_eval,7,0,False,False,0.250349,0.249813,0.000535521,0.288226,0.287676,0.288226,0.287676,0.25031,0.249775,True,0.42723375,0.250349,0.249813,0.000535521,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.330168,0.330165,1.16471e-09,1.2,
8,initial_eval,8,0,False,False,0.249768,0.248661,0.00110766,0.287629,0.286492,0.287629,0.286492,0.24973,0.248622,True,0.41991187500000005,0.249768,0.248661,0.00110766,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.330243,0.330236,1.16471e-09,1.2,
9,initial_eval,9,0,False,False,0.24754,0.2494,-0.0018595,0.285341,0.287251,0.285341,0.287251,0.247502,0.249361,False,0.512565225,0.24754,0.2494,-0.0018595,False,0.715184,0.569406,0.590993,0.770219,0.328889,0.269307,0.0863048,0.770219,0.330247,0.330258,1.16471e-09,1.2,
10,initial_eval,10,0,False,False,0.245282,0.246354,-0.00107248,0.28302,0.284122,0.28302,0.284122,0.245243,0.246315,False,0.34533500000000006,0.245282,0.246354,-0.00107248,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.33025,0.330257,1.16471e-09,1.2,
11,initial_eval,11,0,False,False,0.246915,0.248804,-0.00188873,0.284699,0.286639,0.284699,0.286639,0.246877,0.248765,False,0.40108024999999997,0.246915,0.248804,-0.00188873,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.330255,0.330265,1.16327e-09,1.2,
12,initial_eval,12,0,False,False,0.251204,0.250907,0.000297758,0.289104,0.288798,0.289104,0.288798,0.251166,0.250868,True,0.49262754999999997,0.251204,0.250907,0.000297758,True,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.330233,0.330231,1.2,1.16471e-09,
13,initial_eval,13,0,False,False,0.24726,0.249144,-0.0018842,0.285053,0.286988,0.285053,0.286988,0.247221,0.249106,False,0.41943698749999997,0.24726,0.249144,-0.0018842,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.328333,0.328334,1.16471e-09,1.2,
14,initial_eval,14,0,False,False,0.252957,0.253481,-0.000524067,0.290904,0.291443,0.290904,0.291443,0.252918,0.253442,False,0.5126675,0.252957,0.253481,-0.000524067,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.330304,0.330307,1.2,1.16471e-09,
15,initial_eval,15,0,False,False,0.246979,0.248868,-0.00188942,0.284764,0.286705,0.284764,0.286705,0.24694,0.248829,False,0.456683375,0.246979,0.248868,-0.00188942,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.330305,0.330315,1.2,1.16471e-09,
16,initial_eval,16,0,False,False,0.233216,0.230267,0.00294898,0.270625,0.267595,0.270625,0.267595,0.233175,0.230226,True,0.30304525,0.233216,0.230267,0.00294898,True,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.330288,0.330273,1.16471e-09,1.2,
