cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.239538,0.241484,-0.00194594,0.277225,0.279224,-0.00760244,-0.00769066,0.239644,0.24159,False,0.447860125,0.239538,0.241484,-0.00194594,False,0.23964,0.241586,-0.00194596,False,0.239648,0.241594,-0.00194593,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.331266,0.331278,7.76472e-10,1.2,,,,,,,,,
1,initial_eval,1,0,False,False,0.236456,0.237664,-0.00120777,0.274059,0.2753,-0.00827497,-0.00833144,0.236562,0.23777,False,0.383877,0.236456,0.237664,-0.00120777,False,0.236559,0.237767,-0.00120778,False,0.236566,0.237774,-0.00120775,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.331178,0.331185,1.2,7.76472e-10,,,,,,,,,
2,initial_eval,2,0,False,False,0.229554,0.229564,-1.04223e-05,0.266966,0.266977,-0.0069385,-0.00693729,0.229659,0.22967,False,0.29886775000000004,0.229554,0.229564,-1.04223e-05,False,0.229656,0.229666,-1.03872e-05,False,0.229663,0.229673,-1.03761e-05,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.33115,0.33115,1.2,7.76472e-10,,,,,,,,,
3,initial_eval,3,0,False,False,0.236893,0.237036,-0.000143256,0.274507,0.274655,-0.00857423,-0.00857934,0.236999,0.237142,False,0.34778837500000004,0.236893,0.237036,-0.000143256,False,0.236995,0.237139,-0.00014325,False,0.237002,0.237146,-0.000143238,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.33129,0.331291,1.2,7.76472e-10,,,,,,,,,
4,initial_eval,4,0,False,False,0.236757,0.237939,-0.00118205,0.274368,0.275583,-0.00817458,-0.00822733,0.236863,0.238045,False,0.383445,0.236757,0.237939,-0.00118205,False,0.23686,0.238042,-0.00118207,False,0.236867,0.238049,-0.00118204,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.33137,0.331377,7.76472e-10,1.2,,,,,,,,,
5,initial_eval,5,0,False,False,0.239624,0.239576,4.79828e-05,0.277313,0.277263,-0.00828299,-0.00827891,0.239729,0.239681,True,0.37133174999999996,0.239624,0.239576,4.79828e-05,True,0.239726,0.239678,4.79982e-05,True,0.239733,0.239685,4.80131e-05,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.331408,0.331407,7.76472e-10,1.2,,,,,,,,,
6,initial_eval,6,0,False,False,0.243185,0.244889,-0.00170347,0.280972,0.282722,-0.00951627,-0.0095887,0.243291,0.244994,False,0.543639625,0.243185,0.244889,-0.00170347,False,0.243288,0.244991,-0.00170347,False,0.243295,0.244998,-0.00170342,False,0.676339,0.66374,0.770112,0.650108,0.375466,0.351668,0.149631,0.712053,0.331281,0.331292,1.2,7.76472e-10,,,,,,,,,
7,initial_eval,7,0,False,False,0.243037,0.242878,0.000158605,0.280819,0.280656,-0.00909649,-0.00908837,0.243142,0.242984,True,0.42723375,0.243037,0.242878,0.000158605,True,0.243139,0.24298,0.000158621,True,0.243146,0.242988,0.00015863,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.33114,0.331139,1.2,7.76472e-10,,,,,,,,,
8,initial_eval,8,0,False,False,0.242656,0.241724,0.000931272,0.280427,0.279471,-0.00933395,-0.00929403,0.242761,0.24183,True,0.41991187500000005,0.242656,0.241724,0.000931272,True,0.242758,0.241827,0.000931294,True,0.242765,0.241834,0.000931276,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.331231,0.331225,1.2,7.76472e-10,,,,,,,,,
9,initial_eval,9,0,False,False,0.240326,0.242217,-0.00189076,0.278035,0.279977,-0.00916272,-0.00924563,0.240432,0.242322,False,0.5125386000000001,0.240326,0.242217,-0.00189076,False,0.240429,0.242319,-0.00189079,False,0.240436,0.242327,-0.00189075,False,0.715184,0.569406,0.590993,0.770112,0.328889,0.269307,0.0863048,0.770113,0.331237,0.33125,1.2,7.76472e-10,,,,,,,,,
10,initial_eval,10,0,False,False,0.237497,0.238685,-0.00118817,0.275128,0.276349,-0.00793797,-0.00799096,0.237603,0.238791,False,0.34533500000000006,0.237497,0.238685,-0.00118817,False,0.237599,0.238787,-0.00118818,False,0.237606,0.238795,-0.00118816,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.331271,0.331279,1.2,7.76472e-10,,,,,,,,,
11,initial_eval,11,0,False,False,0.239414,0.24132,-0.00190607,0.277097,0.279056,-0.0085693,-0.00865225,0.23952,0.241426,False,0.40108024999999997,0.239414,0.24132,-0.00190607,False,0.239517,0.241423,-0.00190609,False,0.239524,0.24143,-0.00190606,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.331265,0.331277,1.2,7.76472e-10,,,,,,,,,
12,initial_eval,12,0,False,False,0.244229,0.244045,0.000184305,0.282044,0.281855,0.00968373,0.00968561,0.244335,0.24415,True,0.49262754999999997,0.244229,0.244045,0.000184305,True,0.244332,0.244147,0.000184317,True,0.244339,0.244154,0.00018432,True,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.328794,0.328794,7.76472e-10,1.2,,,,,,,,,
13,initial_eval,13,0,False,False,0.239819,0.241763,-0.00194376,0.277513,0.27951,0.0179829,0.0178063,0.239925,0.241868,False,0.41943698749999997,0.239819,0.241763,-0.00194376,False,0.239921,0.241865,-0.00194378,False,0.239929,0.241872,-0.00194374,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.328434,0.328442,1.2,7.76472e-10,,,,,,,,,
