cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.0723854,0.0736417,-0.00125632,0.277225,0.279224,-0.00760253,-0.00769066,0.051232,0.0515205,False,0.44785987499999996,0.0723854,0.0736417,-0.00125632,False,0.0723854,0.0736417,-0.00125632,False,0.0512328,0.0515213,-0.000288551,False,0.741245,0.57729,0.633202,0.770111,0.107267,0.142146,0.109099,0.502519,0.331266,0.331278,1.2,7.76472e-10,,,,,,,,,
1,initial_eval,1,0,False,False,0.0715756,0.0723564,-0.000780866,0.274059,0.2753,0.0274644,0.0272324,0.0454937,0.0455864,False,0.383877,0.0715756,0.0723564,-0.000780866,False,0.0715756,0.0723564,-0.000780866,False,0.0454944,0.0455872,-9.2753e-05,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.325482,0.325513,7.76472e-10,1.2,,,,,,,,,
2,initial_eval,2,0,False,False,0.0696877,0.0696944,-6.6917e-06,0.266966,0.266977,-0.00693855,-0.00693734,0.0503673,0.0503621,False,0.29886775000000004,0.0696877,0.0696944,-6.6917e-06,False,0.0696877,0.0696944,-6.68944e-06,False,0.0503682,0.0503629,5.2639e-06,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.33115,0.33115,7.76472e-10,1.2,,,,,,,,,
3,initial_eval,3,0,False,False,0.0718899,0.0719825,-9.26092e-05,0.274507,0.274655,0.0109471,0.0109401,0.0548116,0.0548232,False,0.34778837500000004,0.0718899,0.0719825,-9.26092e-05,False,0.0718899,0.0719825,-9.26095e-05,False,0.0548125,0.0548241,-1.16251e-05,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.328762,0.328762,7.76472e-10,1.2,,,,,,,,,
4,initial_eval,4,0,False,False,0.0716713,0.0724354,-0.000764152,0.274368,0.275583,-0.00817458,-0.00822726,0.0512208,0.051394,False,0.383445,0.0716713,0.0724354,-0.000764152,False,0.0716713,0.0724354,-0.000764152,False,0.0512216,0.0513948,-0.000173225,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.33137,0.331377,7.76472e-10,1.2,,,,,,,,,
5,initial_eval,5,0,False,False,0.0727505,0.0727195,3.10171e-05,0.277313,0.277263,0.0119269,0.0119264,0.041524,0.0415158,True,0.37133174999999996,0.0727505,0.0727195,3.10171e-05,True,0.0727505,0.0727195,3.10202e-05,True,0.0415246,0.0415165,8.13333e-06,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.328695,0.328695,1.2,7.76472e-10,,,,,,,,,
6,initial_eval,6,0,False,False,0.0735331,0.0746312,-0.00109812,0.280972,0.282722,-0.00951627,-0.0095887,0.0526004,0.0528318,False,0.543639625,0.0735331,0.0746312,-0.00109812,False,0.0735331,0.0746312,-0.00109811,False,0.0526012,0.0528326,-0.000231404,False,0.676339,0.66374,0.770112,0.650108,0.375466,0.351668,0.149631,0.712053,0.331281,0.331292,1.2,7.76472e-10,,,,,,,,,
7,initial_eval,7,0,False,False,0.0738044,0.0737021,0.000102318,0.280819,0.280656,-0.00909649,-0.00908833,0.0526164,0.05259,True,0.42723375,0.0738044,0.0737021,0.000102318,True,0.0738044,0.0737021,0.000102321,True,0.0526172,0.0525909,2.63521e-05,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.33114,0.331139,1.2,7.76472e-10,,,,,,,,,
8,initial_eval,8,0,False,False,0.0738213,0.0732205,0.000600835,0.280427,0.279471,-0.00933395,-0.00929403,0.0526002,0.0524731,True,0.41991187500000005,0.0738213,0.0732205,0.000600835,True,0.0738213,0.0732205,0.000600834,True,0.0526011,0.052474,0.000127067,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.331231,0.331225,1.2,7.76472e-10,,,,,,,,,
9,initial_eval,9,0,False,False,0.0726339,0.0738542,-0.00122032,0.278035,0.279977,-0.00916293,-0.00924563,0.052237,0.0524946,False,0.5125387250000001,0.0726339,0.0738542,-0.00122032,False,0.0726339,0.0738542,-0.00122032,False,0.0522379,0.0524955,-0.000257603,False,0.715184,0.569406,0.590993,0.770113,0.328889,0.269307,0.0863048,0.770113,0.331237,0.33125,1.2,7.76472e-10,,,,,,,,,
