cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.239537,0.241483,-0.00194599,0.277225,0.279224,-0.00760247,-0.00769066,0.239643,0.241589,False,0.44786,0.239537,0.241483,-0.00194599,False,0.23964,0.241586,-0.001946,False,0.239647,0.241593,-0.00194596,False,0.741245,0.57729,0.633202,0.770112,0.107267,0.142146,0.109099,0.502519,0.331266,0.331278,3.38253e-120,3.38253e-120,,,,,,,,,
1,initial_eval,1,0,False,False,0.236456,0.237664,-0.00120779,0.274059,0.2753,-0.00827504,-0.00833144,0.236562,0.237769,False,0.383877,0.236456,0.237664,-0.00120779,False,0.236558,0.237766,-0.00120779,False,0.236566,0.237773,-0.00120777,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.331178,0.331185,9.06083e-168,9.06083e-168,,,,,,,,,
2,initial_eval,2,0,False,False,0.229553,0.229563,-1.03865e-05,0.266966,0.266977,-0.00693856,-0.00693734,0.229659,0.229669,False,0.29886775000000004,0.229553,0.229563,-1.03865e-05,False,0.229655,0.229666,-1.03632e-05,False,0.229662,0.229673,-1.03532e-05,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.33115,0.33115,2.03421e-215,2.03421e-215,,,,,,,,,
3,initial_eval,3,0,False,False,0.236892,0.237036,-0.000143261,0.274507,0.274655,0.0109471,0.0109401,0.236998,0.237142,False,0.34778837500000004,0.236892,0.237036,-0.000143261,False,0.236995,0.237138,-0.000143253,False,0.237002,0.237145,-0.000143242,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.328762,0.328762,3.44805e-263,3.44805e-263,,,,,,,,,
4,initial_eval,4,0,False,False,0.236757,0.237939,-0.0011821,0.274368,0.275583,-0.00817458,-0.00822726,0.236863,0.238045,False,0.383445,0.236757,0.237939,-0.0011821,False,0.23686,0.238042,-0.00118209,False,0.236867,0.238049,-0.00118207,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.33137,0.331377,0.0,0.0,,,,,,,,,
5,initial_eval,5,0,False,False,0.239623,0.239575,4.79897e-05,0.277313,0.277263,-0.00829134,-0.00827891,0.239729,0.239681,True,0.37133174999999996,0.239623,0.239575,4.79897e-05,True,0.239725,0.239677,4.80028e-05,True,0.239733,0.239685,4.80175e-05,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.331414,0.331407,0.0,0.0,,,,,,,,,
6,initial_eval,6,0,False,False,0.243184,0.244888,-0.0017035,0.280972,0.282722,-0.00951627,-0.0095887,0.24329,0.244994,False,0.543639625,0.243184,0.244888,-0.0017035,False,0.243287,0.244991,-0.00170349,False,0.243294,0.244998,-0.00170345,False,0.676339,0.66374,0.770112,0.650108,0.375466,0.351668,0.149631,0.712053,0.331281,0.331292,0.0,0.0,,,,,,,,,
7,initial_eval,7,0,False,False,0.243036,0.242878,0.000158615,0.280819,0.280656,-0.00909649,-0.00908833,0.243142,0.242984,True,0.42723375,0.243036,0.242878,0.000158615,True,0.243139,0.24298,0.000158628,True,0.243146,0.242987,0.000158636,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.33114,0.331139,0.0,0.0,,,,,,,,,
8,initial_eval,8,0,False,False,0.242655,0.241724,0.000931309,0.280427,0.279471,-0.00933395,-0.00929403,0.242761,0.241829,True,0.41991187500000005,0.242655,0.241724,0.000931309,True,0.242757,0.241826,0.000931319,True,0.242765,0.241833,0.000931299,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.331231,0.331225,0.0,0.0,,,,,,,,,
9,initial_eval,9,0,False,False,0.240326,0.242216,-0.00189081,0.278035,0.279977,-0.00916293,-0.00924563,0.240431,0.242322,False,0.5125387250000001,0.240326,0.242216,-0.00189081,False,0.240428,0.242319,-0.00189082,False,0.240435,0.242326,-0.00189078,False,0.715184,0.569406,0.590993,0.770113,0.328889,0.269307,0.0863048,0.770113,0.331237,0.33125,0.0,0.0,,,,,,,,,
10,initial_eval,10,0,False,False,0.237496,0.238685,-0.0011882,0.275128,0.276349,-0.00793797,-0.00799096,0.237602,0.23879,False,0.34533500000000006,0.237496,0.238685,-0.0011882,False,0.237599,0.238787,-0.00118819,False,0.237606,0.238794,-0.00118818,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.331271,0.331279,0.0,0.0,,,,,,,,,
11,initial_eval,11,0,False,False,0.239413,0.24132,-0.00190613,0.277097,0.279056,-0.00856885,-0.00865225,0.239519,0.241425,False,0.40108024999999997,0.239413,0.24132,-0.00190613,False,0.239516,0.241422,-0.00190613,False,0.239523,0.241429,-0.00190609,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.331265,0.331277,0.0,0.0,,,,,,,,,
12,initial_eval,12,0,False,False,0.244229,0.244044,0.000184318,0.282044,0.281855,0.0294822,0.0294858,0.244334,0.24415,True,0.49262754999999997,0.244229,0.244044,0.000184318,True,0.244331,0.244147,0.000184325,True,0.244338,0.244154,0.000184328,True,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.326644,0.326643,0.0,0.0,,,,,,,,,
13,initial_eval,13,0,False,False,0.239818,0.241762,-0.00194381,0.277513,0.27951,0.0179829,0.0178063,0.239924,0.241868,False,0.41943698749999997,0.239818,0.241762,-0.00194381,False,0.239921,0.241865,-0.00194381,False,0.239928,0.241872,-0.00194377,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.328434,0.328442,0.0,0.0,,,,,,,,,
14,initial_eval,14,0,False,False,0.2463,0.246886,-0.000586093,0.284172,0.284774,0.0337711,0.0337661,0.246405,0.246991,False,0.5126675,0.2463,0.246886,-0.000586093,False,0.246402,0.246988,-0.000586092,False,0.246409,0.246996,-0.000586073,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.319132,0.319151,0.0,0.0,,,,,,,,,
