cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.0723854,0.0736417,-0.00125632,0.277225,0.279224,0.0110357,0.0110246,0.0414224,0.0416072,False,0.44786,0.0723854,0.0736417,-0.00125632,False,0.0723854,0.0736417,-0.00125632,False,0.041423,0.0416078,-0.000184806,False,0.741245,0.57729,0.633202,0.770112,0.107267,0.142146,0.109099,0.502519,0.328864,0.328865,1.21964,1.21963,,,,,,,,,
1,initial_eval,1,0,False,False,0.0715756,0.0723564,-0.000780866,0.274059,0.2753,-0.00827504,-0.00833144,0.051523,0.0516978,False,0.383877,0.0715756,0.0723564,-0.000780866,False,0.0715756,0.0723564,-0.000780866,False,0.0515239,0.0516987,-0.000174807,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.331178,0.331185,1.20965,1.20964,,,,,,,,,
2,initial_eval,2,0,False,False,0.0696877,0.0696944,-6.6917e-06,0.266966,0.266977,-0.00693855,-0.00693734,0.0503673,0.0503621,False,0.29886775000000004,0.0696877,0.0696944,-6.6917e-06,False,0.0696877,0.0696944,-6.68944e-06,False,0.0503682,0.0503629,5.26726e-06,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.33115,0.33115,1.19976,1.19975,,,,,,,,,
3,initial_eval,3,0,False,False,0.0718899,0.0719825,-9.26092e-05,0.274507,0.274655,-0.00857422,-0.00857934,0.0516312,0.0516463,False,0.34778837500000004,0.0718899,0.0719825,-9.26092e-05,False,0.0718899,0.0719825,-9.26095e-05,False,0.051632,0.0516472,-1.51672e-05,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.33129,0.331291,1.18991,1.1899,,,,,,,,,
4,initial_eval,4,0,False,False,0.0716713,0.0724354,-0.000764152,0.274368,0.275583,-0.00817458,-0.00822726,0.0512208,0.051394,False,0.383445,0.0716713,0.0724354,-0.000764152,False,0.0716713,0.0724354,-0.000764152,False,0.0512216,0.0513948,-0.000173225,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.33137,0.331377,1.18016,1.18014,,,,,,,,,
5,initial_eval,5,0,False,False,0.0727505,0.0727195,3.10171e-05,0.277313,0.277263,0.0119269,0.0119264,0.041524,0.0415158,True,0.37133174999999996,0.0727505,0.0727195,3.10171e-05,True,0.0727505,0.0727195,3.10202e-05,True,0.0415246,0.0415165,8.13333e-06,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.328695,0.328695,1.17047,1.17045,,,,,,,,,
6,initial_eval,6,0,False,False,0.0735331,0.0746312,-0.00109812,0.280972,0.282722,-0.00951627,-0.0095887,0.0526004,0.0528317,False,0.543639625,0.0735331,0.0746312,-0.00109812,False,0.0735331,0.0746312,-0.00109811,False,0.0526012,0.0528326,-0.000231375,False,0.676339,0.66374,0.770112,0.650108,0.375466,0.351668,0.149631,0.712053,0.331281,0.331292,1.16085,1.16082,,,,,,,,,
7,initial_eval,7,0,False,False,0.0738044,0.0737021,0.000102318,0.280819,0.280656,-0.00909649,-0.00908833,0.0526164,0.05259,True,0.42723375,0.0738044,0.0737021,0.000102318,True,0.0738044,0.0737021,0.000102321,True,0.0526172,0.0525909,2.63521e-05,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.33114,0.331139,1.15131,1.15129,,,,,,,,,
8,initial_eval,8,0,False,False,0.0738213,0.0732205,0.000600835,0.280427,0.279471,-0.00933395,-0.00929403,0.0526002,0.0524731,True,0.41991187500000005,0.0738213,0.0732205,0.000600835,True,0.0738213,0.0732205,0.000600834,True,0.0526011,0.052474,0.000127067,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.331231,0.331225,1.14185,1.14184,,,,,,,,,
9,initial_eval,9,0,False,False,0.0726339,0.0738542,-0.00122032,0.278035,0.279977,-0.00916296,-0.00924563,0.052237,0.0524946,False,0.5125387250000001,0.0726339,0.0738542,-0.00122032,False,0.0726339,0.0738542,-0.00122032,False,0.0522379,0.0524955,-0.000257607,False,0.715184,0.569406,0.590993,0.770113,0.328889,0.269307,0.0863048,0.770113,0.331237,0.33125,1.14011,1.1401,,,,,,,,,
