cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.246934,0.248821,-0.00188665,0.284823,0.286761,0.0273326,0.0271633,0.24704,0.248927,False,0.447860125,0.246934,0.248821,-0.00188665,False,0.247037,0.248924,-0.00188667,False,0.247044,0.248931,-0.00188664,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.328071,0.328085,7.76472e-10,1.2,,,,,,,,,
1,initial_eval,1,0,False,False,0.244318,0.245416,-0.00109775,0.282135,0.283263,-0.00716147,-0.00720969,0.244423,0.245521,False,0.383877,0.244318,0.245416,-0.00109775,False,0.24442,0.245518,-0.00109776,False,0.244428,0.245525,-0.00109774,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.330194,0.3302,7.76472e-10,1.2,,,,,,,,,
2,initial_eval,2,0,False,False,0.237743,0.237441,0.0003016,0.27538,0.27507,0.011471,0.0114924,0.237848,0.237547,True,0.29886775000000004,0.237743,0.237441,0.0003016,True,0.237845,0.237543,0.000301632,True,0.237852,0.23755,0.000301619,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.32848,0.32848,1.2,7.76472e-10,,,,,,,,,
3,initial_eval,3,0,False,False,0.244885,0.24496,-7.50691e-05,0.282718,0.282795,-0.00736762,-0.00736931,0.244991,0.245066,False,0.34778837500000004,0.244885,0.24496,-7.50691e-05,False,0.244988,0.245063,-7.50653e-05,False,0.244995,0.24507,-7.50542e-05,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.330276,0.330276,7.76472e-10,1.2,,,,,,,,,
4,initial_eval,4,0,False,False,0.244434,0.245506,-0.00107141,0.282255,0.283355,-0.00695995,-0.00700367,0.24454,0.245611,False,0.383445,0.244434,0.245506,-0.00107141,False,0.244537,0.245608,-0.00107141,False,0.244544,0.245615,-0.00107139,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.330329,0.330335,7.76472e-10,1.2,,,,,,,,,
5,initial_eval,5,0,False,False,0.24741,0.246927,0.000483906,0.285312,0.284815,-0.00705243,-0.00703141,0.247516,0.247032,True,0.37133174999999996,0.24741,0.246927,0.000483906,True,0.247513,0.247029,0.000483924,True,0.24752,0.247036,0.000483933,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.330363,0.330361,7.76472e-10,1.2,,,,,,,,,
6,initial_eval,6,0,False,False,0.250092,0.251783,-0.0016919,0.288066,0.289804,-0.00818544,-0.00824867,0.250197,0.251889,False,0.54363975,0.250092,0.251783,-0.0016919,False,0.250194,0.251886,-0.0016919,False,0.250201,0.251893,-0.00169187,False,0.676339,0.66374,0.770113,0.650108,0.375466,0.351668,0.149631,0.712053,0.330282,0.330292,7.76472e-10,1.2,,,,,,,,,
7,initial_eval,7,0,False,False,0.250247,0.249711,0.000535478,0.288226,0.287676,0.034391,0.0345015,0.250353,0.249817,True,0.42723375,0.250247,0.249711,0.000535478,True,0.250349,0.249814,0.0005355,True,0.250357,0.249821,0.000535493,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.315639,0.315174,1.2,7.76471e-10,,,,,,,,,
8,initial_eval,8,0,False,False,0.249666,0.248559,0.00110761,0.287629,0.286492,-0.00802715,-0.00798378,0.249772,0.248664,True,0.41991187500000005,0.249666,0.248559,0.00110761,True,0.249769,0.248661,0.00110763,True,0.249776,0.248669,0.00110761,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.330243,0.330236,1.2,7.76472e-10,,,,,,,,,
9,initial_eval,9,0,False,False,0.247438,0.249298,-0.00185945,0.285341,0.287251,-0.00790234,-0.00797665,0.247544,0.249403,False,0.5125388500000001,0.247438,0.249298,-0.00185945,False,0.247541,0.2494,-0.00185947,False,0.247548,0.249407,-0.00185943,False,0.715184,0.569406,0.590993,0.770113,0.328889,0.269307,0.0863048,0.770114,0.330247,0.330258,7.76472e-10,1.2,,,,,,,,,
10,initial_eval,10,0,False,False,0.24518,0.246252,-0.00107246,0.28302,0.284122,0.0279693,0.0277479,0.245285,0.246358,False,0.34533500000000006,0.24518,0.246252,-0.00107246,False,0.245282,0.246354,-0.00107246,False,0.245289,0.246362,-0.00107245,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.325256,0.325285,7.76472e-10,1.2,,,,,,,,,
11,initial_eval,11,0,False,False,0.246813,0.248702,-0.00188868,0.284699,0.286639,-0.00733228,-0.00740843,0.246919,0.248808,False,0.40108024999999997,0.246813,0.248702,-0.00188868,False,0.246916,0.248804,-0.0018887,False,0.246923,0.248812,-0.00188867,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.330255,0.330265,1.2,7.76472e-10,,,,,,,,,
12,initial_eval,12,0,False,False,0.251102,0.250805,0.000297742,0.289104,0.288798,0.0131476,0.0131493,0.251208,0.25091,True,0.49262754999999997,0.251102,0.250805,0.000297742,True,0.251205,0.250907,0.000297752,True,0.251212,0.250914,0.000297748,True,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.328388,0.328388,7.76472e-10,1.2,,,,,,,,,
13,initial_eval,13,0,False,False,0.247158,0.249042,-0.00188415,0.285053,0.286988,-0.018003,-0.0179983,0.247264,0.249148,False,0.41943698749999997,0.247158,0.249042,-0.00188415,False,0.247261,0.249145,-0.00188416,False,0.247268,0.249152,-0.00188413,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.328562,0.328566,7.76472e-10,1.2,,,,,,,,,
14,initial_eval,14,0,False,False,0.252855,0.253379,-0.000524044,0.290904,0.291443,-0.0102844,-0.01035,0.25296,0.253484,False,0.5126675,0.252855,0.253379,-0.000524044,False,0.252957,0.253481,-0.000524051,False,0.252964,0.253489,-0.00052404,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.329697,0.329701,1.2,7.76472e-10,,,,,,,,,
15,initial_eval,15,0,False,False,0.246877,0.248766,-0.00188938,0.284764,0.286705,-0.0066757,-0.00675364,0.246982,0.248872,False,0.456683375,0.246877,0.248766,-0.00188938,False,0.246979,0.248868,-0.0018894,False,0.246986,0.248876,-0.00188936,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.330305,0.330315,7.76472e-10,1.2,,,,,,,,,
16,initial_eval,16,0,False,False,0.233114,0.230165,0.00294886,0.270625,0.267595,-0.00625648,-0.00615086,0.23322,0.230271,True,0.30304525,0.233114,0.230165,0.00294886,True,0.233217,0.230268,0.00294892,True,0.233224,0.230275,0.00294883,True,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.330288,0.330273,7.76472e-10,1.2,,,,,,,,,
17,initial_eval,17,0,False,False,0.246892,0.248768,-0.00187648,0.284779,0.286707,0.0290354,0.0286931,0.246997,0.248874,False,0.48927899999999996,0.246892,0.248768,-0.00187648,False,0.246994,0.248871,-0.00187648,False,0.247001,0.248878,-0.00187645,False,0.640951,0.717267,0.770108,0.685167,0.108697,0.284195,0.178522,0.529325,0.325149,0.325192,1.2,7.76472e-10,,,,,,,,,
18,initial_eval,18,0,False,False,0.253883,0.25489,-0.00100675,0.29196,0.292995,-0.00892636,-0.00896553,0.253988,0.254995,False,0.65041625,0.253883,0.25489,-0.00100675,False,0.253985,0.254992,-0.00100676,False,0.253993,0.254999,-0.00100674,False,0.396961,0.770114,0.770114,0.710292,0.629719,0.710614,0.445404,0.770112,0.330312,0.330318,1.2,7.76472e-10,,,,,,,,,
19,initial_eval,19,0,False,False,0.246899,0.248784,-0.00188467,0.284787,0.286723,0.0280975,0.0279426,0.247005,0.24889,False,0.531151625,0.246899,0.248784,-0.00188467,False,0.247002,0.248886,-0.00188469,False,0.247009,0.248894,-0.00188466,False,0.770115,0.613438,0.73708,0.770115,0.288301,0.178341,0.121709,0.770114,0.327915,0.327929,1.2,7.76472e-10,,,,,,,,,
20,initial_eval,20,0,False,False,0.250695,0.250395,0.000299975,0.288686,0.288378,0.0142018,0.0142032,0.250801,0.250501,True,0.5292487499999999,0.250695,0.250395,0.000299975,True,0.250798,0.250498,0.00029997,True,0.250805,0.250505,0.000299971,True,0.75562,0.482195,0.633557,0.770114,0.106731,0.619649,0.159538,0.706586,0.328357,0.328357,7.76472e-10,1.2,,,,,,,,,
21,initial_eval,21,0,False,False,0.248595,0.247321,0.00127429,0.286529,0.28522,-0.00725481,-0.00720299,0.248701,0.247427,True,0.3978995,0.248595,0.247321,0.00127429,True,0.248698,0.247423,0.00127431,True,0.248705,0.247431,0.00127429,True,0.618181,0.473595,0.444862,0.551244,0.122733,0.505327,0.128291,0.338963,0.330222,0.330215,1.2,7.76472e-10,,,,,,,,,
22,initial_eval,22,0,False,False,0.248447,0.24715,0.0012964,0.286377,0.285045,-0.00829165,-0.00824187,0.248552,0.247256,True,0.5125206250000001,0.248447,0.24715,0.0012964,True,0.248549,0.247253,0.00129642,True,0.248556,0.24726,0.0012964,True,0.572917,0.476237,0.588594,0.770113,0.330766,0.770113,0.260624,0.330801,0.33026,0.330253,1.2,7.76472e-10,,,,,,,,,
23,initial_eval,23,0,False,False,0.24977,0.25224,-0.00246965,0.287736,0.290273,0.0323384,0.0321274,0.249876,0.252345,False,0.49321425,0.24977,0.25224,-0.00246965,False,0.249873,0.252342,-0.00246968,False,0.24988,0.25235,-0.00246964,False,0.770113,0.473998,0.604056,0.755224,0.421596,0.138322,0.137644,0.644761,0.324745,0.32522,7.76471e-10,1.2,,,,,,,,,
24,initial_eval,24,0,False,False,0.243648,0.240974,0.00267423,0.281447,0.2787,-0.00735358,-0.00724755,0.243753,0.241079,True,0.35681999999999997,0.243648,0.240974,0.00267423,True,0.24375,0.241076,0.00267429,True,0.243758,0.241083,0.00267424,True,0.516789,0.262486,0.42709,0.516068,0.296973,0.399473,0.14388,0.291801,0.330206,0.33019,7.76472e-10,1.2,,,,,,,,,
25,initial_eval,25,0,False,False,0.250658,0.250341,0.000316549,0.288648,0.288322,-0.00837982,-0.00836745,0.250763,0.250447,True,0.560572375,0.250658,0.250341,0.000316549,True,0.25076,0.250443,0.000316569,True,0.250767,0.250451,0.000316571,True,0.50609,0.566316,0.698648,0.753646,0.289464,0.770113,0.251963,0.648339,0.330307,0.330305,7.76472e-10,1.2,,,,,,,,,
26,initial_eval,26,0,False,False,0.249799,0.252269,-0.00246991,0.287766,0.290303,0.0333146,0.033111,0.249904,0.252374,False,0.560400125,0.249799,0.252269,-0.00246991,False,0.249901,0.252371,-0.00246993,False,0.249909,0.252378,-0.00246989,False,0.436849,0.770112,0.681453,0.713739,0.770113,0.151298,0.22418,0.735457,0.321984,0.322629,1.2,7.76471e-10,,,,,,,,,
27,initial_eval,27,0,False,False,0.24691,0.248795,-0.00188523,0.284798,0.286734,-0.00685698,-0.00693398,0.247015,0.2489,False,0.542052875,0.24691,0.248795,-0.00188523,False,0.247012,0.248897,-0.00188524,False,0.247019,0.248905,-0.00188521,False,0.770113,0.770114,0.770114,0.770114,0.241903,0.12439,0.119561,0.770114,0.330335,0.330345,1.2,7.76472e-10,,,,,,,,,
28,initial_eval,28,0,False,False,0.245656,0.246238,-0.000582133,0.28351,0.284107,-0.00708919,-0.00711406,0.245761,0.246344,False,0.36707737499999993,0.245656,0.246238,-0.000582133,False,0.245758,0.24634,-0.00058213,False,0.245766,0.246348,-0.000582133,False,0.52447,0.365733,0.453304,0.600734,0.118889,0.344019,0.136189,0.393281,0.330192,0.330195,1.2,7.76472e-10,,,,,,,,,
29,initial_eval,29,0,False,False,0.245927,0.247086,-0.00115956,0.283788,0.284979,0.0271474,0.0270482,0.246032,0.247192,False,0.36093624999999996,0.245927,0.247086,-0.00115956,False,0.246029,0.247189,-0.00115957,False,0.246036,0.247196,-0.00115955,False,0.531274,0.502889,0.534256,0.557204,0.152056,0.089561,0.157529,0.362721,0.327966,0.327973,7.76472e-10,1.2,,,,,,,,,
30,initial_eval,30,0,False,False,0.246855,0.248736,-0.00188194,0.284741,0.286674,0.0299569,0.0298031,0.24696,0.248842,False,0.4866560000000001,0.246855,0.248736,-0.00188194,False,0.246957,0.248839,-0.00188195,False,0.246964,0.248846,-0.00188192,False,0.743989,0.637715,0.708511,0.703339,0.198008,0.152937,0.1903,0.558449,0.327677,0.327697,1.2,7.76472e-10,,,,,,,,,
31,initial_eval,31,0,False,False,0.236758,0.240211,-0.00345236,0.274369,0.277916,-0.00662262,-0.00675887,0.236864,0.240316,False,0.315127875,0.236758,0.240211,-0.00345236,False,0.236861,0.240313,-0.00345241,False,0.236868,0.24032,-0.0034523,False,0.291619,0.360851,0.342939,0.426903,0.444661,0.192956,0.107367,0.353727,0.330128,0.330147,1.2,7.76472e-10,,,,,,,,,
32,initial_eval,32,1,False,False,0.242984,0.240015,0.00296864,0.277715,0.280765,0.0218565,0.0216367,0.240121,0.243089,True,0.3103241375,0.242984,0.240015,0.00296864,True,0.243086,0.240117,0.00296867,True,0.243093,0.240125,0.00296857,True,0.0938811,0.456305,0.374484,0.163556,0.490971,0.26999,0.367252,0.266154,0.328082,0.328091,1.2,7.76472e-10,,,,,,,,,
33,initial_eval,33,1,False,False,0.228336,0.224965,0.00337044,0.262251,0.265715,0.0109602,0.0107197,0.225071,0.228442,True,0.2686391125,0.228336,0.224965,0.00337044,True,0.228438,0.225067,0.0033705,True,0.228445,0.225075,0.00337042,True,0.361298,0.0966629,0.122031,0.492813,0.349183,0.300039,0.218776,0.20831,0.3287,0.328722,1.2,7.76472e-10,,,,,,,,,
