cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.0746401,0.0758544,-0.00121429,0.284823,0.286761,-0.00642472,-0.00650317,0.0527012,0.0529636,False,0.44785987499999996,0.0746401,0.0758544,-0.00121429,False,0.0746401,0.0758544,-0.00121429,False,0.0527021,0.0529644,-0.000262353,False,0.741245,0.57729,0.633202,0.770111,0.107267,0.142146,0.109099,0.502519,0.330236,0.330246,1.2,7.76472e-10,,,,,,,,,
1,initial_eval,1,0,False,False,0.0739791,0.0746865,-0.000707416,0.282135,0.283263,-0.00716144,-0.00720969,0.0530142,0.0531629,False,0.383877,0.0739791,0.0746865,-0.000707416,False,0.0739791,0.0746865,-0.000707416,False,0.0530151,0.0531638,-0.000148713,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.330194,0.3302,1.2,7.76472e-10,,,,,,,,,
2,initial_eval,2,0,False,False,0.0722238,0.0720288,0.000195009,0.27538,0.27507,-0.00585144,-0.00584055,0.0519256,0.0518911,True,0.29886775000000004,0.0722238,0.0720288,0.000195009,True,0.0722238,0.0720288,0.000195009,True,0.0519265,0.0518919,3.45825e-05,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.330145,0.330144,7.76472e-10,1.2,,,,,,,,,
3,initial_eval,3,0,False,False,0.074325,0.0743734,-4.83662e-05,0.282718,0.282795,-0.00736762,-0.0073692,0.0530984,0.0531023,False,0.34778837500000004,0.074325,0.0743734,-4.83662e-05,False,0.074325,0.0743734,-4.83667e-05,False,0.0530993,0.0531031,-3.87379e-06,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.330276,0.330276,7.76472e-10,1.2,,,,,,,,,
4,initial_eval,4,0,False,False,0.0740189,0.0747093,-0.000690401,0.282255,0.283355,-0.00695995,-0.00700367,0.052701,0.0528484,False,0.383445,0.0740189,0.0747093,-0.000690401,False,0.0740188,0.0747092,-0.000690401,False,0.0527019,0.0528493,-0.00014742,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.330329,0.330335,1.2,7.76472e-10,,,,,,,,,
5,initial_eval,5,0,False,False,0.0751861,0.0748746,0.000311565,0.285312,0.284815,-0.00705243,-0.00703141,0.0529537,0.0528804,True,0.37133174999999996,0.0751861,0.0748746,0.000311565,True,0.0751861,0.0748745,0.00031157,True,0.0529546,0.0528812,7.33777e-05,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.330363,0.330361,1.2,7.76472e-10,,,,,,,,,
6,initial_eval,6,0,False,False,0.0756311,0.0767186,-0.00108752,0.288066,0.289804,-0.00818545,-0.00825113,0.0538706,0.0540862,False,0.543639625,0.0756311,0.0767186,-0.00108752,False,0.0756311,0.0767186,-0.00108752,False,0.0538715,0.054087,-0.00021556,False,0.676339,0.66374,0.770112,0.650108,0.375466,0.351668,0.149631,0.712053,0.330282,0.330291,1.2,7.76472e-10,,,,,,,,,
7,initial_eval,7,0,False,False,0.076055,0.0757106,0.000344372,0.288226,0.287676,0.034391,0.0345015,0.0479966,0.047955,True,0.42723375,0.076055,0.0757106,0.000344372,True,0.076055,0.0757106,0.000344374,True,0.0479973,0.0479558,4.15774e-05,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.315639,0.315174,7.76471e-10,1.2,,,,,,,,,
8,initial_eval,8,0,False,False,0.0759767,0.0752642,0.000712529,0.287629,0.286492,-0.00802715,-0.00798378,0.0538787,0.053738,True,0.41991187500000005,0.0759767,0.0752642,0.000712529,True,0.0759767,0.0752642,0.000712528,True,0.0538796,0.0537389,0.000140726,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.330243,0.330236,7.76472e-10,1.2,,,,,,,,,
9,initial_eval,9,0,False,False,0.0747976,0.0759941,-0.00119654,0.285341,0.287251,-0.00790234,-0.00797665,0.0535656,0.0537997,False,0.5125387250000001,0.0747976,0.0759941,-0.00119654,False,0.0747976,0.0759941,-0.00119654,False,0.0535665,0.0538006,-0.000234133,False,0.715184,0.569406,0.590993,0.770113,0.328889,0.269307,0.0863048,0.770113,0.330247,0.330258,7.76472e-10,1.2,,,,,,,,,
10,initial_eval,10,0,False,False,0.0742449,0.0749357,-0.000690859,0.28302,0.284122,-0.00675036,-0.00679459,0.0527754,0.0529258,False,0.34533500000000006,0.0742449,0.0749357,-0.000690859,False,0.0742449,0.0749357,-0.000690859,False,0.0527763,0.0529266,-0.000150366,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.33025,0.330257,7.76472e-10,1.2,,,,,,,,,
11,initial_eval,11,0,False,False,0.074603,0.0758187,-0.00121565,0.284699,0.286639,0.0267771,0.0266272,0.051438,0.0516902,False,0.40108024999999997,0.074603,0.0758187,-0.00121565,False,0.074603,0.0758186,-0.00121565,False,0.0514388,0.051691,-0.000252221,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.327982,0.327992,7.76472e-10,1.2,,,,,,,,,
