cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.246934,0.24882,-0.00188669,0.284823,0.286761,-0.00642472,-0.00650317,0.24704,0.248926,False,0.44785987499999996,0.246934,0.24882,-0.00188669,False,0.247036,0.248923,-0.0018867,False,0.247044,0.24893,-0.00188666,False,0.741245,0.57729,0.633202,0.770111,0.107267,0.142146,0.109099,0.502519,0.330236,0.330246,1.2,7.76472e-10,,,,,,,,,
1,initial_eval,1,0,False,False,0.244317,0.245415,-0.00109778,0.282135,0.283263,-0.00716144,-0.00720969,0.244423,0.245521,False,0.383877,0.244317,0.245415,-0.00109778,False,0.24442,0.245518,-0.00109778,False,0.244427,0.245525,-0.00109776,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.330194,0.3302,1.2,7.76472e-10,,,,,,,,,
2,initial_eval,2,0,False,False,0.237742,0.23744,0.000301637,0.27538,0.27507,-0.00585144,-0.00584055,0.237848,0.237546,True,0.29886775000000004,0.237742,0.23744,0.000301637,True,0.237844,0.237543,0.000301657,True,0.237852,0.23755,0.000301642,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.330145,0.330144,7.76472e-10,1.2,,,,,,,,,
3,initial_eval,3,0,False,False,0.244885,0.24496,-7.50768e-05,0.282718,0.282795,-0.0073678,-0.00736947,0.244991,0.245066,False,0.34778837500000004,0.244885,0.24496,-7.50768e-05,False,0.244987,0.245062,-7.50705e-05,False,0.244995,0.24507,-7.50591e-05,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.330276,0.330277,7.76472e-10,1.2,,,,,,,,,
4,initial_eval,4,0,False,False,0.244434,0.245505,-0.00107143,0.282255,0.283355,-0.00695995,-0.00700367,0.244539,0.245611,False,0.383445,0.244434,0.245505,-0.00107143,False,0.244536,0.245608,-0.00107143,False,0.244543,0.245615,-0.0010714,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.330329,0.330335,1.2,7.76472e-10,,,,,,,,,
5,initial_eval,5,0,False,False,0.24741,0.246926,0.000483912,0.285312,0.284815,-0.00705243,-0.00703141,0.247516,0.247032,True,0.37133174999999996,0.24741,0.246926,0.000483912,True,0.247512,0.247029,0.000483929,True,0.24752,0.247036,0.000483937,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.330363,0.330361,1.2,7.76472e-10,,,,,,,,,
6,initial_eval,6,0,False,False,0.250091,0.251783,-0.00169194,0.288066,0.289804,-0.00818545,-0.00825113,0.250197,0.251889,False,0.543639625,0.250091,0.251783,-0.00169194,False,0.250194,0.251885,-0.00169193,False,0.250201,0.251893,-0.0016919,False,0.676339,0.66374,0.770112,0.650108,0.375466,0.351668,0.149631,0.712053,0.330282,0.330291,1.2,7.76472e-10,,,,,,,,,
7,initial_eval,7,0,False,False,0.250246,0.249711,0.000535509,0.288226,0.287676,0.034391,0.0345015,0.250352,0.249817,True,0.42723375,0.250246,0.249711,0.000535509,True,0.250349,0.249813,0.000535521,True,0.250356,0.249821,0.000535513,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.315639,0.315174,7.76471e-10,1.2,,,,,,,,,
8,initial_eval,8,0,False,False,0.249666,0.248558,0.00110765,0.287629,0.286492,-0.00802715,-0.00798378,0.249772,0.248664,True,0.41991187500000005,0.249666,0.248558,0.00110765,True,0.249768,0.248661,0.00110766,True,0.249776,0.248668,0.00110763,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.330243,0.330236,7.76472e-10,1.2,,,,,,,,,
9,initial_eval,9,0,False,False,0.247438,0.249297,-0.00185949,0.285341,0.287251,-0.00790234,-0.00797665,0.247543,0.249403,False,0.5125387250000001,0.247438,0.249297,-0.00185949,False,0.24754,0.2494,-0.0018595,False,0.247548,0.249407,-0.00185946,False,0.715184,0.569406,0.590993,0.770113,0.328889,0.269307,0.0863048,0.770113,0.330247,0.330258,7.76472e-10,1.2,,,,,,,,,
