cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.29028,0.290467,-0.000186411,0.329378,0.329568,0.329354,0.329544,0.290517,0.290703,False,0.44786,0.29028,0.290467,-0.000186411,False,0.290397,0.290583,-0.000185852,False,0.290474,0.29066,-0.000185538,False,0.741245,0.57729,0.633202,0.770112,0.107267,0.142146,0.109099,0.502519,0.00115736,0.00115662,7.76472e-10,1.2,,,,,,,,,
1,initial_eval,1,0,False,False,0.290265,0.29045,-0.000185661,0.32936,0.329549,0.329338,0.329527,0.290503,0.290687,False,0.383877,0.290265,0.29045,-0.000185661,False,0.290381,0.290566,-0.000185291,False,0.290458,0.290643,-0.000185082,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00115742,0.00115668,1.2,7.76472e-10,,,,,,,,,
2,initial_eval,2,0,False,False,0.290257,0.286474,0.00378361,0.329354,0.325477,0.329333,0.325457,0.290495,0.286717,True,0.29886775000000004,0.290257,0.286474,0.00378361,True,0.290374,0.286593,0.00378106,True,0.290452,0.286672,0.00377951,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00115744,0.00117267,7.76472e-10,1.2,,,,,,,,,
3,initial_eval,3,0,False,False,0.287663,0.290443,-0.00278039,0.326684,0.329541,0.326663,0.32952,0.287897,0.290679,False,0.34778837500000004,0.287663,0.290443,-0.00278039,False,0.287777,0.290559,-0.00278142,False,0.287854,0.290636,-0.00278199,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.00116789,0.00115671,7.76472e-10,1.2,,,,,,,,,
4,initial_eval,4,0,False,False,0.290255,0.290441,-0.000186679,0.32935,0.32954,0.329329,0.329519,0.290492,0.290678,False,0.383445,0.290255,0.290441,-0.000186679,False,0.290371,0.290557,-0.000186125,False,0.290449,0.290634,-0.000185813,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.00115745,0.00115672,1.2,7.76472e-10,,,,,,,,,
5,initial_eval,5,0,False,False,0.290255,0.290438,-0.000183084,0.329348,0.329538,0.329327,0.329516,0.290491,0.290675,False,0.37133174999999996,0.290255,0.290438,-0.000183084,False,0.290371,0.290554,-0.000183574,False,0.290448,0.290632,-0.000183848,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.00115746,0.00115673,7.76472e-10,1.2,,,,,,,,,
6,initial_eval,6,0,False,False,0.290252,0.290439,-0.000187636,0.329347,0.329536,0.329326,0.329515,0.290489,0.290674,False,0.543639875,0.290252,0.290439,-0.000187636,False,0.290368,0.290555,-0.000186579,False,0.290445,0.290631,-0.000185986,False,0.676339,0.66374,0.770114,0.650108,0.375466,0.351668,0.149631,0.712053,0.00115747,0.00115673,7.76472e-10,1.2,,,,,,,,,
7,initial_eval,7,0,False,False,0.29025,0.290435,-0.000185223,0.329344,0.329534,0.329323,0.329513,0.290487,0.290672,False,0.42723375,0.29025,0.290435,-0.000185223,False,0.290366,0.290551,-0.000185012,False,0.290443,0.290628,-0.000184892,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00115748,0.00115674,1.2,7.76472e-10,,,,,,,,,
8,initial_eval,8,0,False,False,0.29024,0.290423,-0.000182906,0.329331,0.329521,0.32931,0.329499,0.290476,0.29066,False,0.41991187500000005,0.29024,0.290423,-0.000182906,False,0.290355,0.290538,-0.000183432,False,0.290432,0.290615,-0.000183726,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00115753,0.00115679,1.2,7.76472e-10,,,,,,,,,
9,initial_eval,9,0,False,False,0.290238,0.290425,-0.000186711,0.329333,0.329523,0.329311,0.329501,0.290476,0.290662,False,0.5125388500000001,0.290238,0.290425,-0.000186711,False,0.290355,0.290541,-0.000186119,False,0.290432,0.290618,-0.000185787,False,0.715184,0.569406,0.590993,0.770113,0.328889,0.269307,0.0863048,0.770114,0.00115752,0.00115679,7.76472e-10,1.2,,,,,,,,,
10,initial_eval,10,0,False,False,0.290237,0.290308,-7.07765e-05,0.329334,0.329455,0.329312,0.329438,0.290477,0.290581,False,0.34533500000000006,0.290237,0.290308,-7.07765e-05,False,0.290354,0.290443,-8.85382e-05,False,0.290432,0.290531,-9.87869e-05,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.00115752,0.00115703,1.2,7.76472e-10,,,,,,,,,
11,initial_eval,11,0,False,False,0.290231,0.290417,-0.000186391,0.329325,0.329515,0.329304,0.329493,0.290469,0.290654,False,0.40108024999999997,0.290231,0.290417,-0.000186391,False,0.290347,0.290533,-0.000185798,False,0.290424,0.29061,-0.000185464,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.00115755,0.00115682,1.2,7.76472e-10,,,,,,,,,
12,initial_eval,12,0,False,False,0.290241,0.290425,-0.000184162,0.329335,0.329525,0.329313,0.329503,0.290478,0.290663,False,0.49262754999999997,0.290241,0.290425,-0.000184162,False,0.290357,0.290541,-0.000184454,False,0.290434,0.290619,-0.000184617,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.00115751,0.00115678,1.2,7.76472e-10,,,,,,,,,
13,initial_eval,13,0,False,False,0.290227,0.290413,-0.000186294,0.329321,0.32951,0.329299,0.329489,0.290465,0.29065,False,0.41943698749999997,0.290227,0.290413,-0.000186294,False,0.290343,0.290529,-0.000185718,False,0.29042,0.290606,-0.000185395,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.00115757,0.00115683,7.76472e-10,1.2,,,,,,,,,
14,initial_eval,14,0,False,False,0.290231,0.290416,-0.000185403,0.329324,0.329514,0.329303,0.329492,0.290468,0.290653,False,0.5126675,0.290231,0.290416,-0.000185403,False,0.290347,0.290532,-0.000185156,False,0.290424,0.290609,-0.000185016,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.00115755,0.00115682,7.76472e-10,1.2,,,,,,,,,
15,initial_eval,15,0,False,False,0.290228,0.290414,-0.000186653,0.329324,0.329514,0.3293,0.329489,0.290466,0.290651,False,0.456683375,0.290228,0.290414,-0.000186653,False,0.290344,0.29053,-0.000186081,False,0.290421,0.290607,-0.000185749,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.00115757,0.00115683,1.2,7.76472e-10,,,,,,,,,
