cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,sum_d_readout_out0_signed,sum_d_readout_out1_signed,d_output_bias_out0_signed,d_output_bias_out1_signed
0,initial_eval,0,0,False,False,0.270456,0.270931,-0.00047483,0.30898,0.309468,0.259473,0.24734,0.270562,0.271036,False,0.44785987499999996,0.270456,0.270931,-0.00047483,False,0.270558,0.271033,-0.000474838,False,0.270566,0.271041,-0.000474635,False,0.741245,0.57729,0.633202,0.770111,0.107267,0.142146,0.109099,0.502519,0.0015114,0.00159626,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.269676,0.269297,0.000378492,0.308179,0.307791,0.243849,0.228162,0.269782,0.269403,True,0.383877,0.269676,0.269297,0.000378492,True,0.269778,0.2694,0.00037849,True,0.269786,0.269407,0.000378679,True,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00162248,0.00175183,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.267334,0.265286,0.00204821,0.305775,0.303671,0.254581,0.239709,0.26744,0.265392,True,0.29886775000000004,0.267334,0.265286,0.00204821,True,0.267437,0.265388,0.00204825,True,0.267444,0.265396,0.00204826,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00154451,0.00165472,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.269898,0.269477,0.000420935,0.308407,0.307975,0.246174,0.230292,0.270004,0.269582,True,0.34778837500000004,0.269898,0.269477,0.000420935,True,0.27,0.269579,0.000420932,True,0.270008,0.269587,0.000421386,True,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.00160493,0.00173306,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
4,initial_eval,4,0,False,False,0.269657,0.269285,0.000372377,0.30816,0.307777,0.244304,0.228233,0.269763,0.26939,True,0.383445,0.269657,0.269285,0.000372377,True,0.269759,0.269387,0.000372384,True,0.269767,0.269395,0.000372575,True,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.00161901,0.0017512,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
5,initial_eval,5,0,False,False,0.27187,0.269499,0.00237105,0.310432,0.307997,0.261398,0.245786,0.271976,0.269604,True,0.37133174999999996,0.27187,0.269499,0.00237105,True,0.271972,0.269601,0.00237108,True,0.27198,0.269609,0.00237132,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.00149876,0.00160783,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
6,initial_eval,6,0,False,False,0.271438,0.272321,-0.000883213,0.309989,0.310896,0.247053,0.231987,0.271544,0.272427,False,0.543639875,0.271438,0.272321,-0.000883213,False,0.27154,0.272424,-0.000883224,False,0.271549,0.272432,-0.000882917,False,0.676339,0.66374,0.770114,0.650108,0.375466,0.351668,0.149631,0.712053,0.00159838,0.00171842,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
7,initial_eval,7,0,False,False,0.272609,0.270841,0.00176753,0.311191,0.309376,0.249571,0.232039,0.272715,0.270947,True,0.42723375,0.272609,0.270841,0.00176753,True,0.272711,0.270944,0.00176757,True,0.272719,0.270951,0.00176791,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00157994,0.00171797,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
8,initial_eval,8,0,False,False,0.272111,0.26991,0.00220034,0.31068,0.30842,0.247688,0.22929,0.272217,0.270016,True,0.41991187500000005,0.272111,0.26991,0.00220034,True,0.272213,0.270013,0.00220036,True,0.272221,0.270021,0.00220068,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00159369,0.00174184,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
9,initial_eval,9,0,False,False,0.270433,0.270915,-0.000481692,0.308956,0.309451,0.260176,0.247904,0.270539,0.27102,False,0.512538975,0.270433,0.270915,-0.000481692,False,0.270535,0.271017,-0.000481709,False,0.270543,0.271025,-0.000481505,False,0.715184,0.569406,0.590993,0.770114,0.328889,0.269307,0.0863048,0.770114,0.00150676,0.00159211,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
