cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,merr0,merr1
0,initial_eval,0,0,False,False,0.179495,0.179681,-0.000186214,0.215558,0.215747,0.215544,0.215734,0.179738,0.179923,False,0.44786,0.179495,0.179681,-0.000186214,False,0.179613,0.179799,-0.000185424,False,0.179693,0.179878,-0.000184976,False,0.741245,0.57729,0.633202,0.770112,0.107267,0.142146,0.109099,0.502519,0.00187194,0.00187001,1.2,7.76472e-10,,,
1,initial_eval,1,0,False,False,0.179491,0.179677,-0.000186009,0.215558,0.215747,0.215545,0.215734,0.179739,0.179923,False,0.383877,0.179491,0.179677,-0.000186009,False,0.179611,0.179797,-0.000185321,False,0.179691,0.179876,-0.000184933,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00187193,0.00187,7.76471e-10,1.2,,,
2,initial_eval,2,0,False,False,0.179491,0.179673,-0.000181743,0.215555,0.215743,0.215542,0.215731,0.179735,0.179918,False,0.29886775000000004,0.179491,0.179673,-0.000181743,False,0.17961,0.179792,-0.000182192,False,0.17969,0.179872,-0.000182443,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00187196,0.00187004,7.76472e-10,1.2,,,
3,initial_eval,3,0,False,False,0.179483,0.179666,-0.000183347,0.215545,0.215734,0.215532,0.215722,0.179726,0.17991,False,0.34778837500000004,0.179483,0.179666,-0.000183347,False,0.179601,0.179785,-0.000183561,False,0.179681,0.179864,-0.000183679,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.00187206,0.00187013,1.2,7.76471e-10,,,
4,initial_eval,4,0,False,False,0.179479,0.179667,-0.00018802,0.215545,0.215735,0.215532,0.215722,0.179725,0.179911,False,0.383445,0.179479,0.179667,-0.00018802,False,0.179599,0.179786,-0.000186773,False,0.179679,0.179865,-0.000186069,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.00187206,0.00187013,7.76471e-10,1.2,,,
5,initial_eval,5,0,False,False,0.17948,0.179663,-0.000182768,0.215543,0.215732,0.21553,0.215719,0.179724,0.179907,False,0.37133174999999996,0.17948,0.179663,-0.000182768,False,0.179599,0.179782,-0.000183071,False,0.179678,0.179861,-0.000183241,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.00187208,0.00187016,1.2,7.76471e-10,,,
6,initial_eval,6,0,False,False,0.179482,0.179666,-0.000184463,0.215545,0.215734,0.215533,0.215721,0.179726,0.17991,False,0.543639625,0.179482,0.179666,-0.000184463,False,0.179601,0.179785,-0.000184098,False,0.17968,0.179864,-0.000183891,False,0.676339,0.66374,0.770112,0.650108,0.375466,0.351668,0.149631,0.712053,0.00187205,0.00187014,7.76471e-10,1.2,,,
7,initial_eval,7,0,False,False,0.17948,0.179665,-0.000184943,0.215544,0.215733,0.215532,0.215721,0.179725,0.179909,False,0.42723375,0.17948,0.179665,-0.000184943,False,0.179599,0.179784,-0.000184544,False,0.179679,0.179863,-0.000184318,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00187206,0.00187014,7.76472e-10,1.2,,,
8,initial_eval,8,0,False,False,0.179475,0.17966,-0.00018487,0.215538,0.215727,0.215526,0.215715,0.179721,0.179905,False,0.41991187500000005,0.179475,0.17966,-0.00018487,False,0.179594,0.179779,-0.000184481,False,0.179674,0.179858,-0.00018426,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00187212,0.0018702,1.2,7.76471e-10,,,
9,initial_eval,9,0,False,False,0.179476,0.179661,-0.00018505,0.21554,0.215729,0.215527,0.215716,0.179721,0.179906,False,0.5125391,0.179476,0.179661,-0.00018505,False,0.179595,0.179779,-0.000184633,False,0.179675,0.179859,-0.000184396,False,0.715184,0.569406,0.590993,0.770114,0.328889,0.269307,0.0863048,0.770115,0.00187211,0.00187019,7.76471e-10,1.2,,,
