cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,merr0,merr1
0,initial_eval,0,0,False,False,0.179495,0.179681,-0.000186214,0.215558,0.215747,0.215544,0.215734,0.179738,0.179923,False,0.44786,0.179495,0.179681,-0.000186214,False,0.179613,0.179799,-0.000185424,False,0.179693,0.179878,-0.000184976,False,0.741245,0.57729,0.633202,0.770112,0.107267,0.142146,0.109099,0.502519,0.00187194,0.00187001,1.2,7.76472e-10,,,
1,initial_eval,1,0,False,False,0.179491,0.179677,-0.000186009,0.215558,0.215747,0.215545,0.215734,0.179739,0.179923,False,0.383877,0.179491,0.179677,-0.000186009,False,0.179611,0.179797,-0.000185321,False,0.179691,0.179876,-0.000184933,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00187193,0.00187,1.2,7.76472e-10,,,
2,initial_eval,2,0,False,False,0.179491,0.179673,-0.000181743,0.215555,0.215743,0.215542,0.215731,0.179735,0.179918,False,0.29886775000000004,0.179491,0.179673,-0.000181743,False,0.17961,0.179792,-0.000182192,False,0.17969,0.179872,-0.000182443,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00187196,0.00187004,7.76471e-10,1.2,,,
3,initial_eval,3,0,False,False,0.179483,0.179666,-0.000183346,0.215545,0.215734,0.215532,0.215722,0.179726,0.17991,False,0.34778837500000004,0.179483,0.179666,-0.000183346,False,0.179601,0.179785,-0.000183561,False,0.179681,0.179864,-0.000183679,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.00187206,0.00187013,1.2,7.76471e-10,,,
4,initial_eval,4,0,False,False,0.179479,0.179667,-0.00018802,0.215545,0.215735,0.215532,0.215722,0.179725,0.179911,False,0.383445,0.179479,0.179667,-0.00018802,False,0.179599,0.179786,-0.000186773,False,0.179679,0.179865,-0.000186069,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.00187206,0.00187013,7.76471e-10,1.2,,,
5,initial_eval,5,0,False,False,0.17948,0.179663,-0.000182768,0.215543,0.215732,0.21553,0.215719,0.179724,0.179907,False,0.37133174999999996,0.17948,0.179663,-0.000182768,False,0.179599,0.179782,-0.000183071,False,0.179678,0.179861,-0.000183241,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.00187208,0.00187016,7.76472e-10,1.2,,,
6,initial_eval,6,0,False,False,0.179482,0.179666,-0.000184451,0.215545,0.215734,0.215533,0.215721,0.179726,0.17991,False,0.543639875,0.179482,0.179666,-0.000184451,False,0.179601,0.179785,-0.00018409,False,0.17968,0.179864,-0.000183885,False,0.676339,0.66374,0.770114,0.650108,0.375466,0.351668,0.149631,0.712053,0.00187205,0.00187014,7.76472e-10,1.2,,,
7,initial_eval,7,0,False,False,0.17948,0.179665,-0.000184943,0.215544,0.215733,0.215532,0.215721,0.179725,0.179909,False,0.42723375,0.17948,0.179665,-0.000184943,False,0.179599,0.179784,-0.000184544,False,0.179679,0.179863,-0.000184318,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00187206,0.00187014,1.2,7.76471e-10,,,
8,initial_eval,8,0,False,False,0.179475,0.17966,-0.00018487,0.215538,0.215727,0.215526,0.215715,0.179721,0.179905,False,0.41991187500000005,0.179475,0.17966,-0.00018487,False,0.179594,0.179779,-0.000184481,False,0.179674,0.179858,-0.00018426,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00187212,0.0018702,7.76471e-10,1.2,,,
9,initial_eval,9,0,False,False,0.179476,0.179661,-0.000185038,0.21554,0.215729,0.215527,0.215716,0.179721,0.179906,False,0.5125391,0.179476,0.179661,-0.000185038,False,0.179595,0.179779,-0.000184625,False,0.179675,0.179859,-0.00018439,False,0.715184,0.569406,0.590993,0.770114,0.328889,0.269307,0.0863048,0.770115,0.00187211,0.00187019,1.2,7.76471e-10,,,
10,initial_eval,10,0,False,False,0.179467,0.17965,-0.000182964,0.21553,0.215719,0.215518,0.215706,0.179713,0.179896,False,0.34533500000000006,0.179467,0.17965,-0.000182964,False,0.179586,0.179769,-0.000183135,False,0.179666,0.179849,-0.00018323,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.00187221,0.00187029,1.2,7.76472e-10,,,
11,initial_eval,11,0,False,False,0.179465,0.179648,-0.000182649,0.215527,0.215716,0.215514,0.215703,0.17971,0.179893,False,0.40108024999999997,0.179465,0.179648,-0.000182649,False,0.179584,0.179767,-0.000182915,False,0.179663,0.179846,-0.000183063,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.00187224,0.00187032,7.76471e-10,1.2,,,
12,initial_eval,12,0,False,False,0.179466,0.17965,-0.000183445,0.21553,0.215719,0.215517,0.215706,0.179712,0.179896,False,0.49262754999999997,0.179466,0.17965,-0.000183445,False,0.179585,0.179769,-0.000183619,False,0.179665,0.179849,-0.000183713,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.00187221,0.00187029,1.2,7.76471e-10,,,
13,initial_eval,13,0,False,False,0.179453,0.179643,-0.000190533,0.215517,0.215712,0.215504,0.215699,0.179699,0.179889,False,0.41943698749999997,0.179453,0.179643,-0.000190533,False,0.179572,0.179762,-0.000190151,False,0.179652,0.179842,-0.00018995,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.00187234,0.00187036,7.76471e-10,1.2,,,
14,initial_eval,14,0,False,False,0.17946,0.179644,-0.000184864,0.215523,0.215712,0.21551,0.215699,0.179705,0.179889,False,0.5126675,0.17946,0.179644,-0.000184864,False,0.179579,0.179763,-0.000184477,False,0.179658,0.179843,-0.000184257,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.00187228,0.00187036,7.76472e-10,1.2,,,
15,initial_eval,15,0,False,False,0.179452,0.179638,-0.000186344,0.215517,0.215706,0.215504,0.215693,0.179699,0.179884,False,0.456683375,0.179452,0.179638,-0.000186344,False,0.179572,0.179757,-0.000185541,False,0.179652,0.179837,-0.000185087,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.00187234,0.00187042,7.76472e-10,1.2,,,
16,initial_eval,16,0,False,False,0.179442,0.17963,-0.00018778,0.215505,0.215694,0.215492,0.215681,0.179688,0.179873,False,0.30304525,0.179442,0.17963,-0.00018778,False,0.179561,0.179748,-0.000186505,False,0.179641,0.179827,-0.000185785,False,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.00187247,0.00187054,7.76472e-10,1.2,,,
17,initial_eval,17,0,False,False,0.179453,0.179636,-0.000182838,0.215515,0.215704,0.215502,0.215691,0.179698,0.179881,False,0.489279625,0.179453,0.179636,-0.000182838,False,0.179572,0.179755,-0.000183069,False,0.179651,0.179835,-0.000183197,False,0.640951,0.717267,0.770113,0.685167,0.108697,0.284195,0.178522,0.529325,0.00187236,0.00187044,1.2,7.76471e-10,,,
18,initial_eval,18,0,False,False,0.179452,0.179637,-0.000185354,0.215516,0.215705,0.215503,0.215693,0.179698,0.179883,False,0.6504125,0.179452,0.179637,-0.000185354,False,0.179571,0.179756,-0.000184921,False,0.179651,0.179836,-0.000184675,False,0.396961,0.770104,0.770104,0.710292,0.629719,0.710614,0.445404,0.770102,0.00187235,0.00187043,1.2,7.76472e-10,,,
