cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.179495,0.179681,-0.000186215,0.215558,0.215747,0.215544,0.215733,0.179738,0.179922,False,0.44786,0.179495,0.179681,-0.000186215,False,0.179613,0.179799,-0.000185424,False,0.179692,0.179877,-0.000184976,False,0.741245,0.57729,0.633202,0.770112,0.107267,0.142146,0.109099,0.502519,0.00187194,0.00187002,1.2,7.76472e-10,
1,initial_eval,1,0,False,False,0.17949,0.179676,-0.00018601,0.215556,0.215746,0.215544,0.215733,0.179737,0.179922,False,0.383877,0.17949,0.179676,-0.00018601,False,0.17961,0.179795,-0.000185321,False,0.17969,0.179875,-0.000184932,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00187194,0.00187002,7.76471e-10,1.2,
2,initial_eval,2,0,False,False,0.179488,0.17967,-0.000181744,0.215552,0.21574,0.215539,0.215728,0.179733,0.179915,False,0.29886775000000004,0.179488,0.17967,-0.000181744,False,0.179607,0.17979,-0.000182191,False,0.179687,0.179869,-0.000182442,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00187199,0.00187007,1.2,7.76471e-10,
3,initial_eval,3,0,False,False,0.179479,0.179662,-0.000183347,0.215541,0.21573,0.215528,0.215717,0.179722,0.179906,False,0.34778837500000004,0.179479,0.179662,-0.000183347,False,0.179597,0.179781,-0.00018356,False,0.179676,0.17986,-0.000183677,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.0018721,0.00187018,7.76471e-10,1.2,
4,initial_eval,4,0,False,False,0.179474,0.179662,-0.000188021,0.215539,0.215729,0.215527,0.215716,0.179719,0.179905,False,0.383445,0.179474,0.179662,-0.000188021,False,0.179594,0.17978,-0.000186772,False,0.179674,0.17986,-0.000186068,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.00187212,0.00187019,7.76472e-10,1.2,
5,initial_eval,5,0,False,False,0.179473,0.179656,-0.000182768,0.215536,0.215725,0.215523,0.215712,0.179717,0.1799,False,0.37133174999999996,0.179473,0.179656,-0.000182768,False,0.179592,0.179775,-0.00018307,False,0.179671,0.179855,-0.000183238,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.00187215,0.00187023,7.76472e-10,1.2,
6,initial_eval,6,0,False,False,0.179474,0.179658,-0.000184449,0.215537,0.215726,0.215524,0.215713,0.179718,0.179902,False,0.543639875,0.179474,0.179658,-0.000184449,False,0.179593,0.179777,-0.000184087,False,0.179672,0.179856,-0.000183882,False,0.676339,0.66374,0.770114,0.650108,0.375466,0.351668,0.149631,0.712053,0.00187214,0.00187022,7.76472e-10,1.2,
7,initial_eval,7,0,False,False,0.17947,0.179655,-0.00018494,0.215535,0.215724,0.215522,0.215711,0.179715,0.179899,False,0.42723375,0.17947,0.179655,-0.00018494,False,0.17959,0.179774,-0.000184541,False,0.17967,0.179854,-0.000184314,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00187216,0.00187024,7.76472e-10,1.2,
8,initial_eval,8,0,False,False,0.179464,0.179649,-0.000184867,0.215527,0.215716,0.215515,0.215703,0.17971,0.179894,False,0.41991187500000005,0.179464,0.179649,-0.000184867,False,0.179583,0.179768,-0.000184477,False,0.179663,0.179847,-0.000184256,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00187224,0.00187032,1.2,7.76471e-10,
9,initial_eval,9,0,False,False,0.179463,0.179649,-0.000185047,0.215527,0.215716,0.215514,0.215704,0.179709,0.179894,False,0.5125391,0.179463,0.179649,-0.000185047,False,0.179583,0.179767,-0.000184629,False,0.179662,0.179847,-0.000184391,False,0.715184,0.569406,0.590993,0.770114,0.328889,0.269307,0.0863048,0.770115,0.00187224,0.00187032,7.76471e-10,1.2,
