cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.162466,0.1643,-0.0018336,0.197994,0.19988,0.1804,0.182325,0.162577,0.164411,False,0.447859375,0.162466,0.1643,-0.0018336,False,0.162568,0.164402,-0.00183358,False,0.16258,0.164414,-0.00183365,False,0.741245,0.57729,0.633202,0.770107,0.107267,0.142146,0.109099,0.502519,0.00231463,0.00228499,7.76471e-10,1.2,
1,initial_eval,1,0,False,False,0.162472,0.164514,-0.00204261,0.197998,0.2001,0.178598,0.18043,0.162582,0.164625,False,0.383877,0.162472,0.164514,-0.00204261,False,0.162573,0.164616,-0.00204261,False,0.162585,0.164628,-0.00204275,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00234309,0.00231416,1.2,7.76471e-10,
2,initial_eval,2,0,False,False,0.163895,0.163091,0.000804403,0.199463,0.198635,0.180839,0.180098,0.164006,0.163201,True,0.29886775000000004,0.163895,0.163091,0.000804403,True,0.163997,0.163192,0.000804465,True,0.164008,0.163204,0.000804584,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00230781,0.00231936,7.76471e-10,1.2,
3,initial_eval,3,0,False,False,0.164148,0.164259,-0.00011058,0.199723,0.199837,0.183046,0.183058,0.164259,0.164369,False,0.34778837500000004,0.164148,0.164259,-0.00011058,False,0.16425,0.16436,-0.000110523,False,0.164262,0.164372,-0.000110465,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.00227409,0.0022739,7.76471e-10,1.2,
4,initial_eval,4,0,False,False,0.163165,0.165335,-0.00217,0.198713,0.200945,0.181931,0.184214,0.163276,0.165446,False,0.383445,0.163165,0.165335,-0.00217,False,0.163267,0.165437,-0.00217,False,0.163279,0.165449,-0.00217008,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.002291,0.00225664,7.76471e-10,1.2,
5,initial_eval,5,0,False,False,0.164156,0.163824,0.000332038,0.199732,0.19939,0.181843,0.181535,0.164267,0.163935,True,0.37133174999999996,0.164156,0.163824,0.000332038,True,0.164258,0.163926,0.000332075,True,0.164269,0.163937,0.000332149,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.00229235,0.00229707,7.76471e-10,1.2,
6,initial_eval,6,0,False,False,0.164648,0.165638,-0.000990394,0.200238,0.201257,0.183777,0.184674,0.164759,0.16575,False,0.543639875,0.164648,0.165638,-0.000990394,False,0.16475,0.16574,-0.000990365,False,0.164762,0.165752,-0.000990325,False,0.676339,0.66374,0.770114,0.650108,0.375466,0.351668,0.149631,0.712053,0.00226314,0.00224984,7.76471e-10,1.2,
7,initial_eval,7,0,False,False,0.164624,0.165616,-0.000992839,0.200213,0.201235,0.183643,0.184542,0.164735,0.165728,False,0.42723375,0.164624,0.165616,-0.000992839,False,0.164726,0.165718,-0.000992821,False,0.164738,0.16573,-0.000992781,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00226514,0.00225179,7.76471e-10,1.2,
8,initial_eval,8,0,False,False,0.164626,0.165612,-0.000986612,0.200215,0.20123,0.18263,0.183043,0.164737,0.165723,False,0.41991187500000005,0.164626,0.165612,-0.000986612,False,0.164728,0.165714,-0.000986594,False,0.164739,0.165726,-0.000986557,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00228036,0.00227413,7.76471e-10,1.2,
9,initial_eval,9,0,False,False,0.164628,0.165631,-0.00100232,0.200218,0.201249,0.182521,0.182937,0.164739,0.165742,False,0.5125391,0.164628,0.165631,-0.00100232,False,0.16473,0.165733,-0.0010023,False,0.164742,0.165744,-0.00100226,False,0.715184,0.569406,0.590993,0.770114,0.328889,0.269307,0.0863048,0.770115,0.00228201,0.00227573,1.2,7.76471e-10,
