cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0490406,0.0502645,-0.001224,0.197994,0.19988,0.1804,0.182325,0.0368098,0.0375402,False,0.447860125,0.0490406,0.0502645,-0.001224,False,0.0490405,0.0502645,-0.001224,False,0.0368104,0.0375408,-0.000730442,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.00231463,0.00228499,1.21989,1.21988,
1,initial_eval,1,0,False,False,0.0490045,0.050368,-0.0013635,0.197998,0.2001,0.180281,0.1819,0.0414089,0.0421095,False,0.383877,0.0490045,0.050368,-0.0013635,False,0.0490045,0.050368,-0.0013635,False,0.0414096,0.0421102,-0.000700609,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00231649,0.00229147,1.21003,1.21001,
2,initial_eval,2,0,False,False,0.0499516,0.0494145,0.000537076,0.199463,0.198635,0.180839,0.180098,0.0418608,0.0415555,True,0.29886775000000004,0.0499516,0.0494145,0.000537076,True,0.0499516,0.0494145,0.000537071,True,0.0418615,0.0415562,0.000305334,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00230781,0.00231936,1.20023,1.20023,
3,initial_eval,3,0,False,False,0.0498607,0.0499344,-7.36711e-05,0.199723,0.199837,0.183046,0.183058,0.0373162,0.0373338,False,0.34778837500000004,0.0498607,0.0499344,-7.36711e-05,False,0.0498607,0.0499344,-7.36742e-05,False,0.0373168,0.0373344,-1.7606e-05,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.00227409,0.0022739,1.19052,1.19051,
4,initial_eval,4,0,False,False,0.0491921,0.0506402,-0.00144806,0.198713,0.200945,0.181931,0.184214,0.0369274,0.0377925,False,0.383445,0.0491921,0.0506402,-0.00144806,False,0.0491921,0.0506402,-0.00144807,False,0.036928,0.0377932,-0.000865195,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.002291,0.00225664,1.1809,1.18087,
5,initial_eval,5,0,False,False,0.049944,0.0497223,0.000221669,0.199732,0.19939,0.182879,0.182434,0.0373665,0.0372094,True,0.37133174999999996,0.049944,0.0497223,0.000221669,True,0.049944,0.0497223,0.00022166,True,0.0373671,0.03721,0.00015711,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.0022766,0.00228334,1.17134,1.17132,
6,initial_eval,6,0,False,False,0.0498528,0.0505133,-0.000660553,0.200238,0.201257,0.183777,0.184674,0.0373444,0.0377026,False,0.543639875,0.0498528,0.0505133,-0.000660553,False,0.0498527,0.0505133,-0.000660552,False,0.037345,0.0377032,-0.00035819,False,0.676339,0.66374,0.770114,0.650108,0.375466,0.351668,0.149631,0.712053,0.00226314,0.00224984,1.16186,1.16183,
7,initial_eval,7,0,False,False,0.049845,0.0505072,-0.00066221,0.200213,0.201235,0.183643,0.184542,0.037342,0.0377009,False,0.42723375,0.049845,0.0505072,-0.00066221,False,0.049845,0.0505072,-0.000662212,False,0.0373426,0.0377015,-0.000358879,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00226514,0.00225179,1.15246,1.15243,
8,initial_eval,8,0,False,False,0.0498467,0.0505047,-0.000658058,0.200215,0.20123,0.18263,0.183043,0.0419053,0.042157,False,0.41991187500000005,0.0498467,0.0505047,-0.000658058,False,0.0498467,0.0505047,-0.00065806,False,0.041906,0.0421577,-0.000251691,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00228036,0.00227413,1.14313,1.1431,
9,initial_eval,9,0,False,False,0.0498447,0.0505132,-0.000668529,0.200218,0.201249,0.182521,0.182937,0.0419068,0.042162,False,0.5125391,0.0498447,0.0505132,-0.000668529,False,0.0498447,0.0505132,-0.000668532,False,0.0419075,0.0421627,-0.000255191,False,0.715184,0.569406,0.590993,0.770114,0.328889,0.269307,0.0863048,0.770115,0.00228201,0.00227573,1.14025,1.14025,
