cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.13917,0.145892,-0.00672198,0.173917,0.180845,0.000524277,0.000435242,0.139176,0.145899,False,0.447872875,0.13917,0.145892,-0.00672198,False,0.741245,0.57729,0.633202,0.770215,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.2,7.76472e-10,,,,,,,,,
1,initial_eval,1,0,False,False,0.119041,0.122474,-0.00343399,0.1532,0.156736,4.79332e-05,-1.63883e-05,0.119047,0.122481,False,0.383877,0.119041,0.122474,-0.00343399,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,7.76472e-10,1.2,,,,,,,,,
2,initial_eval,2,0,False,False,0.0982743,0.101194,-0.0029197,0.131814,0.134821,0.00224665,0.00227903,0.0982817,0.101201,False,0.29886775000000004,0.0982743,0.101194,-0.0029197,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.2,7.76472e-10,,,,,,,,,
3,initial_eval,3,0,False,False,0.0923459,0.0941885,-0.00184251,0.125707,0.127605,0.000585755,0.000584307,0.0923537,0.094196,False,0.34778837500000004,0.0923459,0.0941885,-0.00184251,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.2,7.76472e-10,,,,,,,,,
4,initial_eval,4,0,False,False,0.109682,0.114164,-0.00448208,0.143564,0.148179,0.00111988,0.0010441,0.109689,0.114171,False,0.383445,0.109682,0.114164,-0.00448208,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.336055,0.336046,7.76472e-10,1.2,,,,,,,,,
5,initial_eval,5,0,False,False,0.107088,0.108679,-0.00159176,0.140892,0.142531,0.000891613,0.000905992,0.107095,0.108687,False,0.37133174999999996,0.107088,0.108679,-0.00159176,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.2,7.76472e-10,,,,,,,,,
6,initial_eval,6,0,False,False,0.14043,0.141463,-0.00103283,0.175231,0.176277,-0.00116802,-0.00114157,0.140437,0.141469,False,0.543652625,0.14043,0.141463,-0.00103283,False,0.676339,0.66374,0.770216,0.650108,0.375466,0.351668,0.149631,0.712053,0.335777,0.335785,7.76472e-10,1.2,,,,,,,,,
7,initial_eval,7,0,False,False,0.113368,0.11873,-0.00536269,0.147359,0.152881,-0.00139301,-0.00146524,0.113375,0.118737,False,0.42723375,0.113368,0.11873,-0.00536269,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.2,7.76472e-10,,,,,,,,,
8,initial_eval,8,0,False,False,0.111255,0.113565,-0.0023104,0.145183,0.147562,-0.000883162,-0.000928379,0.111262,0.113572,False,0.41991187500000005,0.111255,0.113565,-0.0023104,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,7.76472e-10,1.2,,,,,,,,,
9,initial_eval,9,0,False,False,0.13387,0.142175,-0.00830487,0.168464,0.177027,-0.00124336,-0.00133605,0.133876,0.142181,False,0.5125646,0.13387,0.142175,-0.00830487,False,0.715184,0.569406,0.590993,0.770216,0.328889,0.269307,0.0863048,0.770217,0.335808,0.335802,1.2,7.76472e-10,,,,,,,,,
10,initial_eval,10,0,False,False,0.101414,0.104619,-0.00320479,0.135048,0.138349,0.000639025,0.000629033,0.101421,0.104626,False,0.34533500000000006,0.101414,0.104619,-0.00320479,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.335919,0.335923,7.76472e-10,1.2,,,,,,,,,
11,initial_eval,11,0,False,False,0.11441,0.118336,-0.00392587,0.148432,0.152474,0.000263304,0.000248013,0.114417,0.118343,False,0.40108024999999997,0.11441,0.118336,-0.00392587,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.335886,0.335889,1.2,7.76472e-10,,,,,,,,,
12,initial_eval,12,0,False,False,0.144215,0.147065,-0.00284999,0.179113,0.182046,-0.00157209,-0.00161723,0.144222,0.147071,False,0.49262754999999997,0.144215,0.147065,-0.00284999,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.335738,0.335728,7.76472e-10,1.2,,,,,,,,,
13,initial_eval,13,0,False,False,0.123402,0.127021,-0.00361937,0.15769,0.161416,-0.000109384,-0.000134493,0.123409,0.127028,False,0.41943698749999997,0.123402,0.127021,-0.00361937,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.33592,0.335919,1.2,7.76472e-10,,,,,,,,,
14,initial_eval,14,0,False,False,0.133115,0.134529,-0.00141429,0.167689,0.169145,-0.00157351,-0.00160896,0.133122,0.134536,False,0.5126675,0.133115,0.134529,-0.00141429,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.335689,0.335685,7.76472e-10,1.2,,,,,,,,,
15,initial_eval,15,0,False,False,0.138773,0.144961,-0.00618793,0.173513,0.179881,0.000864304,0.000786168,0.138779,0.144967,False,0.456683375,0.138773,0.144961,-0.00618793,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.33602,0.336019,1.2,7.76472e-10,,,,,,,,,
16,initial_eval,16,0,False,False,0.0809769,0.0822628,-0.00128585,0.113992,0.115316,0.00280987,0.00277389,0.0809847,0.0822705,False,0.30304525,0.0809769,0.0822628,-0.00128585,False,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.336404,0.3364,7.76472e-10,1.2,,,,,,,,,
17,initial_eval,17,0,False,False,0.140601,0.14138,-0.000779434,0.175409,0.176192,6.04326e-05,7.6132e-05,0.140607,0.141386,False,0.48929237499999995,0.140601,0.14138,-0.000779434,False,0.640951,0.717267,0.770215,0.685167,0.108697,0.284195,0.178522,0.529325,0.335955,0.335959,1.2,7.76472e-10,,,,,,,,,
18,initial_eval,18,0,False,False,0.149888,0.148466,0.00142155,0.184966,0.183501,-0.00264419,-0.00264007,0.149894,0.148473,True,0.650455,0.149888,0.148466,0.00142155,True,0.396961,0.770217,0.770217,0.710292,0.629719,0.710614,0.445404,0.770216,0.335622,0.335623,1.2,7.76472e-10,,,,,,,,,
19,initial_eval,19,0,False,False,0.142455,0.148261,-0.00580583,0.177299,0.183296,0.000350278,0.00028515,0.142461,0.148268,False,0.531189875,0.142455,0.148261,-0.00580583,False,0.770217,0.613438,0.73708,0.770217,0.288301,0.178341,0.121709,0.770216,0.336007,0.336006,7.76472e-10,1.2,,,,,,,,,
20,initial_eval,20,0,False,False,0.14309,0.147426,-0.00433578,0.177952,0.182422,-0.000660074,-0.000723403,0.143096,0.147432,False,0.529261625,0.14309,0.147426,-0.00433578,False,0.75562,0.482195,0.633557,0.770217,0.106731,0.619649,0.159538,0.706586,0.335847,0.335839,1.2,7.76472e-10,,,,,,,,,
21,initial_eval,21,0,False,False,0.11743,0.120324,-0.00289474,0.151542,0.154522,8.32144e-05,3.80946e-06,0.117437,0.120331,False,0.3978995,0.11743,0.120324,-0.00289474,False,0.618181,0.473595,0.444862,0.551244,0.122733,0.505327,0.128291,0.338963,0.33582,0.335807,7.76472e-10,1.2,,,,,,,,,
22,initial_eval,22,0,False,False,0.127429,0.12457,0.00285928,0.161845,0.158897,-0.00117528,-0.00120056,0.127436,0.124576,True,0.512546125,0.127429,0.12457,0.00285928,True,0.572917,0.476237,0.588594,0.770215,0.330766,0.770215,0.260624,0.330801,0.33577,0.335762,1.2,7.76472e-10,,,,,,,,,
23,initial_eval,23,0,False,False,0.13465,0.141228,-0.00657883,0.16927,0.176048,-0.000261568,-0.000330666,0.134656,0.141235,False,0.49322725,0.13465,0.141228,-0.00657883,False,0.770217,0.473998,0.604056,0.755224,0.421596,0.138322,0.137644,0.644761,0.335851,0.335853,7.76472e-10,1.2,,,,,,,,,
24,initial_eval,24,0,False,False,0.0975284,0.099442,-0.00191361,0.131046,0.133017,0.000834679,0.000874519,0.0975359,0.0994493,False,0.35681999999999997,0.0975284,0.099442,-0.00191361,False,0.516789,0.262486,0.42709,0.516068,0.296973,0.399473,0.14388,0.291801,0.335982,0.335996,7.76472e-10,1.2,,,,,,,,,
25,initial_eval,25,0,False,False,0.138775,0.134843,0.00393258,0.173526,0.169465,-0.00131793,-0.00130252,0.138782,0.134849,True,0.56058525,0.138775,0.134843,0.00393258,True,0.50609,0.566316,0.698648,0.753646,0.289464,0.770216,0.251963,0.648339,0.335782,0.335782,1.2,7.76472e-10,,,,,,,,,
26,initial_eval,26,0,False,False,0.145402,0.151939,-0.00653675,0.180347,0.187084,-0.000564852,-0.000633445,0.145409,0.151946,False,0.560426125,0.145402,0.151939,-0.00653675,False,0.436849,0.770216,0.681453,0.713739,0.770217,0.151298,0.22418,0.735457,0.335888,0.335889,7.76472e-10,1.2,,,,,,,,,
27,initial_eval,27,0,False,False,0.149737,0.156012,-0.00627566,0.18481,0.191278,0.000664949,0.000591424,0.149743,0.156019,False,0.542117875,0.149737,0.156012,-0.00627566,False,0.770217,0.770218,0.770218,0.770218,0.241903,0.12439,0.119561,0.770218,0.336042,0.33604,1.2,7.76472e-10,,,,,,,,,
