cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.13917,0.145893,-0.00672252,0.173917,0.180845,0.000524278,0.000435243,0.139176,0.145899,False,0.44787324999999995,0.13917,0.145893,-0.00672252,False,0.741245,0.57729,0.633202,0.770218,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.21883,1.21875,,,,,,,,,
1,initial_eval,1,0,False,False,0.119041,0.122474,-0.00343399,0.1532,0.156736,4.79332e-05,-1.63883e-05,0.119047,0.122481,False,0.383877,0.119041,0.122474,-0.00343399,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,1.20846,1.20835,,,,,,,,,
2,initial_eval,2,0,False,False,0.0982744,0.101194,-0.00291967,0.131814,0.134821,0.00224665,0.00227903,0.0982818,0.101201,False,0.29886775000000004,0.0982744,0.101194,-0.00291967,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.19829,1.19818,,,,,,,,,
3,initial_eval,3,0,False,False,0.0923463,0.0941887,-0.00184249,0.125707,0.127605,0.000585755,0.000584307,0.0923539,0.0941963,False,0.34778837500000004,0.0923463,0.0941887,-0.00184249,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.18829,1.18817,,,,,,,,,
4,initial_eval,4,0,False,False,0.109682,0.114164,-0.00448205,0.143564,0.148179,0.00111988,0.0010441,0.109689,0.114171,False,0.383445,0.109682,0.114164,-0.00448205,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.336055,0.336046,1.17812,1.17795,,,,,,,,,
5,initial_eval,5,0,False,False,0.107088,0.108679,-0.00159175,0.140892,0.142531,0.000891613,0.000905992,0.107095,0.108687,False,0.37133174999999996,0.107088,0.108679,-0.00159175,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.16811,1.16795,,,,,,,,,
6,initial_eval,6,0,False,False,0.14043,0.141463,-0.00103276,0.175231,0.176277,-0.00116802,-0.00114156,0.140437,0.141469,False,0.543652625,0.14043,0.141463,-0.00103276,False,0.676339,0.66374,0.770216,0.650108,0.375466,0.351668,0.149631,0.712053,0.335777,0.335785,1.15781,1.15763,,,,,,,,,
7,initial_eval,7,0,False,False,0.113368,0.11873,-0.00536267,0.147359,0.152881,-0.00139301,-0.00146524,0.113375,0.118737,False,0.42723375,0.113368,0.11873,-0.00536267,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.14793,1.14775,,,,,,,,,
8,initial_eval,8,0,False,False,0.111255,0.113565,-0.00231039,0.145183,0.147562,-0.000883162,-0.000928379,0.111262,0.113572,False,0.41991187500000005,0.111255,0.113565,-0.00231039,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,1.14021,1.14024,,,,,,,,,
9,initial_eval,9,0,False,False,0.13387,0.142175,-0.00830493,0.168464,0.177027,-0.00124336,-0.00133605,0.133876,0.142182,False,0.512564725,0.13387,0.142175,-0.00830493,False,0.715184,0.569406,0.590993,0.770217,0.328889,0.269307,0.0863048,0.770217,0.335808,0.335802,1.13994,1.13986,,,,,,,,,
