cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.13917,0.145893,-0.00672253,0.173917,0.180845,0.000524278,0.000435244,0.139176,0.145899,False,0.44787324999999995,0.13917,0.145893,-0.00672253,False,0.741245,0.57729,0.633202,0.770218,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.21886,1.21878,,,,,,,,,
1,initial_eval,1,0,False,False,0.11904,0.122474,-0.003434,0.1532,0.156735,4.79345e-05,-1.63881e-05,0.119047,0.122481,False,0.383877,0.11904,0.122474,-0.003434,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,1.20849,1.20838,,,,,,,,,
2,initial_eval,2,0,False,False,0.0982738,0.101193,-0.00291965,0.131813,0.134821,0.00224665,0.00227904,0.0982812,0.101201,False,0.29886775000000004,0.0982738,0.101193,-0.00291965,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.19833,1.19821,,,,,,,,,
3,initial_eval,3,0,False,False,0.0923456,0.094188,-0.00184246,0.125706,0.127604,0.000585762,0.000584318,0.0923533,0.0941955,False,0.34778837500000004,0.0923456,0.094188,-0.00184246,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.18832,1.1882,,,,,,,,,
4,initial_eval,4,0,False,False,0.109681,0.114163,-0.00448213,0.143563,0.148178,0.00111988,0.0010441,0.109688,0.11417,False,0.383445,0.109681,0.114163,-0.00448213,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.336055,0.336046,1.17815,1.17798,,,,,,,,,
5,initial_eval,5,0,False,False,0.107086,0.108678,-0.00159167,0.140891,0.14253,0.000891615,0.000905995,0.107094,0.108685,False,0.37133174999999996,0.107086,0.108678,-0.00159167,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.16815,1.16798,,,,,,,,,
6,initial_eval,6,0,False,False,0.140427,0.14146,-0.0010327,0.175228,0.176274,-0.00116801,-0.00114155,0.140434,0.141466,False,0.543652625,0.140427,0.14146,-0.0010327,False,0.676339,0.66374,0.770216,0.650108,0.375466,0.351668,0.149631,0.712053,0.335777,0.335785,1.15784,1.15766,,,,,,,,,
7,initial_eval,7,0,False,False,0.113365,0.118728,-0.00536292,0.147356,0.152879,-0.00139299,-0.00146523,0.113372,0.118735,False,0.42723375,0.113365,0.118728,-0.00536292,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.14796,1.14778,,,,,,,,,
8,initial_eval,8,0,False,False,0.111252,0.113563,-0.00231036,0.145181,0.14756,-0.000883161,-0.000928376,0.11126,0.11357,False,0.41991187500000005,0.111252,0.113563,-0.00231036,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,1.14022,1.14024,,,,,,,,,
9,initial_eval,9,0,False,False,0.133865,0.14217,-0.00830565,0.168459,0.177022,-0.00124334,-0.00133603,0.133871,0.142177,False,0.512564725,0.133865,0.14217,-0.00830565,False,0.715184,0.569406,0.590993,0.770217,0.328889,0.269307,0.0863048,0.770217,0.335808,0.335802,1.13994,1.13986,,,,,,,,,
10,initial_eval,10,0,False,False,0.101411,0.104616,-0.0032048,0.135045,0.138346,0.000639026,0.000629038,0.101419,0.104623,False,0.34533500000000006,0.101411,0.104616,-0.0032048,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.335919,0.335923,1.14036,1.14036,,,,,,,,,
11,initial_eval,11,0,False,False,0.114406,0.118332,-0.00392601,0.148429,0.152471,0.000263303,0.000248009,0.114413,0.118339,False,0.40108024999999997,0.114406,0.118332,-0.00392601,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.335886,0.335889,1.14007,1.14005,,,,,,,,,
12,initial_eval,12,0,False,False,0.14421,0.14706,-0.00285002,0.179108,0.18204,-0.00157218,-0.00161728,0.144216,0.147066,False,0.49262754999999997,0.14421,0.14706,-0.00285002,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.335738,0.335728,1.13985,1.13985,,,,,,,,,
13,initial_eval,13,0,False,False,0.123397,0.127017,-0.00361952,0.157685,0.161412,-0.000109433,-0.000134502,0.123404,0.127023,False,0.41943698749999997,0.123397,0.127017,-0.00361952,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.33592,0.335919,1.14035,1.14034,,,,,,,,,
14,initial_eval,14,0,False,False,0.13311,0.134524,-0.00141418,0.167684,0.169139,-0.00157354,-0.00160898,0.133117,0.134531,False,0.5126675,0.13311,0.134524,-0.00141418,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.335689,0.335685,1.14006,1.14008,,,,,,,,,
15,initial_eval,15,0,False,False,0.138765,0.144953,-0.00618881,0.173504,0.179874,0.000864334,0.000786179,0.138771,0.144959,False,0.456683375,0.138765,0.144953,-0.00618881,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.33602,0.336019,1.14008,1.14003,,,,,,,,,
16,initial_eval,16,0,False,False,0.0809734,0.082259,-0.00128561,0.113988,0.115312,0.00280994,0.00277396,0.0809812,0.0822667,False,0.30304525,0.0809734,0.082259,-0.00128561,False,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.336404,0.3364,1.14036,1.14036,,,,,,,,,
17,initial_eval,17,0,False,False,0.140592,0.141371,-0.000778992,0.1754,0.176182,6.04632e-05,7.6158e-05,0.140599,0.141377,False,0.48929249999999996,0.140592,0.141371,-0.000778992,False,0.640951,0.717267,0.770216,0.685167,0.108697,0.284195,0.178522,0.529325,0.335955,0.335959,1.13958,1.13958,,,,,,,,,
18,initial_eval,18,0,False,False,0.149877,0.148455,0.00142212,0.184955,0.18349,-0.00264416,-0.00264005,0.149884,0.148461,True,0.650455,0.149877,0.148455,0.00142212,True,0.396961,0.770217,0.770217,0.710292,0.629719,0.710614,0.445404,0.770216,0.335622,0.335623,1.14003,1.14005,,,,,,,,,
19,initial_eval,19,0,False,False,0.142441,0.148248,-0.00580677,0.177284,0.183283,0.000350349,0.000285218,0.142447,0.148255,False,0.53119,0.142441,0.148248,-0.00580677,False,0.770217,0.613438,0.73708,0.770217,0.288301,0.178341,0.121709,0.770217,0.336007,0.336006,1.1402,1.14012,,,,,,,,,
