cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.094149,0.0956836,-0.00153465,0.127564,0.129145,0.0162166,0.0161951,0.0941546,0.0956891,False,0.128348,0.094149,0.0956836,-0.00153465,False,0.128398,0.128369,0.128252,0.128373,0.336653,0.336654,1.21795,1.21793,
1,initial_eval,1,0,False,False,0.0941245,0.0956587,-0.00153422,0.127539,0.129119,0.0162172,0.0161957,0.0941301,0.0956642,False,0.12831625,0.0941245,0.0956587,-0.00153422,False,0.128346,0.128344,0.128227,0.128348,0.336653,0.336654,1.20772,1.20769,
2,initial_eval,2,0,False,False,0.0941093,0.0956434,-0.00153405,0.127523,0.129103,0.0162179,0.0161963,0.0941149,0.0956489,False,0.12830049999999998,0.0941093,0.0956434,-0.00153405,False,0.128331,0.128328,0.128211,0.128332,0.336653,0.336654,1.19757,1.19753,
3,initial_eval,3,0,False,False,0.0940942,0.095628,-0.00153389,0.127507,0.129087,0.0162185,0.0161969,0.0940998,0.0956336,False,0.12828475,0.0940942,0.095628,-0.00153389,False,0.128315,0.128312,0.128196,0.128316,0.336653,0.336654,1.18751,1.18745,
4,initial_eval,4,1,False,False,0.0957721,0.0942336,0.00153851,0.127651,0.129235,0.016228,0.0162042,0.0942392,0.0957776,True,0.12854500000000002,0.0957721,0.0942336,0.00153851,True,0.128461,0.128458,0.128341,0.12892,0.336648,0.336651,1.17752,1.17745,
5,initial_eval,5,1,False,False,0.0963301,0.0948708,0.00145927,0.128307,0.129811,0.016232,0.0162105,0.0948764,0.0963356,True,0.12955624999999998,0.0963301,0.0948708,0.00145927,True,0.129081,0.12949,0.130577,0.129077,0.336654,0.336655,1.16761,1.16753,
6,initial_eval,6,1,False,False,0.100167,0.0985988,0.00156835,0.132147,0.133763,0.0162974,0.0162756,0.0986041,0.100172,True,0.13617975,0.100167,0.0985988,0.00156835,True,0.136686,0.136088,0.13453,0.137415,0.336656,0.336658,1.15773,1.15764,
7,initial_eval,7,1,False,False,0.0955668,0.0940336,0.00153323,0.127445,0.129024,0.016221,0.0161992,0.0940392,0.0955723,True,0.12822225,0.0955668,0.0940336,0.00153323,True,0.128252,0.12825,0.128133,0.128254,0.336653,0.336655,1.148,1.1479,
8,train,0,0,True,True,0.0940278,0.0955611,-0.00153333,0.127439,0.129018,0.0162216,0.0161998,0.0940334,0.0955667,False,0.1282225,0.0940278,0.0955611,-0.00153333,False,0.128271,0.128244,0.128127,0.128248,0.336696,0.336697,1.2,0.0245067,1.04498
9,train,1,0,True,True,0.0802292,0.0766621,0.00356705,0.113223,0.109547,0.0169401,0.0170648,0.0802357,0.0766689,True,0.111431,0.0802292,0.0766621,0.00356705,True,0.111417,0.111342,0.111634,0.111331,0.336739,0.336823,4.82248e-07,1.2,0.0132678
10,train,2,0,True,True,0.0801835,0.0766163,0.00356724,0.113175,0.109499,0.0169406,0.0170653,0.08019,0.076623,True,0.1113635,0.0801835,0.0766163,0.00356724,True,0.111288,0.111295,0.111587,0.111284,0.336739,0.336823,4.82248e-07,1.2,0.00319836
11,train,3,0,True,True,0.0801693,0.0766022,0.00356711,0.113161,0.109485,0.0332278,0.0330977,0.0801758,0.0766089,True,0.11134925,0.0801693,0.0766022,0.00356711,True,0.111274,0.111281,0.111572,0.11127,0.327805,0.328323,4.82248e-07,1.2,0.00320961
12,train,4,1,True,True,0.0769917,0.0805536,-0.00356184,0.113557,0.109886,0.0169477,0.0170723,0.08056,0.0769984,False,0.1120205,0.0769917,0.0805536,-0.00356184,False,0.111672,0.111679,0.111971,0.11276,0.33674,0.336824,4.82247e-07,1.2,1.04498
13,train,5,1,True,True,0.0674276,0.0695883,-0.0021607,0.102257,0.10003,0.0177338,0.0178534,0.0695954,0.0674349,False,0.10281575,0.0674276,0.0695883,-0.0021607,False,0.101382,0.102829,0.105943,0.101109,0.336929,0.337043,4.82294e-07,1.2,1.04498
14,train,6,1,True,True,0.0680404,0.069752,-0.00171157,0.102426,0.100662,0.0178285,0.0179571,0.0697592,0.0680477,False,0.1073015,0.0680404,0.069752,-0.00171157,False,0.107856,0.106579,0.106805,0.107966,0.337133,0.337257,4.82293e-07,1.2,1.04432
15,train,7,1,True,True,0.054173,0.0552745,-0.00110155,0.087502,0.0863662,0.0206778,0.0207278,0.0552826,0.0541811,False,0.08694432500000002,0.054173,0.0552745,-0.00110155,False,0.086917,0.0869195,0.0870253,0.0869155,0.337489,0.337607,4.82416e-07,1.2,1.04498
