cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0768297,0.0776261,-0.000796443,0.10972,0.110541,0.0189938,0.0189639,0.0768363,0.0776327,False,0.11018162499999999,0.0768297,0.0776261,-0.000796443,False,0.11043,0.11018,0.110091,0.110149,0.110146,0.110088,0.11015,0.110219,0.337464,0.337467,1.21815,1.21814,
1,initial_eval,1,0,False,False,0.0767354,0.0775296,-0.000794175,0.109623,0.110442,0.0189932,0.0189633,0.076742,0.0775362,False,0.11004950000000001,0.0767354,0.0775296,-0.000794175,False,0.110166,0.110047,0.109993,0.110051,0.110048,0.10999,0.110052,0.110049,0.337464,0.337466,1.20806,1.20804,
2,initial_eval,2,0,False,False,0.0766886,0.0774818,-0.000793164,0.109575,0.110392,0.0189935,0.0189637,0.0766952,0.0774883,False,0.10998625,0.0766886,0.0774818,-0.000793164,False,0.110001,0.109998,0.109944,0.110002,0.109999,0.109942,0.110003,0.110001,0.337464,0.337467,1.19804,1.19802,
3,initial_eval,3,0,False,False,0.0766767,0.0774698,-0.000793089,0.109563,0.11038,0.0189943,0.0189644,0.0766833,0.0774763,False,0.109973875,0.0766767,0.0774698,-0.000793089,False,0.109988,0.109986,0.109932,0.10999,0.109987,0.109929,0.109991,0.109988,0.337464,0.337467,1.18811,1.18808,
4,initial_eval,4,1,False,False,0.0778413,0.0770362,0.000805063,0.109933,0.110763,0.0190027,0.0189728,0.0770428,0.0778478,True,0.11051262499999999,0.0778413,0.0770362,0.000805063,True,0.110365,0.110363,0.110308,0.111423,0.110364,0.110305,0.110368,0.110605,0.337465,0.337468,1.17825,1.17821,
5,initial_eval,5,1,False,False,0.078765,0.0780126,0.00075239,0.110939,0.111715,0.0190212,0.0189913,0.0780191,0.0787714,True,0.11186962500000001,0.078765,0.0780126,0.00075239,True,0.111534,0.112291,0.113789,0.111344,0.111342,0.111287,0.111346,0.112024,0.337466,0.337468,1.16846,1.16842,
6,initial_eval,6,1,False,False,0.0859273,0.0850056,0.000921708,0.118145,0.119095,0.0191619,0.0191321,0.0850117,0.0859334,True,0.122407875,0.0859273,0.0850056,0.000921708,True,0.123301,0.122629,0.120961,0.124094,0.12103,0.120573,0.123715,0.12296,0.337462,0.337465,1.15867,1.15862,
7,initial_eval,7,1,False,False,0.0774217,0.0766289,0.000792792,0.109514,0.110331,0.0189972,0.0189674,0.0766356,0.0774283,True,0.10992475,0.0774217,0.0766289,0.000792792,True,0.109939,0.109937,0.109883,0.10994,0.109938,0.10988,0.109942,0.109939,0.337465,0.337467,1.14907,1.14902,
8,train,0,0,True,True,0.0767329,0.0775288,-0.000795811,0.10962,0.110441,0.0189997,0.0189698,0.0767395,0.0775353,False,0.110080875,0.0767329,0.0775288,-0.000795811,False,0.110327,0.110079,0.109991,0.110049,0.110046,0.109988,0.11005,0.110117,0.337507,0.33751,1.2,4.82258e-07,1.04498
9,train,1,0,True,True,0.0663711,0.0665038,-0.00013269,0.0989416,0.0990784,0.0197039,0.019684,0.0663784,0.0665111,False,0.09904766250000001,0.0663711,0.0665038,-0.00013269,False,0.0993105,0.0990127,0.0990029,0.0990133,0.0990129,0.0990023,0.0990136,0.0990131,0.337685,0.337703,1.2,4.82312e-07,1.04498
