cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486718,0.152892,0.153628,-0.000302252,-0.000323833,0.025612,0.0257459,False,0.3398395,0.035978,0.0364647,-0.000486718,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.21957,1.21957,
1,initial_eval,1,0,False,False,0.0344869,0.03618,-0.00169308,0.148935,0.15149,0.00072642,0.000696607,0.0245662,0.0251119,False,0.388285,0.0344869,0.03618,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.20981,1.20979,
2,initial_eval,2,0,False,False,0.0452862,0.0414076,0.00387863,0.180346,0.174426,-0.00133748,-0.00130332,0.0286163,0.0273591,True,0.582402375,0.0452862,0.0414076,0.00387863,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335796,0.335795,1.2,1.20003,
3,initial_eval,3,0,False,False,0.0457822,0.0477921,-0.00200989,0.187634,0.190718,-0.00259194,-0.00264846,0.0293257,0.0299329,False,0.6228718750000001,0.0457822,0.0477921,-0.00200989,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.33568,0.335675,1.19031,1.1903,
4,initial_eval,4,1,False,False,0.035658,0.032928,0.00272993,0.144567,0.14868,0.000167301,0.000193589,0.0238013,0.0244438,True,0.332219625,0.035658,0.032928,0.00272993,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335983,0.336001,1.1808,1.18079,
5,initial_eval,5,1,False,False,0.041593,0.0354005,0.00619243,0.155971,0.165348,0.00499311,0.00484052,0.0220659,0.0248641,True,0.21034650000000002,0.041593,0.0354005,0.00619243,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337371,0.337339,1.17134,1.17126,
6,initial_eval,6,1,False,False,0.0254469,0.0232206,0.0022263,0.111071,0.114374,0.00625076,0.00618316,0.017361,0.0181361,True,0.22852887500000002,0.0254469,0.0232206,0.0022263,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.16198,1.1619,
7,initial_eval,7,1,False,False,0.037905,0.0395421,-0.00163709,0.162995,0.160512,0.00167985,0.00168465,0.0256719,0.0250449,False,0.416372,0.037905,0.0395421,-0.00163709,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336155,0.336155,1.1526,1.15256,
8,train,0,0,True,True,0.0359766,0.0364632,-0.000486565,0.152887,0.153623,-0.000302252,-0.000323841,0.0256116,0.0257455,False,0.3398395,0.0359766,0.0364632,-0.000486565,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335852,0.335852,1.14337,1.14331,6.26343e-05
9,train,1,0,True,True,0.0344853,0.0361784,-0.00169312,0.148929,0.151484,0.000726446,0.000696624,0.0245657,0.0251115,False,0.388285,0.0344853,0.0361784,-0.00169312,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335992,0.335991,1.13993,1.13992,7.42715e-06
10,train,2,0,True,True,0.0452837,0.0414045,0.00387926,0.180337,0.174416,-0.00133745,-0.00130329,0.0286154,0.0273582,True,0.582402375,0.0452837,0.0414045,0.00387926,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335838,0.335837,1.13981,1.13986,5.96704e-06
11,train,3,0,True,True,0.0457787,0.0477888,-0.0020101,0.187622,0.190707,-0.0025919,-0.00264841,0.0293246,0.0299317,False,0.6228718750000001,0.0457787,0.0477888,-0.0020101,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335722,0.335717,1.1399,1.13984,5.92842e-06
12,train,4,1,True,True,0.0356557,0.0329258,0.00272996,0.14456,0.148672,0.000167362,0.000193669,0.0238007,0.024443,True,0.332219625,0.0356557,0.0329258,0.00272996,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336025,0.336043,1.13993,1.13993,1.34417e-05
13,train,5,1,True,True,0.0415898,0.0353967,0.00619311,0.155958,0.165336,0.00499326,0.00484064,0.0220643,0.024863,True,0.21034650000000002,0.0415898,0.0353967,0.00619311,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337413,0.337381,1.1399,1.13986,6.12611e-06
