cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486719,0.152892,0.153628,-0.000302252,-0.000323833,0.0176771,0.0176156,False,0.3398395,0.035978,0.0364647,-0.000486719,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.21749,1.21749,
1,initial_eval,1,0,False,False,0.034487,0.03618,-0.00169308,0.148935,0.15149,0.00072642,0.000696607,0.017151,0.0169608,False,0.388285,0.034487,0.03618,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.20774,1.20772,
2,initial_eval,2,0,False,False,0.0452862,0.0414076,0.00387865,0.180346,0.174426,-0.00133753,-0.00130629,0.0166318,0.0171142,True,0.582402375,0.0452862,0.0414076,0.00387865,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335796,0.335795,1.19795,1.19798,
3,initial_eval,3,0,False,False,0.0457822,0.0477921,-0.0020099,0.187634,0.190718,-0.00259194,-0.00264846,0.0171427,0.0170127,False,0.6228718750000001,0.0457822,0.0477921,-0.0020099,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.33568,0.335675,1.18828,1.18827,
4,initial_eval,4,1,False,False,0.035658,0.0329281,0.00272994,0.144567,0.14868,0.000167301,0.000193589,0.0173216,0.016789,True,0.332219625,0.035658,0.0329281,0.00272994,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335983,0.336001,1.17878,1.17877,
5,initial_eval,5,1,False,False,0.041593,0.0354006,0.00619245,0.155971,0.165348,0.00499311,0.00484052,0.0118468,0.011429,True,0.21034650000000002,0.041593,0.0354006,0.00619245,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337371,0.337339,1.16934,1.16926,
6,initial_eval,6,1,False,False,0.025447,0.0232206,0.00222631,0.111071,0.114374,0.00625076,0.00618316,0.0132135,0.0130602,True,0.22852887500000002,0.025447,0.0232206,0.00222631,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.15997,1.15992,
7,initial_eval,7,1,False,False,0.037905,0.0395422,-0.00163711,0.162995,0.160512,0.00167907,0.00167951,0.0155502,0.0157709,False,0.416372,0.037905,0.0395422,-0.00163711,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336155,0.336155,1.15062,1.15059,
8,train,0,0,True,True,0.0359766,0.0364632,-0.000486565,0.152887,0.153623,-0.000302252,-0.000323841,0.0176774,0.017616,False,0.3398395,0.0359766,0.0364632,-0.000486565,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335852,0.335852,1.14141,1.14136,6.2666e-05
9,train,1,0,True,True,0.0344853,0.0361784,-0.00169312,0.148929,0.151484,0.000726446,0.000696624,0.0171513,0.0169611,False,0.388285,0.0344853,0.0361784,-0.00169312,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335992,0.335991,1.13993,1.13992,7.42799e-06
10,train,2,0,True,True,0.0452837,0.0414045,0.00387928,0.180337,0.174416,-0.0013375,-0.00130628,0.0166323,0.0171147,True,0.582402375,0.0452837,0.0414045,0.00387928,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335838,0.335837,1.13982,1.13986,5.96706e-06
11,train,3,0,True,True,0.0457787,0.0477888,-0.00201011,0.187622,0.190707,-0.0025919,-0.00264841,0.0171434,0.0170133,False,0.6228718750000001,0.0457787,0.0477888,-0.00201011,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335722,0.335717,1.1399,1.13984,5.9283e-06
12,train,4,1,True,True,0.0356558,0.0329258,0.00272997,0.14456,0.148672,0.000167362,0.000193669,0.017322,0.0167894,True,0.332219625,0.0356558,0.0329258,0.00272997,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336025,0.336043,1.13993,1.13993,1.34417e-05
13,train,5,1,True,True,0.0415898,0.0353967,0.00619313,0.155958,0.165336,0.00499326,0.00484064,0.0118471,0.0114293,True,0.21034650000000002,0.0415898,0.0353967,0.00619313,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337413,0.337381,1.13992,1.13986,6.12602e-06
14,train,6,1,True,True,0.0254453,0.0232191,0.0022262,0.111066,0.114369,0.00625084,0.00618323,0.0132137,0.0130605,True,0.22852887500000002,0.0254453,0.0232191,0.0022262,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337453,0.337436,1.13993,1.13993,5.9323e-06
15,train,7,1,True,True,0.0379023,0.0395397,-0.00163746,0.162986,0.160503,0.00167913,0.00167953,0.0155506,0.0157714,False,0.416372,0.0379023,0.0395397,-0.00163746,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336197,0.336197,1.13988,1.1399,5.9274e-06
16,final_eval,0,0,False,False,0.0359753,0.0364617,-0.000486412,0.152883,0.153618,-0.000302252,-0.000323848,0.0176778,0.0176164,False,0.3398395,0.0359753,0.0364617,-0.000486412,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.13993,1.13993,
17,final_eval,1,0,False,False,0.0344837,0.0361768,-0.00169316,0.148924,0.151479,0.000726473,0.000696641,0.0171517,0.0169615,False,0.388285,0.0344837,0.0361768,-0.00169316,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.13992,1.1399,
18,final_eval,2,0,False,False,0.0452813,0.0414014,0.0038799,0.180328,0.174406,-0.00133747,-0.00130627,0.0166328,0.0171153,True,0.582402375,0.0452813,0.0414014,0.0038799,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335796,0.335795,1.13979,1.13984,
19,final_eval,3,0,False,False,0.0457752,0.0477855,-0.00201032,0.18761,0.190695,-0.00259186,-0.00264837,0.017144,0.017014,False,0.6228718750000001,0.0457752,0.0477855,-0.00201032,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.33568,0.335674,1.13983,1.13979,
20,final_eval,4,1,False,False,0.0356535,0.0329235,0.00273,0.144552,0.148664,0.000167423,0.000193748,0.0173224,0.0167898,True,0.332219625,0.0356535,0.0329235,0.00273,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335983,0.336001,1.13993,1.13993,
21,final_eval,5,1,False,False,0.0415867,0.0353929,0.00619381,0.155946,0.165325,0.00499341,0.00484075,0.0118475,0.0114296,True,0.21034650000000002,0.0415867,0.0353929,0.00619381,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337371,0.337339,1.13991,1.13984,
22,final_eval,6,1,False,False,0.0254436,0.0232175,0.00222609,0.11106,0.114363,0.00625093,0.00618329,0.0132139,0.0130607,True,0.22852887500000002,0.0254436,0.0232175,0.00222609,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.13991,1.13993,
23,final_eval,7,1,False,False,0.0378995,0.0395373,-0.00163781,0.162978,0.160494,0.00167919,0.00167956,0.015551,0.0157718,False,0.416372,0.0378995,0.0395373,-0.00163781,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336155,0.336155,1.13985,1.13987,
