cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486719,0.152892,0.153628,-0.000303424,-0.000324445,0.0194784,0.0194569,False,0.3398395,0.035978,0.0364647,-0.000486719,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.21958,1.21957,
1,initial_eval,1,0,False,False,0.034487,0.03618,-0.00169308,0.148935,0.15149,0.00072642,0.000696607,0.0188374,0.0188044,False,0.388285,0.034487,0.03618,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.20981,1.20979,
2,initial_eval,2,0,False,False,0.0452862,0.0414076,0.00387865,0.180346,0.174426,-0.00133753,-0.00130629,0.0192939,0.0194136,True,0.582402375,0.0452862,0.0414076,0.00387865,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335796,0.335795,1.2,1.20003,
3,initial_eval,3,0,False,False,0.0457822,0.0477921,-0.0020099,0.187634,0.190718,-0.00259194,-0.00264846,0.0198564,0.0198718,False,0.6228718750000001,0.0457822,0.0477921,-0.0020099,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.33568,0.335675,1.19031,1.1903,
4,initial_eval,4,1,False,False,0.035658,0.0329281,0.00272994,0.144567,0.14868,0.000165456,0.000192004,0.0187906,0.0184981,True,0.332219625,0.035658,0.0329281,0.00272994,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335983,0.336001,1.1808,1.18079,
5,initial_eval,5,1,False,False,0.041593,0.0354006,0.00619244,0.155971,0.165348,0.00499311,0.00484052,0.0142897,0.0146052,True,0.21034650000000002,0.041593,0.0354006,0.00619244,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337371,0.337339,1.17134,1.17126,
6,initial_eval,6,1,False,False,0.0254469,0.0232206,0.00222631,0.111071,0.114374,0.00624957,0.00618306,0.0141796,0.0142279,True,0.22852887500000002,0.0254469,0.0232206,0.00222631,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.16197,1.1619,
7,initial_eval,7,1,False,False,0.037905,0.0395421,-0.00163711,0.162995,0.160512,0.00167907,0.00167951,0.0178415,0.0178774,False,0.416372,0.037905,0.0395421,-0.00163711,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336155,0.336155,1.1526,1.15256,
8,train,0,0,True,True,0.0359766,0.0364632,-0.000486565,0.152887,0.153623,-0.000303425,-0.000324458,0.0194786,0.0194571,False,0.3398395,0.0359766,0.0364632,-0.000486565,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335852,0.335852,1.14337,1.14332,1.2
9,train,1,0,True,True,0.0342825,0.0359858,-0.00170328,0.148249,0.150818,0.000730121,0.000698663,0.0188565,0.0188257,False,0.388285,0.0342825,0.0359858,-0.00170328,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335989,0.335987,1.13993,1.13992,1.2
