cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486717,0.152892,0.153628,-0.000303424,-0.000324445,0.0194784,0.0194569,False,0.3398395,0.035978,0.0364647,-0.000486717,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.21958,1.21957,
1,initial_eval,1,0,False,False,0.0344868,0.0361799,-0.00169308,0.148934,0.151489,0.000726422,0.000696609,0.0188374,0.0188044,False,0.388285,0.0344868,0.0361799,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.20981,1.20979,
2,initial_eval,2,0,False,False,0.0452859,0.0414071,0.00387874,0.180345,0.174424,-0.00133753,-0.00130629,0.0192939,0.0194137,True,0.582402375,0.0452859,0.0414071,0.00387874,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335796,0.335795,1.2,1.20003,
3,initial_eval,3,0,False,False,0.0457815,0.0477914,-0.00200994,0.187632,0.190716,-0.00259193,-0.00264845,0.0198565,0.0198719,False,0.6228718750000001,0.0457815,0.0477914,-0.00200994,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.33568,0.335675,1.19031,1.1903,
4,initial_eval,4,1,False,False,0.0356574,0.0329275,0.00272995,0.144565,0.148678,0.000165472,0.000192025,0.0187906,0.0184981,True,0.332219625,0.0356574,0.0329275,0.00272995,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335983,0.336001,1.1808,1.18079,
5,initial_eval,5,1,False,False,0.041592,0.0353993,0.00619267,0.155967,0.165344,0.00499316,0.00484056,0.0142897,0.0146052,True,0.21034650000000002,0.041592,0.0353993,0.00619267,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337371,0.337339,1.17134,1.17126,
6,initial_eval,6,1,False,False,0.0254463,0.02322,0.00222626,0.111069,0.114372,0.00624961,0.00618308,0.0141797,0.014228,True,0.22852887500000002,0.0254463,0.02322,0.00222626,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.16197,1.1619,
7,initial_eval,7,1,False,False,0.0379038,0.0395411,-0.00163726,0.162991,0.160508,0.0016791,0.00167952,0.0178415,0.0178774,False,0.416372,0.0379038,0.0395411,-0.00163726,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336155,0.336155,1.1526,1.15256,
8,train,0,0,True,True,0.0359759,0.0364624,-0.000486486,0.152885,0.15362,-0.000303425,-0.000324464,0.0194787,0.0194572,False,0.3398395,0.0359759,0.0364624,-0.000486486,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335852,0.335852,1.14337,1.14332,1.2
9,train,1,0,True,True,0.0342894,0.0359941,-0.00170471,0.148273,0.150845,0.00072998,0.000698532,0.0188561,0.0188253,False,0.388285,0.0342894,0.0359941,-0.00170471,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335989,0.335987,1.13993,1.13992,1.2
10,train,2,0,True,True,0.0447936,0.0408034,0.00399024,0.178555,0.172469,-0.0013294,-0.00130867,0.0193241,0.0194562,True,0.582402375,0.0447936,0.0408034,0.00399024,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335828,0.335829,1.13981,1.13987,1.2
11,train,3,0,True,True,0.0446746,0.0467849,-0.00211032,0.18396,0.187193,-0.00257777,-0.00263326,0.0199334,0.0199402,False,0.6228718750000001,0.0446746,0.0467849,-0.00211032,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335713,0.335708,1.1399,1.13984,1.2
12,train,4,1,True,True,0.0350377,0.0323662,0.00267147,0.142603,0.146624,0.000185627,0.000218843,0.0188469,0.0185382,True,0.332219625,0.0350377,0.0323662,0.00267147,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336017,0.336037,1.13993,1.13993,1.2
13,train,5,1,True,True,0.0406781,0.0341825,0.00649563,0.152075,0.161894,0.00504409,0.00487723,0.0142482,0.014601,True,0.21034650000000002,0.0406781,0.0341825,0.00649563,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337409,0.337369,1.13992,1.13986,1.2
14,train,6,1,True,True,0.0249372,0.0227143,0.00222287,0.109344,0.112639,0.0062886,0.00621088,0.0141901,0.0142615,True,0.22852887500000002,0.0249372,0.0227143,0.00222287,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337451,0.337429,1.13993,1.13993,1.2
15,train,7,1,True,True,0.0365984,0.0382777,-0.00167932,0.158648,0.156106,0.0017202,0.00171605,0.0178966,0.017959,False,0.416372,0.0365984,0.0382777,-0.00167932,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336187,0.336185,1.13988,1.1399,1.2
16,train,0,0,True,True,0.0352709,0.0356736,-0.000402755,0.150407,0.151015,-0.000303019,-0.000330033,0.019584,0.0195798,False,0.3398395,0.0352709,0.0356736,-0.000402755,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335834,0.335833,1.13993,1.13993,1.2
17,train,1,0,True,True,0.0334074,0.0351903,-0.00178284,0.145344,0.14803,0.000747055,0.000708911,0.0189412,0.0189197,False,0.388285,0.0334074,0.0351903,-0.00178284,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335974,0.335972,1.13993,1.13992,1.2
18,train,2,0,True,True,0.0431546,0.039098,0.00405659,0.1729,0.166728,-0.00130765,-0.00128358,0.0194469,0.0195928,True,0.582402375,0.0431546,0.039098,0.00405659,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335813,0.335812,1.13982,1.13988,1.2
19,train,3,0,True,True,0.0425889,0.044613,-0.0020241,0.176792,0.179884,-0.00254242,-0.00259282,0.0200771,0.0200823,False,0.6228718750000001,0.0425889,0.044613,-0.0020241,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.33569,0.335685,1.13991,1.13985,1.2
20,train,4,1,True,True,0.0338036,0.0314229,0.00238071,0.139132,0.14271,0.000219738,0.00026688,0.0189397,0.0186118,True,0.332219625,0.0338036,0.0314229,0.00238071,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336004,0.336027,1.13993,1.13993,1.2
21,train,5,1,True,True,0.0392531,0.0321299,0.00712322,0.145596,0.156331,0.00513283,0.00494004,0.0141859,0.0145972,True,0.21034650000000002,0.0392531,0.0321299,0.00712322,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337414,0.337365,1.13993,1.13987,1.2
22,train,6,1,True,True,0.0243546,0.0221206,0.00223405,0.107332,0.110641,0.0063438,0.00624967,0.0141936,0.0143008,True,0.22852887500000002,0.0243546,0.0221206,0.00223405,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337451,0.337423,1.13993,1.13993,1.2
23,train,7,1,True,True,0.0352076,0.0366293,-0.00142171,0.153285,0.151138,0.00177441,0.00175687,0.0179644,0.018045,False,0.416372,0.0352076,0.0366293,-0.00142171,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336176,0.336172,1.13989,1.13991,1.2
24,final_eval,0,0,False,False,0.0345763,0.0348895,-0.000313192,0.147959,0.148431,-0.000294849,-0.000327602,0.0196818,0.019697,False,0.3398395,0.0345763,0.0348895,-0.000313192,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335775,0.335773,1.13993,1.13992,
25,final_eval,1,0,False,False,0.0325568,0.0344434,-0.00188656,0.142544,0.145383,0.000773817,0.000728622,0.0190158,0.0190043,False,0.388285,0.0325568,0.0344434,-0.00188656,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33592,0.335916,1.13993,1.13991,
26,final_eval,2,0,False,False,0.041751,0.0378605,0.00389047,0.168282,0.162374,-0.00128473,-0.00126216,0.0195446,0.0196984,True,0.582402375,0.041751,0.0378605,0.00389047,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335759,0.335756,1.13982,1.13987,
27,final_eval,3,0,False,False,0.0414574,0.0432021,-0.00174477,0.172691,0.175352,-0.00252531,-0.00257204,0.0201673,0.0201879,False,0.6228717500000001,0.0414574,0.0432021,-0.00174477,False,0.77022,0.77022,0.770219,0.77022,0.418377,0.633498,0.08,0.77022,0.335639,0.335633,1.13986,1.13983,
28,final_eval,4,1,False,False,0.0330965,0.0309585,0.00213796,0.137333,0.140543,0.000236988,0.000292542,0.0189863,0.0186479,True,0.332219625,0.0330965,0.0309585,0.00213796,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335956,0.33598,1.13993,1.13993,
29,final_eval,5,1,False,False,0.0385899,0.0310846,0.00750528,0.142341,0.153634,0.00517503,0.00497371,0.0141656,0.0145781,True,0.21034650000000002,0.0385899,0.0310846,0.00750528,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337376,0.337324,1.13993,1.13987,
30,final_eval,6,1,False,False,0.0242066,0.0219616,0.002245,0.1068,0.110125,0.00636085,0.00626105,0.01419,0.014311,True,0.22852887500000002,0.0242066,0.0219616,0.002245,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.33741,0.33738,1.13991,1.13993,
31,final_eval,7,1,False,False,0.0349512,0.0362659,-0.0013147,0.152152,0.150167,0.00178493,0.00176261,0.0179764,0.0180604,False,0.416372,0.0349512,0.0362659,-0.0013147,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336132,0.336128,1.13988,1.1399,
