cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,merr0,merr1
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486717,0.152892,0.153628,-0.000302252,-0.000323833,0.0166257,0.0165422,False,0.3398395,0.035978,0.0364647,-0.000486717,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.21958,1.21955,,,
1,initial_eval,1,0,False,False,0.0344868,0.0361799,-0.00169308,0.148934,0.151489,0.000726422,0.000696609,0.0161646,0.0158855,False,0.388285,0.0344868,0.0361799,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.20981,1.20978,,,
2,initial_eval,2,0,False,False,0.0452859,0.0414071,0.00387874,0.180345,0.174424,-0.00133753,-0.00130629,0.0150965,0.0157805,True,0.582402375,0.0452859,0.0414071,0.00387874,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335796,0.335795,1.2,1.20001,,,
3,initial_eval,3,0,False,False,0.0457815,0.0477914,-0.00200993,0.187632,0.190716,-0.00259193,-0.00264845,0.0155772,0.0153682,False,0.6228717500000001,0.0457815,0.0477914,-0.00200993,False,0.77022,0.77022,0.770219,0.77022,0.418377,0.633498,0.08,0.77022,0.33568,0.335675,1.19031,1.19029,,,
4,initial_eval,4,1,False,False,0.0356574,0.0329275,0.00272995,0.144565,0.148678,0.000167317,0.00019361,0.0164619,0.0157959,True,0.332219625,0.0356574,0.0329275,0.00272995,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335983,0.336001,1.1808,1.18078,,,
5,initial_eval,5,1,False,False,0.041592,0.0353993,0.00619267,0.155967,0.165344,0.00499316,0.00484056,0.0103846,0.00954863,True,0.21034650000000002,0.041592,0.0353993,0.00619267,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337371,0.337339,1.17133,1.17125,,,
6,initial_eval,6,1,False,False,0.0254463,0.02322,0.00222627,0.111069,0.114372,0.00625079,0.00618319,0.012635,0.0123654,True,0.22852887500000002,0.0254463,0.02322,0.00222627,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.16196,1.16189,,,
7,initial_eval,7,1,False,False,0.0379038,0.0395411,-0.00163726,0.162991,0.160508,0.0016791,0.00167952,0.014215,0.0145404,False,0.416372,0.0379038,0.0395411,-0.00163726,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336155,0.336155,1.15259,1.15255,,,
8,train,0,0,True,True,0.0359759,0.0364624,-0.000486486,0.152885,0.15362,-0.000302252,-0.000323844,0.0166264,0.0165429,False,0.3398395,0.0359759,0.0364624,-0.000486486,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335852,0.335852,1.14336,1.1433,-1.9175e-09,0.000244769,0.000197927
9,train,4,1,True,True,0.0361154,0.0322549,0.00386053,0.143274,0.149087,0.00019476,0.000174109,0.0165098,0.0158067,True,0.332219625,0.0361154,0.0322549,0.00386053,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336029,0.336036,1.13993,1.13993,-6.28138e-10,0.000248236,0.000149418
10,train,1,0,True,True,0.0341751,0.0360504,-0.00187528,0.14804,0.150869,0.000733915,0.00069647,0.0162404,0.0159415,False,0.388285,0.0341751,0.0360504,-0.00187528,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335989,0.335986,1.13992,1.13993,-7.42241e-10,0.000225403,0.000138261
11,train,5,1,True,True,0.0417417,0.0342318,0.00750991,0.153075,0.164431,0.00503746,0.00484003,0.0105173,0.00960288,True,0.21034650000000002,0.0417417,0.0342318,0.00750991,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.33742,0.33737,1.1399,1.13986,-1.9143e-10,0.000389007,0.00018993
12,train,2,0,True,True,0.0444209,0.0407586,0.00366231,0.177614,0.17203,-0.00132288,-0.00131451,0.0153076,0.0159603,True,0.582402375,0.0444209,0.0407586,0.00366231,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335826,0.335826,1.13983,1.13991,-1.06102e-09,0.000356416,0.000477806
13,train,6,1,True,True,0.0253786,0.0225724,0.00280625,0.109379,0.113539,0.0062956,0.00618569,0.0126753,0.0124684,True,0.22852887500000002,0.0253786,0.0225724,0.00280625,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337463,0.337421,1.13993,1.13993,-6.98047e-10,0.00031874,0.000369896
14,train,3,0,True,True,0.043645,0.0471181,-0.00347308,0.181675,0.186993,-0.00255641,-0.00264529,0.016,0.0156552,False,0.6228717500000001,0.043645,0.0471181,-0.00347308,False,0.77022,0.77022,0.770219,0.77022,0.418377,0.633498,0.08,0.77022,0.335712,0.335702,1.13981,1.1398,-1.11015e-09,0.000567206,0.000452079
15,train,7,1,True,True,0.0375488,0.0376935,-0.000144709,0.158135,0.157916,0.0017445,0.00168079,0.0145217,0.0147676,False,0.416372,0.0375488,0.0376935,-0.000144709,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336196,0.336178,1.13993,1.13993,-8.60436e-10,0.00050147,0.000344098
