cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486717,0.152892,0.153628,0.152892,0.153628,0.035978,0.0364647,False,0.3398395,0.035978,0.0364647,-0.000486717,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.22019,1.22019,,,
1,initial_eval,1,0,False,False,0.0344868,0.0361799,-0.00169308,0.148934,0.151489,0.148934,0.151489,0.0344868,0.0361799,False,0.388285,0.0344868,0.0361799,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.21042,1.2104,,,
2,initial_eval,2,0,False,False,0.0452858,0.0414071,0.00387863,0.180345,0.174424,0.180342,0.174424,0.0452846,0.0414073,True,0.58240125,0.0452858,0.0414071,0.00387863,True,0.505352,0.770216,0.770217,0.552175,0.224418,0.770217,0.31515,0.751465,0.335796,0.335795,1.2006,1.20063,,,
3,initial_eval,3,0,False,False,0.0457815,0.0477914,-0.0020099,0.187631,0.190716,0.187631,0.190714,0.0457814,0.0477906,False,0.622870625,0.0457815,0.0477914,-0.0020099,False,0.770218,0.770218,0.770218,0.770218,0.418377,0.633498,0.08,0.770218,0.33568,0.335675,1.19091,1.1909,,,
4,initial_eval,4,1,False,False,0.0356574,0.0329275,0.0027299,0.144565,0.148678,0.144566,0.148677,0.0329277,0.0356571,True,0.33221925,0.0356574,0.0329275,0.0027299,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770217,0.304066,0.335983,0.336001,1.1814,1.18138,,,
5,initial_eval,5,1,False,False,0.0415919,0.0353993,0.00619263,0.155967,0.165344,0.155965,0.165341,0.035399,0.0415908,True,0.210346375,0.0415919,0.0353993,0.00619263,True,0.093642,0.137216,0.08,0.254774,0.770219,0.08,0.18692,0.08,0.337371,0.337339,1.17193,1.17186,,,
6,initial_eval,6,1,False,False,0.0254463,0.02322,0.00222626,0.111069,0.114372,0.111069,0.114372,0.02322,0.0254463,True,0.22852887500000002,0.0254463,0.02322,0.00222626,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.16256,1.16249,,,
7,initial_eval,7,1,False,False,0.0379038,0.039541,-0.00163716,0.162991,0.160508,0.16299,0.160508,0.0395403,0.0379042,False,0.416371625,0.0379038,0.039541,-0.00163716,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.770217,0.291115,0.125778,0.336155,0.336155,1.15318,1.15314,,,
8,train,0,0,True,True,0.0359759,0.0364624,-0.000486486,0.152885,0.15362,0.152885,0.15362,0.0359759,0.0364624,False,0.3398395,0.0359759,0.0364624,-0.000486486,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.2,4.34163e-08,1.04505,1.04306,1.04386
9,train,4,1,True,True,0.0221259,0.0479265,-0.0258006,0.161124,0.123381,0.161124,0.12338,0.047927,0.0221256,False,0.332219625,0.0221259,0.0479265,-0.0258006,False,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335632,0.337123,3.35924e-08,1.2,1.04505,1.04306,1.04386
10,train,1,0,True,True,0.0531116,0.0136572,0.0394543,0.151701,0.0979213,0.151701,0.0979214,0.0531116,0.0136572,True,0.388285,0.0531116,0.0136572,0.0394543,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335841,0.337578,3.34258e-08,1.2,0.0362242,1.04306,1.04386
11,train,5,1,True,True,0.0454059,0.0322351,0.0131708,0.150611,0.170471,0.15061,0.170469,0.032235,0.0454048,True,0.21034650000000002,0.0454059,0.0322351,0.0131708,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337494,0.336844,1.2,3.92787e-08,0.0175222,1.04306,1.04386
12,train,2,0,True,True,0.0393188,0.0225465,0.0167723,0.144394,0.119634,0.144395,0.119634,0.039319,0.0225465,True,0.58240225,0.0393188,0.0225465,0.0167723,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.770219,0.31515,0.751465,0.335867,0.33647,4.31415e-08,1.2,0.019889,1.04306,1.04386
13,train,6,1,True,True,0.0230512,0.0261631,-0.00311183,0.115896,0.111278,0.115896,0.111278,0.0261631,0.0230512,False,0.22852887500000002,0.0230512,0.0261631,-0.00311183,False,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.33703,0.337501,1.14765,1.19812,0.0429848,1.04306,1.04386
14,train,3,0,True,True,0.0526135,0.0189479,0.0336657,0.163838,0.1157,0.163838,0.115701,0.0526136,0.0189481,True,0.6228718750000001,0.0526135,0.0189479,0.0336657,True,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335495,0.336572,3.35237e-08,1.2,0.00175744,1.04306,1.04386
15,train,7,1,True,True,0.0367295,0.0345777,0.00215179,0.149661,0.152909,0.149661,0.152909,0.0345779,0.0367295,True,0.416371625,0.0367295,0.0345777,0.00215179,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770217,0.291115,0.125778,0.336221,0.336258,1.2,4.3705e-08,0.0129029,1.04306,1.04386
16,train,0,0,True,True,0.0542071,0.012928,0.0412791,0.151231,0.0956457,0.151231,0.0956457,0.0542071,0.012928,True,0.3398395,0.0542071,0.012928,0.0412791,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335647,0.33802,3.32723e-08,1.2,0.0198568,1.04306,1.04386
17,train,4,1,True,True,0.0527216,0.0144925,0.038229,0.100743,0.153399,0.100743,0.153399,0.0144926,0.0527214,True,0.33221950000000006,0.0527216,0.0144925,0.038229,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770219,0.304066,0.337371,0.336086,1.2,3.3753e-08,0.0199053,1.04306,1.04386
18,train,1,0,True,True,0.0521865,0.0130591,0.0391274,0.148519,0.0954609,0.148519,0.0954609,0.0521865,0.0130591,True,0.388285,0.0521865,0.0130591,0.0391274,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335858,0.337744,3.3434e-08,1.2,0.0199056,1.04306,1.04386
19,train,5,1,True,True,0.0438512,0.0309273,0.0129238,0.145949,0.165391,0.145948,0.165389,0.0309275,0.0438502,True,0.210346375,0.0438512,0.0309273,0.0129238,True,0.093642,0.137216,0.08,0.254774,0.770219,0.08,0.18692,0.08,0.337485,0.336808,1.2,4.00748e-08,0.0199056,1.04306,1.04386
20,train,2,0,True,True,0.0371739,0.0216555,0.0155184,0.138613,0.115734,0.138613,0.115734,0.0371741,0.0216555,True,0.5824015,0.0371739,0.0216555,0.0155184,True,0.505352,0.770217,0.770218,0.552175,0.224418,0.770217,0.31515,0.751465,0.335892,0.336546,4.34204e-08,1.2,0.0199056,1.04306,1.04386
21,train,6,1,True,True,0.022268,0.0259123,-0.00364436,0.114473,0.109071,0.114473,0.109071,0.0259123,0.022268,False,0.22852887500000002,0.022268,0.0259123,-0.00364436,False,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.33701,0.337532,1.14765,1.19812,0.0429849,1.04306,1.04386
22,train,3,0,True,True,0.0488443,0.0184281,0.0304162,0.155918,0.112328,0.155919,0.112329,0.0488443,0.0184283,True,0.6228705,0.0488443,0.0184281,0.0304162,True,0.770218,0.770218,0.770217,0.770218,0.418377,0.633498,0.08,0.770218,0.335508,0.336662,3.36737e-08,1.2,0.00175746,1.04306,1.04386
23,train,7,1,True,True,0.0350569,0.0331656,0.00189132,0.14462,0.147468,0.14462,0.147469,0.0331657,0.0350569,True,0.416371625,0.0350569,0.0331656,0.00189132,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770217,0.291115,0.125778,0.334794,0.334339,1.2,-1.40475e-05,0.012903,1.04306,1.04386
24,train,0,0,True,True,0.0527622,0.0123949,0.0403674,0.147391,0.0932299,0.147391,0.0932299,0.0527622,0.0123949,True,0.3398395,0.0527622,0.0123949,0.0403674,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335688,0.338234,3.32873e-08,1.2,0.0198568,1.04306,1.04386
25,train,4,1,True,True,0.0511328,0.0138885,0.0372444,0.0980511,0.149197,0.0980514,0.149197,0.0138885,0.0511327,True,0.33221937500000004,0.0511328,0.0138885,0.0372444,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770218,0.304066,0.335578,0.334181,1.2,3.40158e-08,0.0199053,1.04306,1.04386
26,train,1,0,True,True,0.0503176,0.0125812,0.0377364,0.144212,0.0931117,0.144212,0.0931117,0.0503176,0.0125812,True,0.388285,0.0503176,0.0125812,0.0377364,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335887,0.337926,3.34842e-08,1.2,0.0199056,1.04306,1.04386
27,train,5,1,True,True,0.041999,0.0295815,0.0124175,0.140965,0.159601,0.140965,0.1596,0.0295818,0.0419983,True,0.21034625,0.041999,0.0295815,0.0124175,True,0.093642,0.137216,0.08,0.254774,0.770218,0.08,0.18692,0.08,0.337473,0.336777,1.2,4.31964e-08,0.0199056,1.04306,1.04386
28,train,2,0,True,True,0.0350877,0.0207549,0.0143328,0.132939,0.111837,0.13294,0.111837,0.0350879,0.020755,True,0.582401875,0.0350877,0.0207549,0.0143328,True,0.505352,0.770218,0.770219,0.552175,0.224418,0.770218,0.31515,0.751465,0.335934,0.336631,1.86213e-05,1.2,0.0199056,1.04306,1.04386
29,train,6,1,True,True,0.0214761,0.025689,-0.00421286,0.113091,0.106855,0.113091,0.106855,0.025689,0.0214762,False,0.22852887500000002,0.0214761,0.025689,-0.00421286,False,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.33699,0.337574,1.14765,1.19812,0.0429849,1.04306,1.04386
30,train,3,0,True,True,0.0453103,0.0178957,0.0274145,0.148345,0.108978,0.148345,0.108979,0.0453103,0.0178959,True,0.62287,0.0453103,0.0178957,0.0274145,True,0.770217,0.770217,0.770217,0.770217,0.418377,0.633498,0.08,0.770217,0.335533,0.336762,3.39298e-08,1.2,0.00175746,1.04306,1.04386
31,train,7,1,True,True,0.0333966,0.0316004,0.00179612,0.139207,0.141906,0.139207,0.141906,0.0316006,0.0333966,True,0.41637175,0.0333966,0.0316004,0.00179612,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770218,0.291115,0.125778,0.33622,0.336327,1.2,0.638214,0.036243,1.04306,1.04386
32,train,0,0,True,True,0.0507379,0.0119359,0.038802,0.142904,0.0908991,0.142904,0.0908991,0.0507379,0.0119359,True,0.3398395,0.0507379,0.0119359,0.038802,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335754,0.338463,3.33229e-08,1.2,0.0131231,1.04306,1.04386
33,train,4,1,True,True,0.0496496,0.0132785,0.0363711,0.0953719,0.145144,0.0953722,0.145144,0.0132785,0.0496494,True,0.33221937500000004,0.0496496,0.0132785,0.0363711,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770218,0.304066,0.33769,0.336122,1.2,3.38532e-08,0.0198584,1.04306,1.04386
34,train,1,0,True,True,0.0479261,0.0121492,0.0357769,0.139228,0.0907488,0.139228,0.0907488,0.0479261,0.0121492,True,0.388285,0.0479261,0.0121492,0.0357769,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.333967,0.336007,3.28132e-08,1.2,0.0199053,1.04306,1.04386
35,train,5,1,True,True,0.0398273,0.028271,0.0115563,0.13584,0.153145,0.13584,0.153145,0.0282712,0.0398272,True,0.21034650000000002,0.0398273,0.028271,0.0115563,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337461,0.336751,1.2,4.33282e-08,0.0199056,1.04306,1.04386
36,train,2,0,True,True,0.0330219,0.019905,0.0131169,0.127377,0.108088,0.127378,0.108088,0.0330221,0.019905,True,0.582402125,0.0330219,0.019905,0.0131169,True,0.505352,0.770219,0.770219,0.552175,0.224418,0.770219,0.31515,0.751465,0.334199,0.334608,0.751695,1.19999,0.0429849,1.04306,1.04386
37,train,6,1,True,True,0.0206675,0.0254914,-0.00482391,0.111736,0.104605,0.111736,0.104605,0.0254914,0.0206675,False,0.22852887500000002,0.0206675,0.0254914,-0.00482391,False,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.336973,0.337627,1.148,1.19812,0.0365842,1.04306,1.04386
38,train,3,0,True,True,0.0420199,0.0173362,0.0246837,0.141121,0.105619,0.141121,0.10562,0.0420199,0.0173364,True,0.62287,0.0420199,0.0173362,0.0246837,True,0.770217,0.770217,0.770217,0.770217,0.418377,0.633498,0.08,0.770217,0.335573,0.336877,3.44553e-08,1.2,0.00108428,1.04306,1.04386
39,train,7,1,True,True,0.0316799,0.0299704,0.00170958,0.13358,0.136143,0.13358,0.136143,0.0299705,0.0316799,True,0.41637175,0.0316799,0.0299704,0.00170958,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770218,0.291115,0.125778,0.334719,0.334546,1.14765,1.06109,0.0359276,1.04306,1.04386
40,final_eval,0,0,False,False,0.0480213,0.01156,0.0364613,0.137626,0.0886462,0.137626,0.0886462,0.0480213,0.01156,True,0.3398395,0.0480213,0.01156,0.0364613,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335839,0.338705,1.14081,1.14485,,,
41,final_eval,1,0,False,False,0.0458268,0.0118403,0.0339865,0.13505,0.0889209,0.13505,0.0889209,0.0458268,0.0118403,True,0.388285,0.0458268,0.0118403,0.0339865,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335954,0.338284,1.1409,1.14099,,,
42,final_eval,2,0,False,False,0.0317955,0.0195062,0.0122893,0.12422,0.106154,0.124221,0.106154,0.0317956,0.0195062,True,0.58240225,0.0317955,0.0195062,0.0122893,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.770219,0.31515,0.751465,0.334212,0.334636,1.14099,1.14099,,,
43,final_eval,3,0,False,False,0.0412306,0.0170928,0.0241378,0.139175,0.104467,0.139175,0.104468,0.0412306,0.017093,True,0.6228705,0.0412306,0.0170928,0.0241378,True,0.770218,0.770218,0.770217,0.770218,0.418377,0.633498,0.08,0.770218,0.335585,0.336919,1.1409,1.14099,,,
44,final_eval,4,1,False,False,0.0471721,0.0130448,0.0341273,0.0936599,0.14052,0.0936601,0.14052,0.0130449,0.0471719,True,0.33221937500000004,0.0471721,0.0130448,0.0341273,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770218,0.304066,0.335844,0.334209,1.14099,1.1408,,,
45,final_eval,5,1,False,False,0.0370397,0.0282151,0.00882455,0.133587,0.146802,0.133587,0.146803,0.0282152,0.0370399,True,0.21034612500000002,0.0370397,0.0282151,0.00882455,True,0.093642,0.137216,0.08,0.254774,0.770217,0.08,0.18692,0.08,0.337439,0.336749,1.14099,1.14099,,,
46,final_eval,6,1,False,False,0.0199602,0.0258889,-0.00592873,0.111835,0.103082,0.111835,0.103082,0.0258889,0.0199602,False,0.22852887500000002,0.0199602,0.0258889,-0.00592873,False,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.336949,0.33769,1.14099,1.14099,,,
47,final_eval,7,1,False,False,0.0302318,0.030804,-0.000572191,0.134273,0.133416,0.134274,0.133416,0.0308041,0.0302318,False,0.416371875,0.0302318,0.030804,-0.000572191,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.770219,0.291115,0.125778,0.334696,0.334585,1.14098,1.14099,,,
