cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486717,0.152892,0.153628,0.152892,0.153628,0.035978,0.0364647,False,0.3398395,0.035978,0.0364647,-0.000486717,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.21914,1.21919,,,
1,initial_eval,1,0,False,False,0.0344868,0.0361799,-0.00169308,0.148934,0.151489,0.148934,0.151489,0.0344868,0.0361799,False,0.388285,0.0344868,0.0361799,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.20867,1.20874,,,
2,initial_eval,2,0,False,False,0.0452858,0.0414071,0.00387863,0.180345,0.174424,0.180342,0.174424,0.0452846,0.0414073,True,0.58240125,0.0452858,0.0414071,0.00387863,True,0.505352,0.770216,0.770217,0.552175,0.224418,0.770217,0.31515,0.751465,0.335796,0.335795,1.19808,1.19807,,,
3,initial_eval,3,0,False,False,0.0457815,0.0477914,-0.0020099,0.187631,0.190716,0.187631,0.190714,0.0457814,0.0477906,False,0.622870625,0.0457815,0.0477914,-0.0020099,False,0.770218,0.770218,0.770218,0.770218,0.418377,0.633498,0.08,0.770218,0.33568,0.335675,1.18748,1.18753,,,
4,initial_eval,4,1,False,False,0.0356574,0.0329275,0.0027299,0.144565,0.148678,0.144566,0.148677,0.0329277,0.0356571,True,0.33221925,0.0356574,0.0329275,0.0027299,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770217,0.304066,0.335983,0.336001,1.17736,1.17744,,,
5,initial_eval,5,1,False,False,0.0415919,0.0353993,0.00619263,0.155967,0.165344,0.155965,0.165341,0.035399,0.0415908,True,0.210346375,0.0415919,0.0353993,0.00619263,True,0.093642,0.137216,0.08,0.254774,0.770219,0.08,0.18692,0.08,0.337371,0.337339,1.16704,1.16715,,,
6,initial_eval,6,1,False,False,0.0254463,0.02322,0.00222626,0.111069,0.114372,0.111069,0.114372,0.02322,0.0254463,True,0.22852887500000002,0.0254463,0.02322,0.00222626,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.15698,1.15711,,,
7,initial_eval,7,1,False,False,0.0379038,0.039541,-0.00163716,0.162991,0.160508,0.16299,0.160508,0.0395403,0.0379042,False,0.416371625,0.0379038,0.039541,-0.00163716,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.770217,0.291115,0.125778,0.336155,0.336155,1.14694,1.14704,,,
8,train,0,0,True,True,0.0359759,0.0364624,-0.000486486,0.152885,0.15362,0.152885,0.15362,0.0359759,0.0364624,False,0.3398395,0.0359759,0.0364624,-0.000486486,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.335811,1.19991,0.0834336,0.0440832,1.04306,1.04386
9,train,4,1,True,True,0.0361139,0.0322564,0.00385753,0.143276,0.149085,0.143277,0.149084,0.0322566,0.0361136,True,0.332219625,0.0361139,0.0322564,0.00385753,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335987,0.335994,1.19991,0.0912545,1.04533,1.04306,1.04386
10,train,1,0,True,True,0.0294232,0.0400609,-0.0106377,0.139105,0.155069,0.139105,0.155069,0.0294232,0.0400609,False,0.388285,0.0294232,0.0400609,-0.0106377,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335984,0.335853,1.2014,0.387434,0.0698418,1.04306,1.04386
11,train,5,1,True,True,0.0441413,0.0317294,0.0124118,0.148323,0.167023,0.148322,0.16702,0.0317293,0.0441402,True,0.21034650000000002,0.0441413,0.0317294,0.0124118,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337463,0.337185,1.19995,0.222756,1.04533,1.04306,1.04386
12,train,2,0,True,True,0.0288217,0.0520516,-0.0232299,0.145495,0.180181,0.145496,0.180181,0.0288219,0.0520511,False,0.5824011250000001,0.0288217,0.0520516,-0.0232299,False,0.505352,0.770216,0.770217,0.552175,0.224418,0.770216,0.31515,0.751465,0.335968,0.33563,1.19991,0.177905,0.0697491,1.04306,1.04386
13,train,6,1,True,True,0.0360314,0.0127954,0.0232361,0.0883191,0.121015,0.0883192,0.121015,0.0127954,0.0360314,True,0.22852887500000002,0.0360314,0.0127954,0.0232361,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.33872,0.33707,-2.36481e-05,1.2,0.0138098,1.04306,1.04386
14,train,3,0,True,True,0.0291667,0.0588563,-0.0296895,0.150428,0.194639,0.150429,0.194638,0.0291672,0.0588554,False,0.622869875,0.0291667,0.0588563,-0.0296895,False,0.770217,0.770217,0.770216,0.770217,0.418377,0.633498,0.08,0.770217,0.335856,0.335533,1.1999,0.0967685,0.0573305,1.04306,1.04386
15,train,7,1,True,True,0.0548714,0.0201299,0.0347415,0.120526,0.170413,0.120526,0.170413,0.0201299,0.0548716,True,0.416372,0.0548714,0.0201299,0.0347415,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336836,0.335901,0.00484763,1.19998,0.0135523,1.04306,1.04386
16,train,0,0,True,True,0.0281028,0.0415885,-0.0134858,0.136653,0.156833,0.136653,0.156833,0.0281028,0.0415885,False,0.3398395,0.0281028,0.0415885,-0.0134858,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335827,0.335688,1.1999,0.0878263,0.0572904,1.04306,1.04386
17,train,4,1,True,True,0.0537056,0.0159461,0.0377596,0.106145,0.158803,0.106146,0.158803,0.0159462,0.0537056,True,0.332219625,0.0537056,0.0159461,0.0377596,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336697,0.335728,0.0063214,1.19998,0.0135434,1.04306,1.04386
18,train,1,0,True,True,0.0270355,0.0408902,-0.0138547,0.133239,0.153926,0.133239,0.153926,0.0270355,0.0408902,False,0.388285,0.0270355,0.0408902,-0.0138547,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335984,0.335798,0.0621798,1.19992,1.04533,1.04306,1.04386
19,train,5,1,True,True,0.0831011,0.00941702,0.0736841,0.0884363,0.175029,0.0884367,0.175026,0.00941722,0.0830985,True,0.21034650000000002,0.0831011,0.00941702,0.0736841,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.339999,0.336935,-7.10411e-06,1.2,0.0352351,1.04306,1.04386
20,train,2,0,True,True,0.0385814,0.0268461,0.0117353,0.148607,0.131081,0.148607,0.131081,0.0385816,0.0268462,True,0.5824015,0.0385814,0.0268461,0.0117353,True,0.505352,0.770217,0.770218,0.552175,0.224418,0.770217,0.31515,0.751465,0.335785,0.336006,1.19992,0.0533369,0.0260435,1.04306,1.04386
21,train,6,1,True,True,0.029991,0.0143481,0.0156429,0.0901358,0.112676,0.0901358,0.112676,0.0143481,0.029991,True,0.22852887500000002,0.029991,0.0143481,0.0156429,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.338455,0.337338,-8.01605e-05,1.2,0.0237848,1.04306,1.04386
22,train,3,0,True,True,0.0405,0.0270866,0.0134134,0.153139,0.133106,0.153139,0.133106,0.0405002,0.0270868,True,0.622871125,0.0405,0.0270866,0.0134134,True,0.770219,0.770219,0.770218,0.770219,0.418377,0.633498,0.08,0.770219,0.335663,0.335891,0.0953028,1.1999,1.04533,1.04306,1.04386
