cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486717,0.152892,0.153628,0.152892,0.153628,0.035978,0.0364647,False,0.3398395,0.035978,0.0364647,-0.000486717,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.22019,1.22019,
1,initial_eval,1,0,False,False,0.0344868,0.0361799,-0.00169308,0.148934,0.151489,0.148934,0.151489,0.0344868,0.0361799,False,0.388285,0.0344868,0.0361799,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.21042,1.2104,
2,initial_eval,2,0,False,False,0.0452858,0.0414071,0.00387863,0.180345,0.174424,0.180342,0.174424,0.0452846,0.0414073,True,0.58240125,0.0452858,0.0414071,0.00387863,True,0.505352,0.770216,0.770217,0.552175,0.224418,0.770217,0.31515,0.751465,0.335796,0.335795,1.2006,1.20063,
3,initial_eval,3,0,False,False,0.0457815,0.0477914,-0.0020099,0.187631,0.190716,0.187631,0.190714,0.0457814,0.0477906,False,0.622870625,0.0457815,0.0477914,-0.0020099,False,0.770218,0.770218,0.770218,0.770218,0.418377,0.633498,0.08,0.770218,0.33568,0.335675,1.19091,1.1909,
4,initial_eval,4,1,False,False,0.0356574,0.0329275,0.0027299,0.144565,0.148678,0.144566,0.148677,0.0329277,0.0356571,True,0.33221925,0.0356574,0.0329275,0.0027299,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770217,0.304066,0.335983,0.336001,1.1814,1.18138,
5,initial_eval,5,1,False,False,0.0415919,0.0353993,0.00619263,0.155967,0.165344,0.155965,0.165341,0.035399,0.0415908,True,0.210346375,0.0415919,0.0353993,0.00619263,True,0.093642,0.137216,0.08,0.254774,0.770219,0.08,0.18692,0.08,0.337371,0.337339,1.17193,1.17186,
6,initial_eval,6,1,False,False,0.0254463,0.02322,0.00222626,0.111069,0.114372,0.111069,0.114372,0.02322,0.0254463,True,0.22852887500000002,0.0254463,0.02322,0.00222626,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.16256,1.16249,
7,initial_eval,7,1,False,False,0.0379038,0.039541,-0.00163716,0.162991,0.160508,0.16299,0.160508,0.0395403,0.0379042,False,0.416371625,0.0379038,0.039541,-0.00163716,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.770217,0.291115,0.125778,0.336155,0.336155,1.15318,1.15314,
8,train,0,0,True,True,0.0359759,0.0364624,-0.000486486,0.152885,0.15362,0.152885,0.15362,0.0359759,0.0364624,False,0.3398395,0.0359759,0.0364624,-0.000486486,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.2,4.34163e-08,1.04505
9,train,4,1,True,True,0.028201,0.0379527,-0.0097517,0.148854,0.134251,0.148854,0.13425,0.037953,0.0282007,False,0.332219625,0.028201,0.0379527,-0.0097517,False,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335863,0.336279,4.33601e-08,1.2,1.04505
10,train,1,0,True,True,0.0412477,0.0229708,0.0182768,0.149033,0.122052,0.149033,0.122052,0.0412477,0.0229708,True,0.388285,0.0412477,0.0229708,0.0182768,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335819,0.336162,4.13202e-08,1.2,0.0362242
11,train,5,1,True,True,0.0421521,0.0330883,0.00906378,0.150419,0.164104,0.150418,0.164101,0.0330882,0.042151,True,0.21034650000000002,0.0421521,0.0330883,0.00906378,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337386,0.337206,1.2,4.32633e-08,0.0175222
12,train,2,0,True,True,0.0403862,0.0300959,0.0102903,0.156604,0.141144,0.156605,0.141145,0.0403863,0.030096,True,0.58240225,0.0403862,0.0300959,0.0102903,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.770219,0.31515,0.751465,0.335798,0.335838,4.31985e-08,1.2,0.019889
13,train,6,1,True,True,0.0244266,0.0234616,0.000964942,0.110738,0.112169,0.110738,0.112169,0.0234616,0.0244266,True,0.22852887500000002,0.0244266,0.0234616,0.000964942,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337272,0.337389,1.14765,1.19812,0.0429848
14,train,3,0,True,True,0.0456333,0.0294885,0.0161448,0.167477,0.143268,0.167478,0.143269,0.0456335,0.0294888,True,0.6228718750000001,0.0456333,0.0294885,0.0161448,True,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335541,0.335755,3.57386e-08,1.2,0.00175745
15,train,7,1,True,True,0.0378128,0.034952,0.00286087,0.151571,0.155894,0.151571,0.155894,0.0349521,0.0378129,True,0.41637175,0.0378128,0.034952,0.00286087,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770218,0.291115,0.125778,0.336238,0.336107,1.2,4.34353e-08,0.0129029
16,train,0,0,True,True,0.0408052,0.024236,0.0165692,0.149945,0.125381,0.149945,0.125381,0.0408052,0.024236,True,0.3398395,0.0408052,0.024236,0.0165692,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335638,0.336029,3.99534e-08,1.2,0.0198569
17,train,4,1,True,True,0.0400932,0.0202772,0.0198159,0.113515,0.142508,0.113515,0.142508,0.0202774,0.040093,True,0.332219625,0.0400932,0.0202772,0.0198159,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336502,0.336058,1.2,4.3332e-08,0.0199053
18,train,1,0,True,True,0.0400472,0.0222063,0.0178408,0.145406,0.119112,0.145406,0.119112,0.0400472,0.0222063,True,0.388285,0.0400472,0.0222063,0.0178408,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335811,0.336206,4.32277e-08,1.2,0.0199056
19,train,5,1,True,True,0.0405538,0.0318132,0.00874052,0.145812,0.158981,0.145812,0.158979,0.0318133,0.0405528,True,0.21034650000000002,0.0405538,0.0318132,0.00874052,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337389,0.337199,1.2,4.33637e-08,0.0199056
20,train,2,0,True,True,0.0376791,0.0291779,0.00850122,0.149377,0.136625,0.149377,0.136625,0.0376793,0.029178,True,0.582401875,0.0376791,0.0291779,0.00850122,True,0.505352,0.770218,0.770219,0.552175,0.224418,0.770218,0.31515,0.751465,0.335793,0.335859,4.33733e-08,1.2,0.0199056
21,train,6,1,True,True,0.0238677,0.0230296,0.000838151,0.109148,0.110391,0.109148,0.110391,0.0230296,0.0238677,True,0.22852887500000002,0.0238677,0.0230296,0.000838151,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337269,0.337384,1.14765,1.19812,0.0429849
22,train,3,0,True,True,0.0424689,0.0285248,0.013944,0.159308,0.138428,0.159309,0.138428,0.0424691,0.0285251,True,0.6228718750000001,0.0424689,0.0285248,0.013944,True,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335525,0.335775,3.9156e-08,1.2,0.00175747
23,train,7,1,True,True,0.0364969,0.0332795,0.00321733,0.146197,0.151047,0.146197,0.151047,0.0332797,0.0364969,True,0.416371625,0.0364969,0.0332795,0.00321733,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770217,0.291115,0.125778,0.336247,0.336098,1.2,4.36262e-08,0.0129029
24,train,0,0,True,True,0.0393689,0.0234061,0.0159628,0.145734,0.122107,0.145734,0.122107,0.0393689,0.0234061,True,0.3398395,0.0393689,0.0234061,0.0159628,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335636,0.336097,4.12505e-08,1.2,0.0198569
25,train,4,1,True,True,0.038641,0.0196352,0.0190057,0.110782,0.138557,0.110782,0.138557,0.0196353,0.0386409,True,0.332219625,0.038641,0.0196352,0.0190057,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336569,0.336079,1.2,4.34527e-08,0.0199053
26,train,1,0,True,True,0.0381159,0.0216221,0.0164938,0.140533,0.116236,0.140533,0.116236,0.0381159,0.0216221,True,0.388285,0.0381159,0.0216221,0.0164938,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33582,0.336256,4.33794e-08,1.2,0.0199056
27,train,5,1,True,True,0.0387028,0.0304979,0.0082049,0.140899,0.153233,0.140899,0.153232,0.0304983,0.0387021,True,0.210346375,0.0387028,0.0304979,0.0082049,True,0.093642,0.137216,0.08,0.254774,0.770219,0.08,0.18692,0.08,0.337393,0.337196,1.2,4.35612e-08,0.0199084
28,train,2,0,True,True,0.0350427,0.0282681,0.00677453,0.142287,0.132142,0.142288,0.132142,0.0350428,0.0282682,True,0.58240175,0.0350427,0.0282681,0.00677453,True,0.505352,0.770218,0.770218,0.552175,0.224418,0.770218,0.31515,0.751465,0.335797,0.335884,-0.000240764,1.2,0.0199057
29,train,6,1,True,True,0.0233106,0.0226049,0.000705627,0.107578,0.108624,0.107578,0.108624,0.0226049,0.0233106,True,0.22852887500000002,0.0233106,0.0226049,0.000705627,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337267,0.337381,1.14765,1.19812,0.0429849
30,train,3,0,True,True,0.0394299,0.0275633,0.0118667,0.151384,0.133638,0.151385,0.133639,0.0394301,0.0275635,True,0.622871125,0.0394299,0.0275633,0.0118667,True,0.770219,0.770219,0.770218,0.770219,0.418377,0.633498,0.08,0.770219,0.335517,0.335799,4.11416e-08,1.2,0.00175748
31,train,7,1,True,True,0.0350681,0.0315555,0.00351262,0.140589,0.145872,0.140589,0.145872,0.0315556,0.0350682,True,0.41637175,0.0350681,0.0315555,0.00351262,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770218,0.291115,0.125778,0.336256,0.336092,1.2,3.89746e-05,0.0129029
32,train,0,0,True,True,0.0376279,0.0226084,0.0150196,0.140926,0.118723,0.140926,0.118723,0.0376279,0.0226084,True,0.3398395,0.0376279,0.0226084,0.0150196,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33565,0.336178,4.33427e-08,1.2,0.0198569
33,train,4,1,True,True,0.0373535,0.0188798,0.0184737,0.107808,0.134757,0.107808,0.134757,0.0188799,0.0373535,True,0.33221950000000006,0.0373535,0.0188798,0.0184737,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770219,0.304066,0.336665,0.3361,1.2,4.36082e-08,0.0199053
34,train,1,0,True,True,0.0357857,0.021151,0.0146347,0.134973,0.11341,0.134973,0.11341,0.0357857,0.021151,True,0.388285,0.0357857,0.021151,0.0146347,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335841,0.336318,4.37182e-08,1.2,0.0199056
35,train,5,1,True,True,0.0366284,0.0291772,0.00745119,0.13579,0.146966,0.135791,0.146966,0.0291775,0.0366282,True,0.210346375,0.0366284,0.0291772,0.00745119,True,0.093642,0.137216,0.08,0.254774,0.770219,0.08,0.18692,0.08,0.337398,0.337194,1.2,4.40458e-08,0.0199056
36,train,2,0,True,True,0.0325015,0.0273549,0.00514657,0.135379,0.127685,0.135379,0.127686,0.0325016,0.027355,True,0.5824015,0.0325015,0.0273549,0.00514657,True,0.505352,0.770217,0.770218,0.552175,0.224418,0.770217,0.31515,0.751465,0.335815,0.335914,0.891469,1.14765,0.0429849
37,train,6,1,True,True,0.0227539,0.0221837,0.00057027,0.106017,0.106861,0.106017,0.106861,0.0221837,0.0227539,True,0.22852887500000002,0.0227539,0.0221837,0.00057027,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337269,0.337381,1.14833,1.14099,0.00335999
38,train,3,0,True,True,0.036507,0.0265908,0.00991622,0.143669,0.128862,0.143669,0.128862,0.0365072,0.026591,True,0.622871125,0.036507,0.0265908,0.00991622,True,0.770219,0.770219,0.770218,0.770219,0.418377,0.633498,0.08,0.770219,0.33552,0.335828,4.34309e-08,1.2,0.000165832
39,train,7,1,True,True,0.033452,0.0298441,0.00360788,0.134847,0.140258,0.134847,0.140259,0.0298442,0.033452,True,0.416371625,0.033452,0.0298441,0.00360788,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770217,0.291115,0.125778,0.336267,0.336091,1.2,0.618772,0.0357898
40,train,0,0,True,True,0.0357392,0.0218386,0.0139006,0.135841,0.115316,0.135842,0.115316,0.0357392,0.0218386,True,0.3398395,0.0357392,0.0218386,0.0139006,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335689,0.33627,4.35892e-08,1.2,0.0131138
41,train,4,1,True,True,0.0362785,0.0179674,0.0183112,0.104489,0.131126,0.10449,0.131126,0.0179675,0.0362785,True,0.33221950000000006,0.0362785,0.0179674,0.0183112,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770219,0.304066,0.336787,0.336121,1.2,4.3799e-08,0.0198583
42,train,1,0,True,True,0.0334132,0.0207143,0.0126989,0.129333,0.110616,0.129333,0.110616,0.0334132,0.0207143,True,0.388285,0.0334132,0.0207143,0.0126989,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335877,0.336394,0.63023,1.2,0.0429837
43,train,5,1,True,True,0.034249,0.0280058,0.00624323,0.130814,0.140158,0.130814,0.140159,0.0280059,0.0342492,True,0.210346375,0.034249,0.0280058,0.00624323,True,0.093642,0.137216,0.08,0.254774,0.770219,0.08,0.18692,0.08,0.337405,0.337192,1.2,0.327735,0.0365895
44,train,2,0,True,True,0.0300174,0.0264777,0.00353968,0.128605,0.123324,0.128606,0.123324,0.0300175,0.0264778,True,0.58240225,0.0300174,0.0264777,0.00353968,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.770219,0.31515,0.751465,0.335863,0.335957,1.19811,1.14764,0.0364619
45,train,6,1,True,True,0.0221966,0.0217622,0.000434432,0.104453,0.105096,0.104453,0.105096,0.0217622,0.0221966,True,0.22852887500000002,0.0221966,0.0217622,0.000434432,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337275,0.337385,1.18853,1.14099,0.00163771
46,train,3,0,True,True,0.0336561,0.025652,0.00800408,0.136118,0.124184,0.136119,0.124185,0.0336563,0.0256523,True,0.622870625,0.0336561,0.025652,0.00800408,True,0.770218,0.770218,0.770218,0.770218,0.418377,0.633498,0.08,0.770218,0.335547,0.335872,0.523988,1.2,0.000246826
47,train,7,1,True,True,0.0317085,0.0281315,0.00357697,0.128988,0.134339,0.128989,0.13434,0.0281316,0.0317085,True,0.416371875,0.0317085,0.0281315,0.00357697,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770219,0.291115,0.125778,0.336296,0.336111,1.14768,1.05601,0.0357366
48,train,0,0,True,True,0.0336339,0.0211452,0.0124887,0.130394,0.111966,0.130394,0.111966,0.0336339,0.0211452,True,0.3398395,0.0336339,0.0211452,0.0124887,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335759,0.336375,0.496742,1.2,0.00144618
49,train,4,1,True,True,0.0353878,0.0169385,0.0184493,0.100918,0.127653,0.100918,0.127653,0.0169386,0.0353878,True,0.332219625,0.0353878,0.0169385,0.0184493,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336932,0.336142,1.2,4.43089e-08,0.0124017
50,train,1,0,True,True,0.0310703,0.0202883,0.010782,0.123723,0.107827,0.123723,0.107827,0.0310703,0.0202883,True,0.388285,0.0310703,0.0202883,0.010782,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335944,0.336488,1.1424,1.14765,0.0429346
51,train,5,1,True,True,0.0319217,0.0268811,0.00504059,0.125981,0.133511,0.125982,0.133511,0.0268812,0.0319219,True,0.21034625,0.0319217,0.0268811,0.00504059,True,0.093642,0.137216,0.08,0.254774,0.770218,0.08,0.18692,0.08,0.337415,0.337189,1.14099,0.962148,0.00334672
52,train,2,0,True,True,0.0275666,0.0256404,0.00192618,0.121907,0.119039,0.121908,0.119039,0.0275668,0.0256405,True,0.5824025,0.0275666,0.0256404,0.00192618,True,0.505352,0.77022,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335952,0.33602,1.14099,1.14817,0.000344003
53,train,6,1,True,True,0.0216356,0.0213365,0.000299164,0.102875,0.103317,0.102875,0.103317,0.0213365,0.0216356,True,0.22852887500000002,0.0216356,0.0213365,0.000299164,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337287,0.337394,1.14099,1.14099,4.70613e-05
