cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0963465,0.0979471,-0.00160066,0.129827,0.131476,0.0162485,0.0162245,0.096352,0.0979525,False,0.132223,0.0963465,0.0979471,-0.00160066,False,0.137007,0.130668,0.130545,0.130672,0.336651,0.336654,1.21792,1.2179,
1,initial_eval,1,0,False,False,0.0960739,0.0976625,-0.00158865,0.129547,0.131183,0.0162481,0.0162268,0.0960794,0.0976679,False,0.13175599999999998,0.0960739,0.0976625,-0.00158865,False,0.132345,0.13114,0.130324,0.133215,0.336655,0.336657,1.20768,1.20765,
2,initial_eval,2,0,False,False,0.0963141,0.0979144,-0.00160029,0.129794,0.131443,0.0162414,0.0162201,0.0963196,0.0979198,False,0.1321885,0.0963141,0.0979144,-0.00160029,False,0.136969,0.130634,0.130512,0.130639,0.336655,0.336656,1.19751,1.19747,
3,initial_eval,3,0,False,False,0.0940944,0.0956283,-0.00153388,0.127507,0.129087,0.0162185,0.0161969,0.0941,0.0956338,False,0.12828475,0.0940944,0.0956283,-0.00153388,False,0.128315,0.128312,0.128196,0.128316,0.336653,0.336654,1.18746,1.1874,
4,initial_eval,4,1,False,False,0.0956128,0.0940791,0.00153373,0.127492,0.129072,0.0162191,0.0161975,0.0940847,0.0956183,True,0.12826925,0.0956128,0.0940791,0.00153373,True,0.128299,0.128297,0.12818,0.128301,0.336653,0.336655,1.17747,1.17741,
5,initial_eval,5,1,False,False,0.0955978,0.0940642,0.00153356,0.127476,0.129056,0.0162197,0.016198,0.0940698,0.0956033,True,0.12825350000000002,0.0955978,0.0940642,0.00153356,True,0.128284,0.128281,0.128164,0.128285,0.336653,0.336655,1.16757,1.16749,
6,initial_eval,6,1,False,False,0.095985,0.0944404,0.00154464,0.127864,0.129455,0.0162259,0.0162042,0.094446,0.0959905,True,0.12892,0.095985,0.0944404,0.00154464,True,0.129769,0.128675,0.128557,0.128679,0.336654,0.336656,1.15774,1.15765,
7,initial_eval,7,1,False,False,0.0955668,0.0940336,0.00153323,0.127445,0.129024,0.016221,0.0161992,0.0940392,0.0955723,True,0.12822225,0.0955668,0.0940336,0.00153323,True,0.128252,0.12825,0.128133,0.128254,0.336653,0.336655,1.14799,1.14789,
8,train,0,0,True,True,0.0962293,0.0978288,-0.00159952,0.129707,0.131355,0.0162447,0.0162208,0.0962348,0.0978343,False,0.132105,0.0962293,0.0978288,-0.00159952,False,0.136898,0.130547,0.130424,0.130551,0.336694,0.336697,1.2,0.0587516,1.04498
9,train,1,0,True,True,0.083172,0.0789023,0.00426971,0.116255,0.111856,0.0169957,0.0171356,0.0831783,0.0789089,True,0.11616275,0.083172,0.0789023,0.00426971,True,0.11711,0.115139,0.114576,0.117826,0.336738,0.336838,4.82239e-07,1.2,0.0134617
