cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.133285,0.140059,-0.00677373,0.151587,0.159697,0.00697446,0.00681901,0.133278,0.140051,False,0.08484645000000002,0.173916,0.0629702,0.0587261,0.101061,0.0383628,0.110608,0.0606716,0.0724559,0.33919,0.339122,1.17576,1.17568,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.13226,0.138961,-0.0067011,0.145331,0.153025,0.0013936,0.00131855,0.132253,0.138953,False,0.09497026250000001,0.108507,0.0636288,0.163424,0.0725158,0.0770223,0.0624112,0.105529,0.106724,0.342077,0.342037,1.16557,1.16544,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.136222,0.143125,-0.00690334,0.158735,0.166477,0.0168732,0.0163713,0.136214,0.143117,False,0.086515325,0.0869948,0.0762314,0.128642,0.0533976,0.0732264,0.0660454,0.10729,0.100295,0.341605,0.341513,1.15542,1.15524,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.133746,0.140625,-0.00687873,0.148452,0.156945,0.00778735,0.00762305,0.133739,0.140617,False,0.091455125,0.0839446,0.151731,0.0748051,0.0559632,0.068579,0.0678864,0.140703,0.0880287,0.340141,0.340042,1.14539,1.14516,,,,,,,,,,,
4,initial_eval,4,1,False,False,0.142485,0.13553,0.00695523,0.155496,0.163992,0.00784759,0.00764387,0.135522,0.142477,True,0.08255443750000001,0.0673347,0.14474,0.0481347,0.0993087,0.0675578,0.0376687,0.135157,0.0605339,0.339322,0.339224,1.13966,1.13964,,,,,,,,,,,
5,initial_eval,5,1,False,False,0.135385,0.128194,0.00719031,0.146808,0.156207,0.00619576,0.00595771,0.128187,0.135377,True,0.079223225,0.062805,0.136775,0.0104679,0.19034,0.0307904,0.0684088,0.0680629,0.0661358,0.338467,0.338335,1.13976,1.13974,,,,,,,,,,,
6,initial_eval,6,1,False,False,0.136752,0.129399,0.00735294,0.151936,0.161415,0.00725972,0.00702015,0.129392,0.136745,True,0.07318807124999999,0.072133,0.115757,0.00225337,0.184765,0.0193334,0.0856065,0.0515218,0.0541345,0.33848,0.338348,1.13968,1.13966,,,,,,,,,,,
7,initial_eval,7,1,False,False,0.137868,0.131099,0.00676903,0.146915,0.155485,0.0109761,0.0108173,0.131092,0.13786,True,0.080954675,0.170797,0.0839929,0.0284706,0.124296,0.0214215,0.124091,0.0439957,0.0505727,0.339318,0.339214,1.13967,1.13966,,,,,,,,,,,
8,train,0,0,True,False,0.1333,0.140083,-0.00678257,0.151586,0.159696,0.00697414,0.00681869,0.133293,0.140075,False,0.0848436375,0.173913,0.0629672,0.0587234,0.101058,0.0383598,0.110606,0.0606683,0.0724534,0.339231,0.339164,0.881561,0.923702,1.63158e-08,2.9402e-08,0.152419,,,,,,,,
9,train,4,1,False,False,0.142484,0.135529,0.00695516,0.155496,0.163991,0.00784745,0.00764372,0.135521,0.142476,True,0.082552375,0.0673325,0.144738,0.0481332,0.0993062,0.0675558,0.0376667,0.135155,0.0605316,0.339364,0.339266,0.882386,0.922663,1.55092e-08,2.90994e-08,0.151377,,,,,,,,
10,train,1,0,False,False,0.132258,0.138959,-0.00670107,0.14533,0.153024,0.00139359,0.00131853,0.132251,0.138951,False,0.094967325,0.108506,0.0636251,0.163422,0.0725111,0.0770197,0.0624077,0.105527,0.10672,0.342119,0.342079,0.881149,0.924236,1.63675e-08,2.89002e-08,0.150342,,,,,,,,
