order,phase,pattern,label,target_out,other_out,margin,margin_before,d_margin,correct
binary_order,train,0,0,0.0148375,1.06032e-136,0.0148375,0.0,0.0148375,True
binary_order,eval,0,0,0.0147307,-5.75618e-27,0.0147307,,,True
binary_order,train,1,1,0.0148374,4.14228e-51,0.0148374,5.75622e-27,0.0148374,True
binary_order,eval,1,1,0.0147307,-1.12734e-26,0.0147307,,,True
binary_order,train,2,1,0.0148375,1.11138e-99,0.0148375,-5.75619e-27,0.0148375,True
binary_order,eval,2,1,0.0147309,8.10885e-51,0.0147309,,,True
binary_order,train,3,0,0.0148374,4.14229e-51,0.0148374,5.75623e-27,0.0148374,True
binary_order,eval,3,0,0.0147309,-1.12736e-26,0.0147309,,,True
binary_order,train,4,1,0.0148374,4.14226e-51,0.0148374,5.75619e-27,0.0148374,True
binary_order,eval,4,1,0.014731,-1.1273e-26,0.014731,,,True
binary_order,train,5,0,0.0148374,4.14226e-51,0.0148374,5.75619e-27,0.0148374,True
binary_order,eval,5,0,0.0147311,-1.12736e-26,0.0147311,,,True
binary_order,train,6,0,0.0148375,1.11137e-99,0.0148375,-5.75618e-27,0.0148375,True
binary_order,eval,6,0,0.0147313,8.10903e-51,0.0147313,,,True
binary_order,train,7,1,0.0148374,4.14228e-51,0.0148374,5.75622e-27,0.0148374,True
binary_order,eval,7,1,0.0147313,-1.12736e-26,0.0147313,,,True
interleaved_order,train,0,0,0.0148375,1.06032e-136,0.0148375,0.0,0.0148375,True
interleaved_order,eval,0,0,0.0147307,-5.75618e-27,0.0147307,,,True
interleaved_order,train,1,1,0.0148375,1.11138e-99,0.0148375,-5.75619e-27,0.0148375,True
interleaved_order,eval,1,1,0.0147313,-1.12734e-26,0.0147313,,,True
interleaved_order,train,2,1,0.0148374,4.14226e-51,0.0148374,5.75619e-27,0.0148374,True
interleaved_order,eval,2,1,0.0147318,8.10885e-51,0.0147318,,,True
interleaved_order,train,3,0,0.0148375,1.11137e-99,0.0148375,-5.75618e-27,0.0148375,True
interleaved_order,eval,3,0,0.0147325,-1.12742e-26,0.0147325,,,True
interleaved_order,train,4,1,0.0148374,4.14228e-51,0.0148374,5.75622e-27,0.0148374,True
interleaved_order,eval,4,1,0.0147325,-1.12742e-26,0.0147325,,,True
interleaved_order,train,5,0,0.0148374,4.14226e-51,0.0148374,5.75619e-27,0.0148374,True
interleaved_order,eval,5,0,0.0147311,-1.12748e-26,0.0147311,,,True
interleaved_order,train,6,0,0.0148374,4.14229e-51,0.0148374,5.75623e-27,0.0148374,True
interleaved_order,eval,6,0,0.0147298,8.10984e-51,0.0147298,,,True
interleaved_order,train,7,1,0.0148374,4.14228e-51,0.0148374,5.75622e-27,0.0148374,True
interleaved_order,eval,7,1,0.0147284,-1.12724e-26,0.0147284,,,True
