experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,dp0_probe,dn0_probe,dp1_probe,dn1_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,1.14029,0.0,0.0,1.14029,0.20739,2.16628e-14,0.3,0.206553,2.85689e-13,0.3,-0.0926097,-0.0934467,-0.000836964,-0.000836964,0.20739,2.16628e-14,0.3,0.207036,8.40857e-12,0.3,-0.0926097,-0.0929639,-0.000354219,0.000354219,False,True,False
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,0.0,1.14029,1.14029,0.0,0.20739,2.16628e-14,0.3,0.207036,8.40857e-12,0.3,-0.0926097,-0.0929639,-0.000354219,0.000354219,0.20739,2.16628e-14,0.3,0.206553,2.85689e-13,0.3,-0.0926097,-0.0934467,-0.000836964,-0.000836964,True,False,False
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,1.14029,0.0,0.0,1.14029,0.207395,1.30135e-14,0.3,0.206382,8.11822e-10,0.3,-0.0926049,-0.0936181,-0.00101324,-0.00101324,0.207395,1.30135e-14,0.3,0.206338,2.69474e-15,0.3,-0.0926049,-0.0936618,-0.00105699,0.00105699,False,True,False
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,0.0,1.14029,1.14029,0.0,0.207395,1.30135e-14,0.3,0.206338,2.69474e-15,0.3,-0.0926049,-0.0936618,-0.00105699,0.00105699,0.207395,1.30135e-14,0.3,0.206382,8.11822e-10,0.3,-0.0926049,-0.0936181,-0.00101324,-0.00101324,True,False,False
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,1.14029,0.0,0.0,1.14029,0.207398,7.61271e-15,0.3,0.209314,4.08344e-08,0.3,-0.0926023,-0.0906856,0.00191679,0.00191679,0.207398,7.61271e-15,0.3,0.205123,1.95948e-17,0.3,-0.0926023,-0.0948765,-0.0022742,0.0022742,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,0.0,1.14029,1.14029,0.0,0.207398,7.61271e-15,0.3,0.205123,1.95948e-17,0.3,-0.0926023,-0.0948765,-0.0022742,0.0022742,0.207398,7.61271e-15,0.3,0.209314,4.08344e-08,0.3,-0.0926023,-0.0906856,0.00191679,0.00191679,True,True,True
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,0.0480918,0.0,0.0,0.0480918,0.20739,2.16628e-14,0.3,0.206929,9.12807e-13,0.3,-0.0926097,-0.0930705,-0.000460834,-0.000460834,0.20739,2.16628e-14,0.3,0.206929,9.13384e-13,0.3,-0.0926097,-0.0930705,-0.00046081,0.00046081,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,0.0,0.0480918,0.0480918,0.0,0.20739,2.16628e-14,0.3,0.206929,9.13384e-13,0.3,-0.0926097,-0.0930705,-0.00046081,0.00046081,0.20739,2.16628e-14,0.3,0.206929,9.12807e-13,0.3,-0.0926097,-0.0930705,-0.000460834,-0.000460834,True,False,False
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,0.0480918,0.0,0.0,0.0480918,0.207395,1.30135e-14,0.3,0.206705,9.40363e-13,0.3,-0.0926049,-0.0932953,-0.000690459,-0.000690459,0.207395,1.30135e-14,0.3,0.206705,9.40401e-13,0.3,-0.0926049,-0.0932953,-0.000690459,0.000690459,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,0.0,0.0480918,0.0480918,0.0,0.207395,1.30135e-14,0.3,0.206705,9.40401e-13,0.3,-0.0926049,-0.0932953,-0.000690459,0.000690459,0.207395,1.30135e-14,0.3,0.206705,9.40363e-13,0.3,-0.0926049,-0.0932953,-0.000690459,-0.000690459,True,False,False
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,0.0480918,0.0,0.0,0.0480918,0.207398,7.61271e-15,0.3,0.206695,5.84204e-13,0.3,-0.0926023,-0.0933052,-0.000702805,-0.000702805,0.207398,7.61271e-15,0.3,0.206695,5.84206e-13,0.3,-0.0926023,-0.0933052,-0.000702805,0.000702805,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,0.0,0.0480918,0.0480918,0.0,0.207398,7.61271e-15,0.3,0.206695,5.84206e-13,0.3,-0.0926023,-0.0933052,-0.000702805,0.000702805,0.207398,7.61271e-15,0.3,0.206695,5.84204e-13,0.3,-0.0926023,-0.0933052,-0.000702805,-0.000702805,True,False,False
