experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,lead_mode,pre_gate_mode,pre_boost_v,pre_boost_cap_f,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,lead_mistake_outlow,0.3316,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482732,2.20205e-12,0.3,0.0482732,1.61468e-07,0.3,-0.251727,-0.251727,1.63781e-07,1.63781e-07,0.0482732,2.20205e-12,0.3,0.0482732,7.42275e-14,0.3,-0.251727,-0.251727,-1.40034e-08,1.40034e-08,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3316,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482732,2.20205e-12,0.3,0.0482732,7.42275e-14,0.3,-0.251727,-0.251727,-1.40034e-08,1.40034e-08,0.0482732,2.20205e-12,0.3,0.0482732,1.61468e-07,0.3,-0.251727,-0.251727,1.63781e-07,1.63781e-07,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.34,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482733,2.20205e-12,0.3,0.0482733,1.61468e-07,0.3,-0.251727,-0.251727,1.62503e-07,1.62503e-07,0.0482733,2.20205e-12,0.3,0.0482732,7.42275e-14,0.3,-0.251727,-0.251727,-1.35454e-08,1.35454e-08,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.34,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482733,2.20205e-12,0.3,0.0482732,7.42275e-14,0.3,-0.251727,-0.251727,-1.35454e-08,1.35454e-08,0.0482733,2.20205e-12,0.3,0.0482733,1.61468e-07,0.3,-0.251727,-0.251727,1.62503e-07,1.62503e-07,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3488,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482733,2.20205e-12,0.3,0.0482733,1.61468e-07,0.3,-0.251727,-0.251727,1.61434e-07,1.61434e-07,0.0482733,2.20205e-12,0.3,0.0482733,7.42275e-14,0.3,-0.251727,-0.251727,-1.30654e-08,1.30654e-08,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3488,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482733,2.20205e-12,0.3,0.0482733,7.42275e-14,0.3,-0.251727,-0.251727,-1.30654e-08,1.30654e-08,0.0482733,2.20205e-12,0.3,0.0482733,1.61468e-07,0.3,-0.251727,-0.251727,1.61434e-07,1.61434e-07,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3316,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.724803,0.199436,2.16625e-14,0.3,0.201079,4.40201e-08,0.3,-0.100564,-0.0989209,0.00164267,0.00164267,0.199436,2.16625e-14,0.3,0.197398,1.05166e-16,0.3,-0.100564,-0.102602,-0.00203878,0.00203878,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3316,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.724803,0.199436,2.16625e-14,0.3,0.197398,1.05166e-16,0.3,-0.100564,-0.102602,-0.00203878,0.00203878,0.199436,2.16625e-14,0.3,0.201079,4.40201e-08,0.3,-0.100564,-0.0989209,0.00164267,0.00164267,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.724803,0.207391,2.16625e-14,0.3,0.208842,4.44069e-08,0.3,-0.0926095,-0.0911582,0.0014513,0.0014513,0.207391,2.16625e-14,0.3,0.205206,1.06236e-16,0.3,-0.0926095,-0.0947944,-0.00218486,0.00218486,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.724803,0.207391,2.16625e-14,0.3,0.205206,1.06236e-16,0.3,-0.0926095,-0.0947944,-0.00218486,0.00218486,0.207391,2.16625e-14,0.3,0.208842,4.44069e-08,0.3,-0.0926095,-0.0911582,0.0014513,0.0014513,True,True,True
