experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,lead_mode,pre_gate_mode,pre_boost_v,pre_boost_cap_f,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,lead_mistake_outlow,0.3316,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,2.26096e-12,0.3,-0.251727,-0.251727,4.83032e-09,4.83032e-09,0.0482732,2.26713e-12,0.3,0.0482732,3.29685e-15,0.3,-0.251727,-0.251727,-3.86434e-10,3.86434e-10,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3316,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,3.29685e-15,0.3,-0.251727,-0.251727,-3.86434e-10,3.86434e-10,0.0482732,2.26713e-12,0.3,0.0482732,2.26096e-12,0.3,-0.251727,-0.251727,4.83032e-09,4.83032e-09,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.34,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482732,2.26713e-12,0.3,0.0482733,2.26096e-12,0.3,-0.251727,-0.251727,3.32801e-09,3.32801e-09,0.0482732,2.26713e-12,0.3,0.0482732,3.29685e-15,0.3,-0.251727,-0.251727,-3.77051e-10,3.77051e-10,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.34,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,3.29685e-15,0.3,-0.251727,-0.251727,-3.77054e-10,3.77054e-10,0.0482732,2.26713e-12,0.3,0.0482733,2.26096e-12,0.3,-0.251727,-0.251727,3.32801e-09,3.32801e-09,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3488,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482733,2.26713e-12,0.3,0.0482733,2.26096e-12,0.3,-0.251727,-0.251727,2.0534e-09,2.0534e-09,0.0482733,2.26713e-12,0.3,0.0482733,3.29685e-15,0.3,-0.251727,-0.251727,-3.70308e-10,3.70308e-10,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3488,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482733,2.26713e-12,0.3,0.0482733,3.29685e-15,0.3,-0.251727,-0.251727,-3.70308e-10,3.70308e-10,0.0482733,2.26713e-12,0.3,0.0482733,2.26096e-12,0.3,-0.251727,-0.251727,2.0534e-09,2.0534e-09,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3316,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.724803,0.199261,2.24437e-14,0.3,0.201226,2.2388e-14,0.3,-0.100739,-0.0987741,0.00196514,0.00196514,0.199261,2.24437e-14,0.3,0.199229,2.3263e-18,0.3,-0.100739,-0.100771,-3.1288e-05,3.1288e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3316,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.724803,0.199261,2.24437e-14,0.3,0.199229,2.3263e-18,0.3,-0.100739,-0.100771,-3.1288e-05,3.1288e-05,0.199261,2.24437e-14,0.3,0.201226,2.2388e-14,0.3,-0.100739,-0.0987741,0.00196514,0.00196514,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.724803,0.207207,2.24437e-14,0.3,0.208982,2.26079e-14,0.3,-0.092793,-0.0910182,0.00177487,0.00177487,0.207207,2.24437e-14,0.3,0.207173,2.35181e-18,0.3,-0.092793,-0.0928274,-3.4348e-05,3.4348e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.724803,0.207207,2.24437e-14,0.3,0.207173,2.35181e-18,0.3,-0.092793,-0.0928274,-3.4348e-05,3.4348e-05,0.207207,2.24437e-14,0.3,0.208982,2.26079e-14,0.3,-0.092793,-0.0910182,0.00177487,0.00177487,True,True,True
