experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,pre_gate_mode,pre_boost_v,pre_boost_width_u,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,1.14029,0.0,0.0,1.14029,0.212683,0.20739,2.16628e-14,0.3,0.206587,1.72983e-13,0.3,-0.0926097,-0.0934127,-0.000802973,-0.000802973,0.20739,2.16628e-14,0.3,0.207037,5.00863e-12,0.3,-0.0926097,-0.092963,-0.000353318,0.000353318,False,True,False
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,1.14029,1.14029,0.0,0.212683,0.20739,2.16628e-14,0.3,0.207037,5.00863e-12,0.3,-0.0926097,-0.092963,-0.000353318,0.000353318,0.20739,2.16628e-14,0.3,0.206587,1.72983e-13,0.3,-0.0926097,-0.0934127,-0.000802973,-0.000802973,True,False,False
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,1.14029,0.0,0.0,1.14029,0.456325,0.207395,1.30135e-14,0.3,0.206376,2.7923e-10,0.3,-0.0926049,-0.0936242,-0.00101936,-0.00101936,0.207395,1.30135e-14,0.3,0.206696,6.21643e-15,0.3,-0.0926049,-0.093304,-0.000699131,0.000699131,False,True,False
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,1.14029,1.14029,0.0,0.456325,0.207395,1.30135e-14,0.3,0.206696,6.21643e-15,0.3,-0.0926049,-0.093304,-0.000699131,0.000699131,0.207395,1.30135e-14,0.3,0.206376,2.7923e-10,0.3,-0.0926049,-0.0936242,-0.00101936,-0.00101936,True,False,False
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,1.14029,0.0,0.0,1.14029,0.700652,0.207398,7.61271e-15,0.3,0.208704,2.04541e-08,0.3,-0.0926023,-0.091296,0.00130638,0.00130638,0.207398,7.61271e-15,0.3,0.205295,3.07744e-17,0.3,-0.0926023,-0.0947053,-0.00210299,0.00210299,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,1.14029,1.14029,0.0,0.700652,0.207398,7.61271e-15,0.3,0.205295,3.07744e-17,0.3,-0.0926023,-0.0947053,-0.00210299,0.00210299,0.207398,7.61271e-15,0.3,0.208704,2.04541e-08,0.3,-0.0926023,-0.091296,0.00130638,0.00130638,True,True,True
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0480918,0.0,0.0,0.0480918,0.212683,0.20739,2.16628e-14,0.3,0.206964,5.32051e-13,0.3,-0.0926097,-0.0930361,-0.000426438,-0.000426438,0.20739,2.16628e-14,0.3,0.206964,5.34052e-13,0.3,-0.0926097,-0.0930359,-0.000426199,0.000426199,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,0.0480918,0.0480918,0.0,0.212683,0.20739,2.16628e-14,0.3,0.206964,5.34052e-13,0.3,-0.0926097,-0.0930359,-0.000426199,0.000426199,0.20739,2.16628e-14,0.3,0.206964,5.32051e-13,0.3,-0.0926097,-0.0930361,-0.000426438,-0.000426438,True,False,False
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0480918,0.0,0.0,0.0480918,0.456325,0.207395,1.30135e-14,0.3,0.206739,9.37568e-13,0.3,-0.0926049,-0.0932613,-0.000656453,-0.000656453,0.207395,1.30135e-14,0.3,0.206739,9.37645e-13,0.3,-0.0926049,-0.0932613,-0.000656452,0.000656452,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,0.0480918,0.0480918,0.0,0.456325,0.207395,1.30135e-14,0.3,0.206739,9.37645e-13,0.3,-0.0926049,-0.0932613,-0.000656452,0.000656452,0.207395,1.30135e-14,0.3,0.206739,9.37568e-13,0.3,-0.0926049,-0.0932613,-0.000656453,-0.000656453,True,False,False
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0480918,0.0,0.0,0.0480918,0.700652,0.207398,7.61271e-15,0.3,0.206695,5.83708e-13,0.3,-0.0926023,-0.0933048,-0.000702427,-0.000702427,0.207398,7.61271e-15,0.3,0.206695,5.83717e-13,0.3,-0.0926023,-0.0933048,-0.000702427,0.000702427,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,0.0480918,0.0480918,0.0,0.700652,0.207398,7.61271e-15,0.3,0.206695,5.83717e-13,0.3,-0.0926023,-0.0933048,-0.000702427,0.000702427,0.207398,7.61271e-15,0.3,0.206695,5.83708e-13,0.3,-0.0926023,-0.0933048,-0.000702427,-0.000702427,True,False,False
