experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,pre_gate_mode,pre_boost_v,pre_boost_width_u,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,1.14029,0.0,0.0,1.14029,0.499842,0.20739,2.16628e-14,0.3,0.206378,9.79147e-10,0.3,-0.0926097,-0.0936224,-0.0010127,-0.0010127,0.20739,2.16628e-14,0.3,0.206335,4.70849e-15,0.3,-0.0926097,-0.093665,-0.0010553,0.0010553,False,True,False
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,1.14029,1.14029,0.0,0.499842,0.20739,2.16628e-14,0.3,0.206335,4.70849e-15,0.3,-0.0926097,-0.093665,-0.0010553,0.0010553,0.20739,2.16628e-14,0.3,0.206378,9.79147e-10,0.3,-0.0926097,-0.0936224,-0.0010127,-0.0010127,True,False,False
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,1.14029,0.0,0.0,1.14029,0.624748,0.207395,1.30135e-14,0.3,0.207346,9.29557e-09,0.3,-0.0926049,-0.0926538,-4.89922e-05,-4.89922e-05,0.207395,1.30135e-14,0.3,0.205602,2.19951e-16,0.3,-0.0926049,-0.094398,-0.0017931,0.0017931,False,True,False
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,1.14029,1.14029,0.0,0.624748,0.207395,1.30135e-14,0.3,0.205602,2.19951e-16,0.3,-0.0926049,-0.094398,-0.0017931,0.0017931,0.207395,1.30135e-14,0.3,0.207346,9.29557e-09,0.3,-0.0926049,-0.0926538,-4.89922e-05,-4.89922e-05,True,False,False
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,1.14029,0.0,0.0,1.14029,0.749654,0.207398,7.61271e-15,0.3,0.20931,4.08776e-08,0.3,-0.0926023,-0.0906895,0.0019128,0.0019128,0.207398,7.61271e-15,0.3,0.205124,1.55603e-17,0.3,-0.0926023,-0.0948759,-0.00227358,0.00227358,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,1.14029,1.14029,0.0,0.749654,0.207398,7.61271e-15,0.3,0.205124,1.55603e-17,0.3,-0.0926023,-0.0948759,-0.00227358,0.00227358,0.207398,7.61271e-15,0.3,0.20931,4.08776e-08,0.3,-0.0926023,-0.0906895,0.0019128,0.0019128,True,True,True
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0480918,0.0,0.0,0.0480918,0.499842,0.20739,2.16647e-14,0.3,0.2067,1.3722e-12,0.3,-0.0926097,-0.0932997,-0.000689953,-0.000689953,0.20739,2.16647e-14,0.3,0.2067,1.37224e-12,0.3,-0.0926097,-0.0932997,-0.000689953,0.000689953,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,0.0480918,0.0480918,0.0,0.499842,0.20739,2.16647e-14,0.3,0.2067,1.37224e-12,0.3,-0.0926097,-0.0932997,-0.000689953,0.000689953,0.20739,2.16647e-14,0.3,0.2067,1.3722e-12,0.3,-0.0926097,-0.0932997,-0.000689953,-0.000689953,True,False,False
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0480918,0.0,0.0,0.0480918,0.624748,0.207395,1.30135e-14,0.3,0.206694,9.44585e-13,0.3,-0.0926049,-0.0933064,-0.000701502,-0.000701502,0.207395,1.30135e-14,0.3,0.206694,9.44589e-13,0.3,-0.0926049,-0.0933064,-0.000701502,0.000701502,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,0.0480918,0.0480918,0.0,0.624748,0.207395,1.30135e-14,0.3,0.206694,9.44589e-13,0.3,-0.0926049,-0.0933064,-0.000701502,0.000701502,0.207395,1.30135e-14,0.3,0.206694,9.44585e-13,0.3,-0.0926049,-0.0933064,-0.000701502,-0.000701502,True,False,False
error_rule_action_label0_mistake,out_competitive,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0480918,0.0,0.0,0.0480918,0.749654,0.207398,7.61271e-15,0.3,0.206695,5.84232e-13,0.3,-0.0926023,-0.0933052,-0.000702808,-0.000702808,0.207398,7.61271e-15,0.3,0.206695,5.84232e-13,0.3,-0.0926023,-0.0933052,-0.000702808,0.000702808,False,True,False
error_rule_action_label1_mistake,out_competitive,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,0.75,4.0,0.0,0.0480918,0.0480918,0.0,0.749654,0.207398,7.61271e-15,0.3,0.206695,5.84232e-13,0.3,-0.0926023,-0.0933052,-0.000702808,0.000702808,0.207398,7.61271e-15,0.3,0.206695,5.84232e-13,0.3,-0.0926023,-0.0933052,-0.000702808,-0.000702808,True,False,False
