experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_positive,0.1,0.25,,,,0.0,-1.16246e-110,-1.16246e-110,0.1,,,,,,,0.31076733333333334,-4.64984e-110,1.62398e-08,5.046799339866667e-09
read_positive,0.13,0.25,,,,0.0,0.00932302,0.00932302,0.13,,,,,,,0.3898833095238095,0.03729208,7.60139e-06,2.96365509018119e-06
read_positive,0.34,0.25,,,,0.0,0.207499,0.207499,0.34,,,,,,,0.9436951428571427,0.829996,0.00164969,0.00155680444022
read_negative,0.1,0.25,,,,0.299982,0.299887,9.48962e-05,0.1,,,,,,,9.996236793333333,0.0003795848,1.62398e-08,1.6233688627637466e-07
read_negative,0.13,0.25,,,,0.299982,1.48021e-67,0.299982,0.13,,,,,,,8.746707194166667,1.199928,7.60139e-06,6.648713259866656e-05
read_negative,0.34,0.25,,,,0.299982,3.06411e-300,0.299982,0.34,,,,,,,0.0,1.199928,0.00164969,0.0
read_positive,0.1,0.5,,,,0.0,-5.58935e-112,-5.58935e-112,0.1,,,,,,,0.31078500000000003,-1.11787e-111,1.62398e-08,5.0470862430000004e-09
read_positive,0.13,0.5,,,,0.0,0.00932355,0.00932355,0.13,,,,,,,0.3898990476190476,0.0186471,7.60139e-06,2.963774721580952e-06
read_positive,0.34,0.5,,,,0.0,0.2075,0.2075,0.34,,,,,,,0.9436973809523809,0.415,0.00164969,0.0015568081323833333
read_negative,0.1,0.5,,,,0.299982,0.299887,9.49479e-05,0.1,,,,,,,9.996235070000003,0.0001898958,1.62398e-08,1.6233685828978606e-07
read_negative,0.13,0.5,,,,0.299982,3.46587e-69,0.299982,0.13,,,,,,,8.746705686250001,0.599964,7.60139e-06,6.64871211364039e-05
read_negative,0.34,0.5,,,,0.299982,0.0,0.299982,0.34,,,,,,,0.0,0.599964,0.00164969,0.0
write_discharge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.1,1.62398e-08,-1.62398e-08,1.62398e-08,-1.62398e-08,,,1.62398e-08,
write_discharge,0.13,,0.65,1.0,0.0008,,,,,0.129998,0.129991,7.60139e-06,-7.60139e-06,7.60139e-06,-7.60139e-06,,,7.60139e-06,
write_discharge,0.34,,0.65,1.0,0.0008,,,,,0.339822,0.338172,0.00164969,-0.00164969,0.00164969,-0.00164969,,,0.00164969,
write_charge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.106795,-0.00679522,0.00679522,0.00679522,0.00679522,,,1.62398e-08,
write_charge,0.13,,0.65,1.0,0.0008,,,,,0.13,0.135861,-0.00586108,0.00586108,0.00586108,0.00586108,,,7.60139e-06,
write_charge,0.34,,0.65,1.0,0.0008,,,,,0.34,0.340992,-0.000991952,0.000991952,0.000991952,0.000991952,,,0.00164969,
