experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,lead_mode,pre_gate_mode,pre_boost_v,pre_boost_cap_f,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,lead_mistake,0.3316,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,2.26096e-12,0.3,-0.251727,-0.251727,-1.12033e-08,-1.12033e-08,0.0482732,2.26713e-12,0.3,0.0482732,4.93718e-10,0.3,-0.251727,-0.251727,1.06551e-10,-1.06551e-10,False,False,False
error_rule_action_label1_mistake,lead_mistake,0.3316,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482732,2.26713e-12,0.3,0.0482732,4.93718e-10,0.3,-0.251727,-0.251727,1.06551e-10,-1.06551e-10,0.0482732,2.26713e-12,0.3,0.0482732,2.26096e-12,0.3,-0.251727,-0.251727,-1.12033e-08,-1.12033e-08,False,False,False
error_rule_action_label0_mistake,lead_mistake,0.34,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482733,2.26713e-12,0.3,0.0482732,2.26096e-12,0.3,-0.251727,-0.251727,-1.04634e-08,-1.04634e-08,0.0482733,2.26713e-12,0.3,0.0482733,4.93718e-10,0.3,-0.251727,-0.251727,1.15937e-10,-1.15937e-10,False,False,False
error_rule_action_label1_mistake,lead_mistake,0.34,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482733,2.26713e-12,0.3,0.0482733,4.93718e-10,0.3,-0.251727,-0.251727,1.15937e-10,-1.15937e-10,0.0482733,2.26713e-12,0.3,0.0482732,2.26096e-12,0.3,-0.251727,-0.251727,-1.04634e-08,-1.04634e-08,False,False,False
error_rule_action_label0_mistake,lead_mistake,0.3488,0.13,0.08,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.639867,0.0482733,2.26713e-12,0.3,0.0482733,2.26096e-12,0.3,-0.251727,-0.251727,-9.77977e-09,-9.77977e-09,0.0482733,2.26713e-12,0.3,0.0482733,4.93718e-10,0.3,-0.251727,-0.251727,1.22689e-10,-1.22689e-10,False,False,False
error_rule_action_label1_mistake,lead_mistake,0.3488,0.13,0.08,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.639867,0.0482733,2.26713e-12,0.3,0.0482733,4.93718e-10,0.3,-0.251727,-0.251727,1.22689e-10,-1.22689e-10,0.0482733,2.26713e-12,0.3,0.0482733,2.26096e-12,0.3,-0.251727,-0.251727,-9.77977e-09,-9.77977e-09,False,False,False
error_rule_action_label0_mistake,lead_mistake,0.3316,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.724803,0.199261,2.24437e-14,0.3,0.197865,2.2388e-14,0.3,-0.100739,-0.102135,-0.00139597,-0.00139597,0.199261,2.24437e-14,0.3,0.199229,1.4248e-11,0.3,-0.100739,-0.100771,-3.12877e-05,3.12877e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.3316,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.724803,0.199261,2.24437e-14,0.3,0.199229,1.4248e-11,0.3,-0.100739,-0.100771,-3.12877e-05,3.12877e-05,0.199261,2.24437e-14,0.3,0.197865,2.2388e-14,0.3,-0.100739,-0.102135,-0.00139597,-0.00139597,True,False,False
error_rule_action_label0_mistake,lead_mistake,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.724803,0.207207,2.24437e-14,0.3,0.205768,2.26079e-14,0.3,-0.0927931,-0.0942316,-0.00143852,-0.00143852,0.207207,2.24437e-14,0.3,0.207173,1.43806e-11,0.3,-0.0927931,-0.0928274,-3.43208e-05,3.43208e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.724803,0.207207,2.24437e-14,0.3,0.207173,1.43806e-11,0.3,-0.0927931,-0.0928274,-3.43208e-05,3.43208e-05,0.207207,2.24437e-14,0.3,0.205768,2.26079e-14,0.3,-0.0927931,-0.0942316,-0.00143852,-0.00143852,True,False,False
