theta_p,act,read_p_gain,read_p_slope,write_p_charge_v,write_p_discharge_v,theta_n,read_n_gain,read_n_slope,write_n_charge_v,write_n_discharge_v,write_mode,signed_read_gain,signed_increase_mobility,signed_decrease_mobility,signed_update_sign_aligned,signed_mobility_balance
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,-0.0003795848,-0.0,6.115120361099999e-112,False,-0.0
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,-0.0003795848,0.00024886994620202426,6.115120361099999e-112,True,2.4571550138625213e-108
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-1.199928,0.004549230243292897,6.115120361099999e-112,True,1.344209906745378e-109
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-1.199928,-7.374145738481275e-19,6.115120361099999e-112,False,-1.205887260272143e+93
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-1.199928,-1.1268563859800907e-18,6.115120361099999e-112,False,-1.842737868494529e+93
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,False,0.0
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,False,0.0
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,False,0.0
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,False,0.0
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-1.199928,-1.7380719086190767e-18,6.115120361099999e-112,False,-2.842252982746572e+93
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-1.199928,1.7427193022001574e-18,6.115120361099999e-112,True,3.5089531362737244e-94
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,False,0.0
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,-0.0003795848,0.0,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,-0.0003795848,0.00024886994620202426,-0.0008371059362651514,False,-3.363628067752371
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-1.199928,0.004549230243292897,-0.0008371059362651514,False,-0.18401045704365668
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-1.199928,-7.374145738481275e-19,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-1.199928,-1.1268563859800907e-18,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-1.199928,-1.7380719086190767e-18,-0.0008371059362651514,False,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-1.199928,1.7427193022001574e-18,-0.0008371059362651514,False,-480344674674985.0
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,0.1497520152,0.0,-0.001101945606149405,False,
