theta_p,act,read_p_gain,read_p_slope,write_p_charge_v,write_p_discharge_v,theta_n,read_n_gain,read_n_slope,write_n_charge_v,write_n_discharge_v,write_mode,signed_read_gain,signed_increase_mobility,signed_decrease_mobility,physical_gradient_increase_mobility,physical_gradient_decrease_mobility,signed_update_sign_aligned,physical_gradient_sign_aligned,signed_mobility_balance,physical_gradient_mobility_balance
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,-0.0003795848,-0.0,6.115120361099999e-112,0.0,-8.642316152731795e-221,False,False,-0.0,
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,-0.0003795848,0.00024886994620202426,6.115120361099999e-112,0.0005654006620408097,-8.642316152731795e-221,True,False,2.4571550138625213e-108,-1.528529542490703e-217
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-1.199928,0.004549230243292897,6.115120361099999e-112,0.012992909354099778,-8.642316152731795e-221,True,False,1.344209906745378e-109,-6.651563492979194e-219
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-1.199928,-7.374145738481275e-19,6.115120361099999e-112,1.637389277160678e-34,-8.642316152731795e-221,False,False,-1.205887260272143e+93,-5.27810721206019e-187
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-1.199928,-1.1268563859800907e-18,6.115120361099999e-112,2.5021238103219782e-34,-8.642316152731795e-221,False,False,-1.842737868494529e+93,-3.453992211368503e-187
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,0.0,-8.642316152731795e-221,False,False,0.0,
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,0.0,-8.642316152731795e-221,False,False,0.0,
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,0.0,-8.642316152731795e-221,False,False,0.0,
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,0.0,-8.642316152731795e-221,False,False,0.0,
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-1.199928,-1.7380719086190767e-18,6.115120361099999e-112,3.85929490280618e-34,-8.642316152731795e-221,False,False,-2.842252982746572e+93,-2.2393510655140068e-187
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-1.199928,1.7427193022001574e-18,6.115120361099999e-112,3.869614189522602e-34,-8.642316152731795e-221,True,False,3.5089531362737244e-94,-2.233379280066679e-187
0.05,0.25,-1.8232999999999998e-110,-1.4132699999999998e-109,0.0,-0.00432693,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-1.199928,0.0,6.115120361099999e-112,0.0,-8.642316152731795e-221,False,False,0.0,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,-0.0003795848,0.0,-0.0008371059362651514,0.0,-0.00023802282875186594,False,False,,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,-0.0003795848,0.00024886994620202426,-0.0008371059362651514,0.0005654006620408097,-0.00023802282875186594,False,False,-3.363628067752371,-0.42098081012626376
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-1.199928,0.004549230243292897,-0.0008371059362651514,0.012992909354099778,-0.00023802282875186594,False,False,-0.18401045704365668,-0.01831944041668853
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-1.199928,-7.374145738481275e-19,-0.0008371059362651514,1.637389277160678e-34,-0.00023802282875186594,False,False,,-1.4536728197256212e+30
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-1.199928,-1.1268563859800907e-18,-0.0008371059362651514,2.5021238103219782e-34,-0.00023802282875186594,False,False,,-9.51283176995293e+29
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,0.0,-0.00023802282875186594,False,False,,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,0.0,-0.00023802282875186594,False,False,,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,0.0,-0.00023802282875186594,False,False,,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,0.0,-0.00023802282875186594,False,False,,
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-1.199928,-1.7380719086190767e-18,-0.0008371059362651514,3.85929490280618e-34,-0.00023802282875186594,False,False,,-6.167521133945846e+29
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-1.199928,1.7427193022001574e-18,-0.0008371059362651514,3.869614189522602e-34,-0.00023802282875186594,False,False,-480344674674985.0,-6.151073907996783e+29
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0,-0.00294403,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-1.199928,0.0,-0.0008371059362651514,0.0,-0.00023802282875186594,False,False,,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,0.1497520152,0.0,-0.001101945606149405,0.0,-0.0008390169898581326,False,False,,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,0.1497520152,0.00024886994620202426,-0.001101945606149405,0.0005654006620408097,-0.0008390169898581326,False,False,-4.427797019953878,-1.4839335115556933
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-1.0497964000000002,0.004549230243292897,-0.001101945606149405,0.012992909354099778,-0.0008390169898581326,False,False,-0.2422268267854865,-0.06457498986502122
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-1.0497964000000002,-7.374145738481275e-19,-0.001101945606149405,1.637389277160678e-34,-0.0008390169898581326,False,False,,-5.124114354242222e+30
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-1.0497964000000002,-1.1268563859800907e-18,-0.001101945606149405,2.5021238103219782e-34,-0.0008390169898581326,False,False,,-3.353219318712155e+30
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,0.0,-0.0008390169898581326,False,False,,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,0.0,-0.0008390169898581326,False,False,,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,0.0,-0.0008390169898581326,False,False,,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,0.0,-0.0008390169898581326,False,False,,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-1.0497964000000002,-1.7380719086190767e-18,-0.001101945606149405,3.85929490280618e-34,-0.0008390169898581326,False,False,,-2.174016267189285e+30
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-1.0497964000000002,1.7427193022001574e-18,-0.001101945606149405,3.869614189522602e-34,-0.0008390169898581326,False,False,-632313881391119.6,-2.1682187131984932e+30
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,0.0,-0.0008390169898581326,False,False,,
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,0.4513604152,0.0,0.0002502815489669443,0.0,0.0002362432916467145,False,False,0.0,0.0
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,0.4513604152,0.00024886994620202426,0.0002502815489669443,0.0005654006620408097,0.0002362432916467145,True,True,0.9943599407517392,0.41783341886087644
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-0.7481880000000001,0.004549230243292897,0.0002502815489669443,0.012992909354099778,0.0002362432916467145,True,True,0.055016241337959085,0.01818247824319427
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-0.7481880000000001,-7.374145738481275e-19,0.0002502815489669443,1.637389277160678e-34,0.0002362432916467145,False,True,-2.946340139302561e-15,6.930945068312375e-31
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-0.7481880000000001,-1.1268563859800907e-18,0.0002502815489669443,2.5021238103219782e-34,0.0002362432916467145,False,True,-4.502355010312482e-15,1.059130099687119e-30
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-0.7481880000000001,0.0,0.0002502815489669443,0.0,0.0002362432916467145,False,False,0.0,0.0
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-0.7481880000000001,0.0,0.0002502815489669443,0.0,0.0002362432916467145,False,False,0.0,0.0
