experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,read_slope,write_discharge_v,effective_mobility
read_positive,0.05,0.25,,,,0.0,-4.55825e-111,-4.55825e-111,0.05,,,,-1.4132699999999998e-109,0.0261179,-3.691164453299999e-111
read_positive,0.1,0.25,,,,0.0,-1.16246e-110,-1.16246e-110,0.1,,,,0.2843401515151515,0.0512714,0.01457851764439394
read_positive,0.16,0.25,,,,0.0,0.0375329,0.0375329,0.16,,,,0.761396011904762,0.0800977,0.06098606934274405
read_positive,0.24,0.25,,,,0.0,0.112935,0.112935,0.24,,,,0.9439101388888885,0.116042,0.1095332203369444
read_positive,0.34,0.25,,,,0.0,0.207499,0.207499,0.34,,,,0.5386596969696966,0.156555,0.08432986885909086
read_positive,0.46,0.25,,,,0.0,0.213533,0.213533,0.46,,,,0.02514166666666673,0.197837,0.004973951908333346
read_positive,0.58,0.25,,,,0.0,0.213533,0.213533,0.58,,,,0.0,0.229967,0.0
read_positive,0.7,0.25,,,,0.0,0.213533,0.213533,0.7,,,,0.0,0.251806,0.0
read_positive,0.82,0.25,,,,0.0,0.213533,0.213533,0.82,,,,0.0,0.262897,0.0
read_positive,0.94,0.25,,,,0.0,0.213533,0.213533,0.94,,,,0.0,0.266126,0.0
read_positive,1.06,0.25,,,,0.0,0.213533,0.213533,1.06,,,,2.220446049250313e-16,0.266495,5.917377698949621e-17
read_positive,1.15,0.25,,,,0.0,0.213533,0.213533,1.15,,,,0.0,0.266582,0.0
read_negative,0.05,0.25,,,,0.299982,0.299887,9.48962e-05,0.05,,,,0.0,0.0261179,0.0
read_negative,0.1,0.25,,,,0.299982,0.299887,9.48962e-05,0.1,,,,2.2718719984848486,0.0512714,0.11648205798311607
read_negative,0.16,0.25,,,,0.299982,4.64312e-215,0.299982,0.16,,,,2.856067655238096,0.0800977,0.22876445022896444
read_negative,0.24,0.25,,,,0.299982,-1.90102e-272,0.299982,0.24,,,,-2.220446049250313e-16,0.116042,-2.5766500044710484e-17
read_negative,0.34,0.25,,,,0.299982,3.06411e-300,0.299982,0.34,,,,-2.220446049250313e-16,0.156555,-3.4762193124038276e-17
read_negative,0.46,0.25,,,,0.299982,0.0,0.299982,0.46,,,,0.0,0.197837,0.0
read_negative,0.58,0.25,,,,0.299982,0.0,0.299982,0.58,,,,0.0,0.229967,0.0
read_negative,0.7,0.25,,,,0.299982,0.0,0.299982,0.7,,,,0.0,0.251806,0.0
read_negative,0.82,0.25,,,,0.299982,0.0,0.299982,0.82,,,,0.0,0.262897,0.0
read_negative,0.94,0.25,,,,0.299982,0.0,0.299982,0.94,,,,-2.220446049250313e-16,0.266126,-5.909184253027888e-17
read_negative,1.06,0.25,,,,0.299982,0.0,0.299982,1.06,,,,2.220446049250313e-16,0.266495,5.917377698949621e-17
read_negative,1.15,0.25,,,,0.299982,0.0,0.299982,1.15,,,,0.0,0.266582,0.0
read_positive,0.05,0.5,,,,0.0,-3.88736e-112,-3.88736e-112,0.05,,,,-3.403979999999999e-111,0.0261179,-8.890480924199998e-113
read_positive,0.1,0.5,,,,0.0,-5.58935e-112,-5.58935e-112,0.1,,,,0.28434469696969694,0.0512714,0.01457875069621212
read_positive,0.16,0.5,,,,0.0,0.0375335,0.0375335,0.16,,,,0.761398511904762,0.0800977,0.06098626958699405
read_positive,0.24,0.5,,,,0.0,0.112935,0.112935,0.24,,,,0.9439104166666663,0.116042,0.1095332525708333
read_positive,0.34,0.5,,,,0.0,0.2075,0.2075,0.34,,,,0.9471083333333331,0.156555,0.14827454512499996
read_positive,0.46,0.5,,,,0.0,0.321363,0.321363,0.46,,,,0.9503208333333335,0.197837,0.1880086227041667
read_positive,0.58,0.5,,,,0.0,0.435577,0.435577,0.58,,,,0.565983333333334,0.229967,0.1301574892166668
read_positive,0.7,0.5,,,,0.0,0.457199,0.457199,0.7,,,,0.0900916666666669,0.251806,0.022685622216666725
read_positive,0.82,0.5,,,,0.0,0.457199,0.457199,0.82,,,,0.0,0.262897,0.0
read_positive,0.94,0.5,,,,0.0,0.457199,0.457199,0.94,,,,0.0,0.266126,0.0
read_positive,1.06,0.5,,,,0.0,0.457199,0.457199,1.06,,,,4.440892098500626e-16,0.266495,1.1834755397899243e-16
read_positive,1.15,0.5,,,,0.0,0.457199,0.457199,1.15,,,,0.0,0.266582,0.0
read_negative,0.05,0.5,,,,0.299982,0.299887,9.4948e-05,0.05,,,,-1.99999999986886e-09,0.0261179,-5.22357999965749e-11
read_negative,0.1,0.5,,,,0.299982,0.299887,9.49479e-05,0.1,,,,2.2718716057272728,0.0512714,0.1164820378458853
read_negative,0.16,0.5,,,,0.299982,6.84129e-220,0.299982,0.16,,,,2.8560671628571432,0.0800977,0.2287644107903826
read_negative,0.24,0.5,,,,0.299982,4.08555e-290,0.299982,0.24,,,,-2.220446049250313e-16,0.116042,-2.5766500044710484e-17
read_negative,0.34,0.5,,,,0.299982,0.0,0.299982,0.34,,,,-2.220446049250313e-16,0.156555,-3.4762193124038276e-17
read_negative,0.46,0.5,,,,0.299982,0.0,0.299982,0.46,,,,0.0,0.197837,0.0
read_negative,0.58,0.5,,,,0.299982,0.0,0.299982,0.58,,,,0.0,0.229967,0.0
read_negative,0.7,0.5,,,,0.299982,0.0,0.299982,0.7,,,,0.0,0.251806,0.0
read_negative,0.82,0.5,,,,0.299982,0.0,0.299982,0.82,,,,0.0,0.262897,0.0
read_negative,0.94,0.5,,,,0.299982,0.0,0.299982,0.94,,,,-2.220446049250313e-16,0.266126,-5.909184253027888e-17
read_negative,1.06,0.5,,,,0.299982,0.0,0.299982,1.06,,,,2.220446049250313e-16,0.266495,5.917377698949621e-17
read_negative,1.15,0.5,,,,0.299982,0.0,0.299982,1.15,,,,0.0,0.266582,0.0
read_positive,0.05,0.75,,,,0.0,7.81833e-102,7.81833e-102,0.05,,,,-1.5612484400000001e-100,0.0261179,-4.0776530631076e-102
read_positive,0.1,0.75,,,,0.0,1.20878e-104,1.20878e-104,0.1,,,,0.28434848484848485,0.0512714,0.014578944906060607
read_positive,0.16,0.75,,,,0.0,0.037534,0.037534,0.16,,,,0.7614059523809524,0.0800977,0.06098686555202381
read_positive,0.24,0.75,,,,0.0,0.112936,0.112936,0.24,,,,0.9439138888888887,0.116042,0.10953365549444444
read_positive,0.34,0.75,,,,0.0,0.207501,0.207501,0.34,,,,0.9471045454545453,0.156555,0.14827395211363634
read_positive,0.46,0.75,,,,0.0,0.321363,0.321363,0.46,,,,0.9503166666666668,0.197837,0.18800779838333337
read_positive,0.58,0.75,,,,0.0,0.435577,0.435577,0.58,,,,0.9530208333333337,0.229967,0.21916334197916673
read_positive,0.7,0.75,,,,0.0,0.550088,0.550088,0.7,,,,0.9553291666666668,0.251806,0.24055761614166668
read_positive,0.82,0.75,,,,0.0,0.664856,0.664856,0.82,,,,0.631075,0.262897,0.165907724275
read_positive,0.94,0.75,,,,0.0,0.701546,0.701546,0.94,,,,0.15287499999999943,0.266126,0.040684012249999846
read_positive,1.06,0.75,,,,0.0,0.701546,0.701546,1.06,,,,6.3492063491210615e-06,0.266495,1.6920317460090171e-06
read_positive,1.15,0.75,,,,0.0,0.701547,0.701547,1.15,,,,1.1111111111430636e-05,0.266582,2.9620222223074015e-06
read_negative,0.05,0.75,,,,0.299982,0.299887,9.49482e-05,0.05,,,,0.0,0.0261179,0.0
read_negative,0.1,0.75,,,,0.299982,0.299887,9.49482e-05,0.1,,,,2.271871604545455,0.0512714,0.11648203778529184
read_negative,0.16,0.75,,,,0.299982,2.28519e-221,0.299982,0.16,,,,2.8560671600000003,0.0800977,0.22876441056153202
read_negative,0.24,0.75,,,,0.299982,-4.81537e-295,0.299982,0.24,,,,-2.220446049250313e-16,0.116042,-2.5766500044710484e-17
read_negative,0.34,0.75,,,,0.299982,0.0,0.299982,0.34,,,,-2.220446049250313e-16,0.156555,-3.4762193124038276e-17
read_negative,0.46,0.75,,,,0.299982,0.0,0.299982,0.46,,,,0.0,0.197837,0.0
read_negative,0.58,0.75,,,,0.299982,0.0,0.299982,0.58,,,,0.0,0.229967,0.0
read_negative,0.7,0.75,,,,0.299982,0.0,0.299982,0.7,,,,0.0,0.251806,0.0
read_negative,0.82,0.75,,,,0.299982,0.0,0.299982,0.82,,,,0.0,0.262897,0.0
read_negative,0.94,0.75,,,,0.299982,0.0,0.299982,0.94,,,,-2.220446049250313e-16,0.266126,-5.909184253027888e-17
read_negative,1.06,0.75,,,,0.299982,0.0,0.299982,1.06,,,,2.220446049250313e-16,0.266495,5.917377698949621e-17
read_negative,1.15,0.75,,,,0.299982,0.0,0.299982,1.15,,,,0.0,0.266582,0.0
write_discharge,0.05,,0.65,1.0,0.02,,,,,0.05,0.0238821,0.0261179,,0.0261179,
write_discharge,0.1,,0.65,1.0,0.02,,,,,0.1,0.0487286,0.0512714,,0.0512714,
write_discharge,0.16,,0.65,1.0,0.02,,,,,0.16,0.0799023,0.0800977,,0.0800977,
write_discharge,0.24,,0.65,1.0,0.02,,,,,0.24,0.123958,0.116042,,0.116042,
write_discharge,0.34,,0.65,1.0,0.02,,,,,0.34,0.183445,0.156555,,0.156555,
write_discharge,0.46,,0.65,1.0,0.02,,,,,0.46,0.262163,0.197837,,0.197837,
write_discharge,0.58,,0.65,1.0,0.02,,,,,0.58,0.350033,0.229967,,0.229967,
write_discharge,0.7,,0.65,1.0,0.02,,,,,0.7,0.448194,0.251806,,0.251806,
write_discharge,0.82,,0.65,1.0,0.02,,,,,0.82,0.557103,0.262897,,0.262897,
write_discharge,0.94,,0.65,1.0,0.02,,,,,0.94,0.673874,0.266126,,0.266126,
write_discharge,1.06,,0.65,1.0,0.02,,,,,1.06,0.793504,0.266495,,0.266495,
write_discharge,1.15,,0.65,1.0,0.02,,,,,1.15,0.883418,0.266582,,0.266582,
