experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_positive,0.05,0.25,,,,0.0,-4.55825e-111,-4.55825e-111,0.05,,,,,,,-1.4132699999999998e-109,-1.8233e-110,-0.00432693,6.115120361099999e-112
read_positive,0.1,0.25,,,,0.0,-1.16246e-110,-1.16246e-110,0.1,,,,,,,0.2843401515151515,-4.64984e-110,-0.00294403,-0.0008371059362651514
read_positive,0.16,0.25,,,,0.0,0.0375329,0.0375329,0.16,,,,,,,0.761396011904762,0.1501316,-0.00144727,-0.001101945606149405
read_positive,0.24,0.25,,,,0.0,0.112935,0.112935,0.24,,,,,,,0.9439101388888885,0.45174,0.000265154,0.0002502815489669443
read_positive,0.34,0.25,,,,0.0,0.207499,0.207499,0.34,,,,,,,0.5386596969696966,0.829996,0.00194956,0.0010501493988242416
read_positive,0.46,0.25,,,,0.0,0.213533,0.213533,0.46,,,,,,,0.02514166666666673,0.854132,0.00328614,8.26190365000002e-05
read_positive,0.58,0.25,,,,0.0,0.213533,0.213533,0.58,,,,,,,0.0,0.854132,0.00380994,0.0
read_positive,0.7,0.25,,,,0.0,0.213533,0.213533,0.7,,,,,,,0.0,0.854132,0.00393976,0.0
read_positive,0.82,0.25,,,,0.0,0.213533,0.213533,0.82,,,,,,,0.0,0.854132,0.00404922,0.0
read_positive,0.94,0.25,,,,0.0,0.213533,0.213533,0.94,,,,,,,0.0,0.854132,0.00412665,0.0
read_positive,1.06,0.25,,,,0.0,0.213533,0.213533,1.06,,,,,,,2.220446049250313e-16,0.854132,0.00415115,9.217404617345437e-19
read_positive,1.15,0.25,,,,0.0,0.213533,0.213533,1.15,,,,,,,0.0,0.854132,0.00415163,0.0
read_negative,0.05,0.25,,,,0.299982,0.299887,9.48962e-05,0.05,,,,,,,0.0,0.0003795848,-0.00432693,-0.0
read_negative,0.1,0.25,,,,0.299982,0.299887,9.48962e-05,0.1,,,,,,,2.2718719984848486,0.0003795848,-0.00294403,-0.0066884593196993485
read_negative,0.16,0.25,,,,0.299982,4.64312e-215,0.299982,0.16,,,,,,,2.856067655238096,1.199928,-0.00144727,-0.00413350103539644
read_negative,0.24,0.25,,,,0.299982,-1.90102e-272,0.299982,0.24,,,,,,,-2.220446049250313e-16,1.199928,0.000265154,-5.887601517429175e-20
read_negative,0.34,0.25,,,,0.299982,3.06411e-300,0.299982,0.34,,,,,,,-2.220446049250313e-16,1.199928,0.00194956,-4.32889279977644e-19
read_negative,0.46,0.25,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,1.199928,0.00328614,0.0
