theta,act,read_positive_gain,read_positive_slope,read_negative_gain,read_negative_slope,write_mode,write_low_v,write_high_v,write_charge_v,write_discharge_v,signed_increase_mobility,signed_decrease_mobility,signed_update_sign_aligned,signed_mobility_balance
0.05,0.25,-1.8233e-110,-1.4132699999999998e-109,0.0003795848,0.0,bounded_discharge,0.24,0.7,0.0,-0.00432693,-0.0,6.115120361099999e-112,False,-0.0
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0003795848,2.2718719984848486,bounded_discharge,0.24,0.7,0.0,-0.00294403,-0.0066884593196993485,-0.0008371059362651514,False,
0.16,0.25,0.1501316,0.761396011904762,1.199928,2.856067655238096,bounded_discharge,0.24,0.7,0.0,-0.00144727,-0.00413350103539644,-0.001101945606149405,False,
0.24,0.25,0.45174,0.9439101388888885,1.199928,-2.220446049250313e-16,bounded_discharge,0.24,0.7,0.0,0.000265154,-5.887601517429175e-20,0.0002502815489669443,False,-2.352391353549907e-16
0.34,0.25,0.829996,0.5386596969696966,1.199928,-2.220446049250313e-16,bounded_discharge,0.24,0.7,0.0,0.00194956,-4.32889279977644e-19,0.0010501493988242416,False,-4.1221685263288386e-16
0.46,0.25,0.854132,0.02514166666666673,1.199928,0.0,bounded_discharge,0.24,0.7,0.0,0.00328614,0.0,8.26190365000002e-05,False,0.0
0.58,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.24,0.7,0.0,0.00380994,0.0,0.0,False,
0.7,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.24,0.7,0.0,0.00393976,0.0,0.0,False,
0.82,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.24,0.7,0.0,0.00404922,0.0,0.0,False,
0.94,0.25,0.854132,0.0,1.199928,-2.220446049250313e-16,bounded_discharge,0.24,0.7,0.0,0.00412665,-9.163003689138804e-19,0.0,False,
1.06,0.25,0.854132,2.220446049250313e-16,1.199928,2.220446049250313e-16,bounded_discharge,0.24,0.7,0.0,0.00415115,9.217404617345437e-19,9.217404617345437e-19,True,1.0
1.15,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.24,0.7,0.0,0.00415163,0.0,0.0,False,
0.05,0.5,-7.77472e-112,-3.403979999999999e-111,0.000189896,-1.99999999986886e-09,bounded_discharge,0.24,0.7,0.0,-0.00432693,8.653859999432566e-12,1.4728783181399996e-113,True,1.701990000111599e-102
0.1,0.5,-1.11787e-111,0.28434469696969694,0.0001898958,2.2718716057272728,bounded_discharge,0.24,0.7,0.0,-0.00294403,-0.006688458163409262,-0.0008371193182196968,False,
0.16,0.5,0.075067,0.761398511904762,0.599964,2.8560671628571432,bounded_discharge,0.24,0.7,0.0,-0.00144727,-0.004133500322788258,-0.001101949224324405,False,
0.24,0.5,0.22587,0.9439104166666663,0.599964,-2.220446049250313e-16,bounded_discharge,0.24,0.7,0.0,0.000265154,-5.887601517429175e-20,0.00025028162262083324,False,-2.352390661278658e-16
