experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_positive,0.1,0.25,,,,0.0,-1.16246e-110,-1.16246e-110,0.1,,,,,,,0.6255483333333334,-4.64984e-110,0.000109544,6.852506662666667e-05
read_positive,0.16,0.25,,,,0.0,0.0375329,0.0375329,0.16,,,,,,,0.761396011904762,0.1501316,0.00159283,0.001212774409642262
read_positive,0.24,0.25,,,,0.0,0.112935,0.112935,0.24,,,,,,,0.9439101388888885,0.45174,0.00332102,0.0031347444494527767
read_positive,0.34,0.25,,,,0.0,0.207499,0.207499,0.34,,,,,,,0.5386596969696966,0.829996,0.00507491,0.002733649482748483
read_positive,0.46,0.25,,,,0.0,0.213533,0.213533,0.46,,,,,,,0.02514166666666673,0.854132,0.00657842,0.00016539244283333374
read_positive,0.58,0.25,,,,0.0,0.213533,0.213533,0.58,,,,,,,0.0,0.854132,0.00742333,0.0
read_negative,0.1,0.25,,,,0.299982,0.299887,9.48962e-05,0.1,,,,,,,4.9981183966666665,0.0003795848,0.000109544,0.0005475138816444533
read_negative,0.16,0.25,,,,0.299982,4.64312e-215,0.299982,0.16,,,,,,,2.856067655238096,1.199928,0.00159283,0.004549230243292897
read_negative,0.24,0.25,,,,0.299982,-1.90102e-272,0.299982,0.24,,,,,,,-2.220446049250313e-16,1.199928,0.00332102,-7.374145738481275e-19
read_negative,0.34,0.25,,,,0.299982,3.06411e-300,0.299982,0.34,,,,,,,-2.220446049250313e-16,1.199928,0.00507491,-1.1268563859800907e-18
read_negative,0.46,0.25,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,1.199928,0.00657842,0.0
read_negative,0.58,0.25,,,,0.299982,0.0,0.299982,0.58,,,,,,,0.0,1.199928,0.00742333,0.0
read_positive,0.1,0.5,,,,0.0,-5.58935e-112,-5.58935e-112,0.1,,,,,,,0.6255583333333333,-1.11787e-111,0.000109544,6.852616206666666e-05
read_positive,0.16,0.5,,,,0.0,0.0375335,0.0375335,0.16,,,,,,,0.761398511904762,0.075067,0.00159283,0.001212778391717262
read_positive,0.24,0.5,,,,0.0,0.112935,0.112935,0.24,,,,,,,0.9439104166666663,0.22587,0.00332102,0.003134745371958332
read_positive,0.34,0.5,,,,0.0,0.2075,0.2075,0.34,,,,,,,0.9471083333333331,0.415,0.00507491,0.004806489551916666
read_positive,0.46,0.5,,,,0.0,0.321363,0.321363,0.46,,,,,,,0.9503208333333335,0.642726,0.00657842,0.006251609576416668
read_positive,0.58,0.5,,,,0.0,0.435577,0.435577,0.58,,,,,,,0.9517833333333336,0.871154,0.00742333,0.007065401771833336
read_negative,0.1,0.5,,,,0.299982,0.299887,9.49479e-05,0.1,,,,,,,4.998117535000001,0.0001898958,0.000109544,0.0005475137872540401
read_negative,0.16,0.5,,,,0.299982,6.84129e-220,0.299982,0.16,,,,,,,2.8560671628571432,0.599964,0.00159283,0.004549229459013743
read_negative,0.24,0.5,,,,0.299982,4.08555e-290,0.299982,0.24,,,,,,,-2.220446049250313e-16,0.599964,0.00332102,-7.374145738481275e-19
read_negative,0.34,0.5,,,,0.299982,0.0,0.299982,0.34,,,,,,,-2.220446049250313e-16,0.599964,0.00507491,-1.1268563859800907e-18
read_negative,0.46,0.5,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,0.599964,0.00657842,0.0
read_negative,0.58,0.5,,,,0.299982,0.0,0.299982,0.58,,,,,,,0.0,0.599964,0.00742333,0.0
read_positive,0.1,0.75,,,,0.0,1.20878e-104,1.20878e-104,0.1,,,,,,,0.6255666666666666,1.6117066666666666e-104,0.000109544,6.852707493333332e-05
read_positive,0.16,0.75,,,,0.0,0.037534,0.037534,0.16,,,,,,,0.7614059523809524,0.05004533333333333,0.00159283,0.0012127902431309525
read_positive,0.24,0.75,,,,0.0,0.112936,0.112936,0.24,,,,,,,0.9439138888888887,0.15058133333333332,0.00332102,0.003134756903277777
read_positive,0.34,0.75,,,,0.0,0.207501,0.207501,0.34,,,,,,,0.9471045454545453,0.27666799999999997,0.00507491,0.004806470328772726
read_positive,0.46,0.75,,,,0.0,0.321363,0.321363,0.46,,,,,,,0.9503166666666668,0.42848400000000003,0.00657842,0.006251582166333334
read_positive,0.58,0.75,,,,0.0,0.435577,0.435577,0.58,,,,,,,0.9517833333333336,0.5807693333333334,0.00742333,0.007065401771833336
read_negative,0.1,0.75,,,,0.299982,0.299887,9.49482e-05,0.1,,,,,,,4.998117530000001,0.0001265976,0.000109544,0.0005475137867063201
read_negative,0.16,0.75,,,,0.299982,2.28519e-221,0.299982,0.16,,,,,,,2.8560671600000003,0.39997600000000005,0.00159283,0.0045492294544628
read_negative,0.24,0.75,,,,0.299982,-4.81537e-295,0.299982,0.24,,,,,,,-2.220446049250313e-16,0.39997600000000005,0.00332102,-7.374145738481275e-19
read_negative,0.34,0.75,,,,0.299982,0.0,0.299982,0.34,,,,,,,-2.220446049250313e-16,0.39997600000000005,0.00507491,-1.1268563859800907e-18
read_negative,0.46,0.75,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,0.39997600000000005,0.00657842,0.0
read_negative,0.58,0.75,,,,0.299982,0.0,0.299982,0.58,,,,,,,0.0,0.39997600000000005,0.00742333,0.0
write_discharge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.0998905,0.000109544,-0.000109544,0.000109544,-0.000109544,,,0.000109544,
write_discharge,0.16,,0.65,1.0,0.0008,,,,,0.16,0.158407,0.00159283,-0.00159283,0.00159283,-0.00159283,,,0.00159283,
write_discharge,0.24,,0.65,1.0,0.0008,,,,,0.24,0.236679,0.00332102,-0.00332102,0.00332102,-0.00332102,,,0.00332102,
write_discharge,0.34,,0.65,1.0,0.0008,,,,,0.34,0.334925,0.00507491,-0.00507491,0.00507491,-0.00507491,,,0.00507491,
