experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.24,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,0.29988,0.000120076,0.115587,0.299748,0.000252142,0.112709,0.115334,0.00262505,0.00262505,0.24,0.1,0.242921,0.0998904,0.00292056,-0.000109542,0.00303011,True
pair_action_decrease,0.24,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,0.29988,0.000120076,0.112579,0.299748,0.000252142,0.112709,0.112327,-0.000382385,0.000382385,0.24,0.1,0.239735,0.101311,-0.00026515,0.00131127,-0.00157642,True
pair_action_increase,0.24,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,2.166e-14,0.3,0.115587,1.0174e-08,0.3,-0.18717,-0.184413,0.00275712,0.00275712,0.24,0.13,0.242921,0.129129,0.00292056,-0.000871102,0.00379167,True
pair_action_decrease,0.24,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,2.166e-14,0.3,0.112579,7.87197e-18,0.3,-0.18717,-0.187421,-0.000250319,0.000250319,0.24,0.13,0.239735,0.13055,-0.00026515,0.000549736,-0.000814886,True
pair_action_increase,0.24,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,-3.10887e-88,0.3,0.115587,1.9653e-87,0.3,-0.18717,-0.184413,0.00275711,0.00275711,0.24,0.16,0.242921,0.158407,0.00292056,-0.00159282,0.00451339,True
pair_action_decrease,0.24,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,-3.10887e-88,0.3,0.112579,-3.47503e-88,0.3,-0.18717,-0.187421,-0.000250319,0.000250319,0.24,0.16,0.239735,0.159832,-0.00026515,-0.000168064,-9.70854e-05,True
pair_action_increase,0.24,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,-1.39334e-112,0.3,0.115587,-9.19263e-112,0.3,-0.18717,-0.184413,0.00275711,0.00275711,0.24,0.24,0.242921,0.236679,0.00292056,-0.00332101,0.00624157,True
pair_action_decrease,0.24,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.11283,-1.39334e-112,0.3,0.112579,-5.17575e-112,0.3,-0.18717,-0.187421,-0.000250319,0.000250319,0.24,0.24,0.239735,0.238123,-0.00026515,-0.00187733,0.00161218,True
pair_action_increase,0.34,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.20739,0.29988,0.000120048,0.208318,0.299748,0.000252116,0.20727,0.208066,0.00079591,0.00079591,0.34,0.1,0.34098,0.0998904,0.000980214,-0.000109542,0.00108976,True
pair_action_decrease,0.34,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.20739,0.29988,0.000120048,0.205544,0.299748,0.000252114,0.20727,0.205292,-0.00197796,0.00197796,0.34,0.1,0.33805,0.101311,-0.00194955,0.00131127,-0.00326082,True
pair_action_increase,0.34,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.20739,2.16602e-14,0.3,0.208318,1.0174e-08,0.3,-0.0926097,-0.0916817,0.000927996,0.000927996,0.34,0.13,0.34098,0.129129,0.000980214,-0.000871102,0.00185132,True
pair_action_decrease,0.34,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.20739,2.16602e-14,0.3,0.205544,7.87213e-18,0.3,-0.0926097,-0.0944556,-0.0018459,0.0018459,0.34,0.13,0.33805,0.13055,-0.00194955,0.000549735,-0.00249929,True
pair_action_increase,0.34,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.20739,-3.07867e-88,0.3,0.208318,1.93611e-87,0.3,-0.0926097,-0.0916817,0.000927986,0.000927986,0.34,0.16,0.34098,0.158407,0.000980214,-0.00159282,0.00257304,True
pair_action_decrease,0.34,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.20739,-3.07867e-88,0.3,0.205544,-3.47503e-88,0.3,-0.0926097,-0.0944556,-0.0018459,0.0018459,0.34,0.16,0.33805,0.159832,-0.00194955,-0.000168065,-0.00178149,True
