theta,act,read_positive_gain,read_positive_slope,read_negative_gain,read_negative_slope,write_mode,write_low_v,write_high_v,write_discharge_v,write_charge_v,signed_increase_mobility,signed_decrease_mobility,physical_gradient_increase_mobility,physical_gradient_decrease_mobility,signed_update_sign_aligned,physical_gradient_sign_aligned,signed_mobility_balance,physical_gradient_mobility_balance
0.1,0.25,-4.64984e-110,0.6255483333333334,0.0003795848,4.9981183966666665,bounded_charge_discharge,0.1,0.7,0.000109544,0.00677356,0.0047847030503777865,0.03392357991355213,0.005387105826796707,0.16925443819179703,True,True,0.14104357684450472,0.03182844647590337
0.16,0.25,0.1501316,0.761396011904762,1.199928,2.856067655238096,bounded_charge_discharge,0.1,0.7,0.00159283,0.00496459,0.00832924927003516,0.015391979330160762,0.015871000765985455,0.04142017014932752,True,True,0.5411421813511599,0.38317082495720095
0.24,0.25,0.45174,0.9439101388888885,1.199928,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.00332102,0.00292056,0.0027567461952333313,0.0031347444494527763,0.00260212068402411,0.0029589170686641427,True,True,0.8794165647903353,0.8794165647903356
0.34,0.25,0.829996,0.5386596969696966,1.199928,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.00507491,0.000980208,0.0005279985442472713,0.0027336494827484826,0.00028441153584467667,0.0014725068019986658,True,True,0.19314785877976123,0.1931478587797616
0.46,0.25,0.854132,0.02514166666666673,1.199928,0.0,bounded_charge_discharge,0.1,0.7,0.00657842,-0.00035562,-8.940879500000022e-06,0.00016539244283333374,-2.2478861209583446e-07,4.1582416669014095e-06,False,False,-0.05405857333523855,-0.05405857333523856
0.58,0.25,0.854132,0.0,1.199928,0.0,bounded_charge_discharge,0.1,0.7,0.00742333,-0.000617511,0.0,0.0,0.0,0.0,False,False,,
0.1,0.5,-1.11787e-111,0.6255583333333333,0.0001898958,4.998117535000001,bounded_charge_discharge,0.1,0.7,0.000109544,0.00677356,0.004784770691587373,0.033923575172441274,0.0053871896277085975,0.16925438121876993,True,True,0.14104559048582857,0.031828952307860085
0.16,0.5,0.075067,0.761398511904762,0.599964,2.8560671628571432,bounded_charge_discharge,0.1,0.7,0.00159283,0.00496459,0.008329260897231006,0.015391980867766206,0.015871015186203357,0.04142016225006986,True,True,0.5411428826990095,0.383171246176772
0.24,0.5,0.22587,0.9439104166666663,0.599964,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.00332102,0.00292056,0.002756747006499998,0.0031347453719583317,0.002602122215549999,0.002958918810189093,True,True,0.8794165647903353,0.8794165647903355
0.34,0.5,0.415,0.9471083333333331,0.599964,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.00507491,0.000980208,0.0009283631651999987,0.004806489551916666,0.0008792604901206296,0.004552266308699872,True,True,0.19314785877976137,0.19314785877976162
0.46,0.5,0.642726,0.9503208333333335,0.599964,0.0,bounded_charge_discharge,0.1,0.7,0.00657842,-0.00035562,-0.00033795309475000005,0.006251609576416668,-0.0003211638666303991,0.005941034822334936,False,False,-0.05405857333523855,-0.05405857333523855
0.58,0.5,0.871154,0.9517833333333336,0.599964,0.0,bounded_charge_discharge,0.1,0.7,0.00742333,-0.000617511,-0.0005877366779500001,0.007065401771833336,-0.0005593979744615112,0.006724731649734774,False,False,-0.08318517430856501,-0.08318517430856502
0.1,0.75,1.6117066666666666e-104,0.6255666666666666,0.0001265976,4.998117530000001,bounded_charge_discharge,0.1,0.7,0.000109544,0.00677356,0.004784827137372986,0.03392357605144014,0.005387260243652251,0.1692543820223297,True,True,0.1410472507414164,0.03182936937456373
0.16,0.75,0.05004533333333333,0.7614059523809524,0.39997600000000005,2.8560671600000003,bounded_charge_discharge,0.1,0.7,0.00159283,0.00496459,0.008329297831593752,0.015391992704995354,0.015871071410950434,0.04142018021643152,True,True,0.5411448661153888,0.3831724373969365
0.24,0.75,0.15058133333333332,0.9439138888888887,0.39997600000000005,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.00332102,0.00292056,0.002756757147333332,0.0031347569032777766,0.0026021413596616456,0.002958940579294217,True,True,0.8794165647903354,0.8794165647903355
0.34,0.75,0.27666799999999997,0.9471045454545453,0.39997600000000005,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.00507491,0.000980208,0.0009283594522909078,0.004806470328772726,0.0008792534570804119,0.0045522298959730515,True,True,0.19314785877976137,0.19314785877976162
0.46,0.75,0.42848400000000003,0.9503166666666668,0.39997600000000005,0.0,bounded_charge_discharge,0.1,0.7,0.00657842,-0.00035562,-0.00033795161300000006,0.006251582166333334,-0.0003211610503607834,0.005940982725702673,False,False,-0.05405857333523856,-0.05405857333523855
0.58,0.75,0.5807693333333334,0.9517833333333336,0.39997600000000005,0.0,bounded_charge_discharge,0.1,0.7,0.00742333,-0.000617511,-0.0005877366779500001,0.007065401771833336,-0.0005593979744615112,0.006724731649734774,False,False,-0.08318517430856501,-0.08318517430856502
