experiment,vin,wgate,second_input,second_wgate,forced_vpre,vact,vpre_m,eact,vpre,vw0,vw1,epre
relu_transfer,,,,,0.0,3.15934e-222,0.0,0.0,,,,
relu_transfer,,,,,0.2,3.15934e-222,0.2,0.0,,,,
relu_transfer,,,,,0.35,5.54336e-223,0.35,0.0,,,,
relu_transfer,,,,,0.5,0.0321129,0.5,2.06247e-17,,,,
relu_transfer,,,,,0.65,0.0953995,0.65,1.82021e-16,,,,
relu_transfer,,,,,0.8,0.174302,0.8,6.07623e-16,,,,
relu_transfer,,,,,1.0,0.296097,1.0,1.75347e-15,,,,
single_synapse_relu,0.0,0.2,0.0,0.2,,3.15934e-222,,0.0,-4.37456e-92,0.2,0.2,7.65471e-197
single_synapse_relu,0.05,0.2,0.0,0.2,,3.15934e-222,,0.0,-4.37456e-92,0.2,0.2,7.65471e-197
single_synapse_relu,0.1,0.2,0.0,0.2,,3.15934e-222,,0.0,-4.37456e-92,0.2,0.2,7.65471e-197
single_synapse_relu,0.2,0.2,0.0,0.2,,3.15934e-222,,0.0,-4.37456e-92,0.2,0.2,7.65471e-197
single_synapse_relu,0.4,0.2,0.0,0.2,,3.15934e-222,,0.0,-4.37456e-92,0.2,0.2,7.65471e-197
single_synapse_relu,0.8,0.2,0.0,0.2,,3.15934e-222,,0.0,-4.37456e-92,0.2,0.2,7.65471e-197
single_synapse_relu,0.0,0.35,0.0,0.2,,3.15934e-222,,0.0,-4.37455e-92,0.35,0.2,7.65467e-197
single_synapse_relu,0.05,0.35,0.0,0.2,,3.15934e-222,,0.0,-4.37455e-92,0.35,0.2,7.65467e-197
single_synapse_relu,0.1,0.35,0.0,0.2,,3.15934e-222,,0.0,-4.37455e-92,0.35,0.2,7.65467e-197
single_synapse_relu,0.2,0.35,0.0,0.2,,3.15934e-222,,0.0,-4.37455e-92,0.35,0.2,7.65467e-197
single_synapse_relu,0.4,0.35,0.0,0.2,,3.15934e-222,,0.0,-4.37455e-92,0.35,0.2,7.65467e-197
single_synapse_relu,0.8,0.35,0.0,0.2,,3.15934e-222,,0.0,-4.37455e-92,0.35,0.2,7.65467e-197
single_synapse_relu,0.0,0.45,0.0,0.2,,3.81904e-234,,0.0,-4.252e-109,0.45,0.2,7.2318e-231
single_synapse_relu,0.05,0.45,0.0,0.2,,3.81904e-234,,0.0,0.00168515,0.45,0.2,1.13589e-19
single_synapse_relu,0.1,0.45,0.0,0.2,,3.81904e-234,,0.0,0.00224457,0.45,0.2,2.01523e-19
single_synapse_relu,0.2,0.45,0.0,0.2,,3.81904e-234,,0.0,0.00225096,0.45,0.2,2.02672e-19
single_synapse_relu,0.4,0.45,0.0,0.2,,3.81904e-234,,0.0,0.00226373,0.45,0.2,2.04978e-19
single_synapse_relu,0.8,0.45,0.0,0.2,,3.81904e-234,,0.0,0.00228925,0.45,0.2,2.09626e-19
single_synapse_relu,0.0,0.55,0.0,0.2,,3.81904e-234,,0.0,-1.54194e-113,0.55,0.2,9.51028e-240
single_synapse_relu,0.05,0.55,0.0,0.2,,3.81904e-234,,0.0,0.00376884,0.55,0.2,5.68167e-19
single_synapse_relu,0.1,0.55,0.0,0.2,,3.81904e-234,,0.0,0.00646491,0.55,0.2,1.6718e-18
single_synapse_relu,0.2,0.55,0.0,0.2,,3.81904e-234,,0.0,0.00860972,0.55,0.2,2.96509e-18
single_synapse_relu,0.4,0.55,0.0,0.2,,3.81904e-234,,0.0,0.00865649,0.55,0.2,2.99739e-18
single_synapse_relu,0.8,0.55,0.0,0.2,,3.81904e-234,,0.0,0.0087499,0.55,0.2,3.06243e-18
single_synapse_relu,0.0,0.7,0.0,0.2,,3.81904e-234,,0.0,-2.58432e-120,0.7,0.2,2.67148e-253
single_synapse_relu,0.05,0.7,0.0,0.2,,3.81904e-234,,0.0,0.00658768,0.7,0.2,1.7359e-18
single_synapse_relu,0.1,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0121943,0.7,0.2,5.94803e-18
single_synapse_relu,0.2,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0203887,0.7,0.2,1.66279e-17
single_synapse_relu,0.4,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0249913,0.7,0.2,2.49826e-17
single_synapse_relu,0.8,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0252462,0.7,0.2,2.54949e-17
single_synapse_relu,0.0,0.9,0.0,0.2,,3.81904e-234,,0.0,-1.283e-129,0.9,0.2,6.58434e-272
single_synapse_relu,0.05,0.9,0.0,0.2,,3.81904e-234,,0.0,0.00986478,0.9,0.2,3.89255e-18
single_synapse_relu,0.1,0.9,0.0,0.2,,3.81904e-234,,0.0,0.018879,0.9,0.2,1.42567e-17
single_synapse_relu,0.2,0.9,0.0,0.2,,3.81904e-234,,0.0,0.0342466,0.9,0.2,4.69132e-17
single_synapse_relu,0.4,0.9,0.0,0.2,,3.81904e-234,,0.0,0.0537038,0.9,0.2,1.15364e-16
single_synapse_relu,0.8,0.9,0.0,0.2,,3.81904e-234,,0.0,0.0583229,0.9,0.2,1.36062e-16
single_synapse_relu,0.0,1.1,0.0,0.2,,3.81904e-234,,0.0,-1.13779e-139,1.1,0.2,5.17824e-292
single_synapse_relu,0.05,1.1,0.0,0.2,,3.81904e-234,,0.0,0.0126925,1.1,0.2,6.44394e-18
single_synapse_relu,0.1,1.1,0.0,0.2,,3.81904e-234,,0.0,0.0246627,1.1,0.2,2.433e-17
single_synapse_relu,0.2,1.1,0.0,0.2,,3.81904e-234,,0.0,0.0463162,1.1,0.2,8.58077e-17
single_synapse_relu,0.4,1.1,0.0,0.2,,3.81904e-234,,0.0,0.079677,1.1,0.2,2.53937e-16
