experiment,vin,delta_p,delta_n,pre_before,act_before,wp_before,wn_before,gp_after_acc,gn_after_acc,wp_after_apply,wn_after_apply,pre_after,act_after,wp_final,wn_final,signed_before,signed_after,d_signed,d_act
positive_input_sweep,0.0,1.1,0.2,-8.13286e-174,1.13348e-39,0.75,0.45,0.0,0.0,0.749999,0.449999,0.0,1.33776e-66,0.749999,0.449999,0.3,0.3,-3.82199e-07,-1.13348e-39
negative_input_sweep,0.0,0.2,1.1,-8.13286e-174,1.13348e-39,0.75,0.45,0.0,0.0,0.749999,0.449999,0.0,1.33776e-66,0.749999,0.449999,0.3,0.3,-3.82199e-07,-1.13348e-39
positive_input_sweep,0.2,1.1,0.2,0.2,1.17874e-39,0.75,0.45,0.0,0.0,0.749999,0.449999,0.2,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82198e-07,-1.17874e-39
negative_input_sweep,0.2,0.2,1.1,0.2,1.17874e-39,0.75,0.45,0.0,0.0,0.749999,0.449999,0.2,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82198e-07,-1.17874e-39
positive_input_sweep,0.5,1.1,0.2,0.299131,1.17874e-39,0.75,0.45,0.132222,5.85899e-94,0.749999,0.449999,0.29913,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82203e-07,-1.17874e-39
negative_input_sweep,0.5,0.2,1.1,0.299131,1.17874e-39,0.75,0.45,5.85899e-94,0.132222,0.749999,0.449999,0.29913,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82203e-07,-1.17874e-39
positive_input_sweep,0.8,1.1,0.2,0.28892,1.17874e-39,0.75,0.45,0.402969,-9.80138e-87,0.749999,2.62341e-06,0.358872,0.00720429,0.749999,2.62341e-06,0.3,0.749996,0.449996,0.00720429
negative_input_sweep,0.8,0.2,1.1,0.28892,1.17874e-39,0.75,0.45,-9.80138e-87,0.402969,0.0528183,0.449999,-1.2101e-202,1.39118e-66,0.0528183,0.449999,0.3,-0.397181,-0.697181,-1.17874e-39
positive_input_sweep,1.0,1.1,0.2,0.286984,1.25102e-39,0.75,0.45,0.585377,-1.06805e-101,0.749999,1.6136e-45,0.358873,0.00720571,0.749999,1.6136e-45,0.3,0.749999,0.449999,0.00720571
negative_input_sweep,1.0,0.2,1.1,0.286984,1.25102e-39,0.75,0.45,-1.06805e-101,0.585377,1.60857e-44,0.449999,-1.57852e-253,1.47649e-66,1.60856e-44,0.449999,0.3,-0.449999,-0.749999,-1.25102e-39
positive_delta_sweep,0.8,0.2,0.2,0.28892,1.17874e-39,0.75,0.45,2.86281e-36,2.86281e-36,0.749999,0.449999,0.28892,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82198e-07,-1.17874e-39
positive_delta_sweep,0.8,0.45,0.2,0.28892,1.17874e-39,0.75,0.45,0.0875281,2.41665e-111,0.749999,0.449999,0.28892,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82203e-07,-1.17874e-39
positive_delta_sweep,0.8,0.7,0.2,0.28892,1.17874e-39,0.75,0.45,0.312265,-1.49293e-84,0.749999,0.449999,0.28892,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82202e-07,-1.17874e-39
positive_delta_sweep,0.8,0.9,0.2,0.28892,1.17874e-39,0.75,0.45,0.402904,-1.02858e-86,0.749999,2.75136e-06,0.358872,0.00720429,0.749999,2.75135e-06,0.3,0.749996,0.449996,0.00720429
positive_delta_sweep,0.8,1.1,0.2,0.28892,1.17874e-39,0.75,0.45,0.402969,-9.80138e-87,0.749999,2.62341e-06,0.358872,0.00720429,0.749999,2.62341e-06,0.3,0.749996,0.449996,0.00720429
negative_delta_sweep,0.8,0.2,0.2,0.28892,1.17874e-39,0.75,0.45,2.86281e-36,2.86281e-36,0.749999,0.449999,0.28892,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82198e-07,-1.17874e-39
negative_delta_sweep,0.8,0.2,0.45,0.28892,1.17874e-39,0.75,0.45,2.41665e-111,0.0875281,0.749999,0.449999,0.28892,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82203e-07,-1.17874e-39
negative_delta_sweep,0.8,0.2,0.7,0.28892,1.17874e-39,0.75,0.45,-1.49293e-84,0.312265,0.749999,0.449999,0.28892,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82202e-07,-1.17874e-39
negative_delta_sweep,0.8,0.2,0.9,0.28892,1.17874e-39,0.75,0.45,-1.02858e-86,0.402904,0.0544779,0.449999,-1.26926e-202,1.39118e-66,0.0544779,0.449999,0.3,-0.395521,-0.695521,-1.17874e-39
negative_delta_sweep,0.8,0.2,1.1,0.28892,1.17874e-39,0.75,0.45,-9.80138e-87,0.402969,0.0528183,0.449999,-1.2101e-202,1.39118e-66,0.0528183,0.449999,0.3,-0.397181,-0.697181,-1.17874e-39
balanced_low,0.8,0.2,0.2,0.28892,1.17874e-39,0.75,0.45,2.86281e-36,2.86281e-36,0.749999,0.449999,0.28892,1.39118e-66,0.749999,0.449999,0.3,0.3,-3.82198e-07,-1.17874e-39
balanced_high,0.8,1.1,1.1,0.28892,1.17874e-39,0.75,0.45,0.402969,0.402969,0.052811,0.014754,1.41286e-16,1.36141e-66,0.052811,0.014754,0.3,0.038057,-0.261943,-1.17874e-39
