cycle,phase,pattern,label,target_out,other_out,margin,active_hidden_act,correct,post_update_margin,d_margin_after_update,hidden_delta_net,max_active_hidden_weight_delta,max_active_hidden_signed_delta
0,initial_eval,0,0,0.0231761,-6.79707e-183,0.0231761,0.0867612,True,,,,,
1,initial_eval,1,1,0.0231768,-1.56166e-26,0.0231768,0.0867618,True,,,,,
2,initial_eval,2,1,0.0231774,9.64055e-51,0.0231774,0.0867625,True,,,,,
3,initial_eval,3,0,0.023178,-1.56175e-26,0.023178,0.0867632,True,,,,,
4,train,0,0,0.0231787,9.64109e-51,0.0231787,0.0867639,True,0.0234509,0.00027224,-1.13822e-40,5.17762e-09,6.40878e-06
5,train,1,1,0.0231795,-9.37272e-27,0.0231795,0.0867647,True,0.0234517,0.00027224,-5.02667e-93,5.17762e-09,6.40871e-06
6,train,2,1,0.0231803,-2.17837e-75,0.0231803,0.0867656,True,0.0234525,0.000272215,6.45942e-96,5.17761e-09,6.40865e-06
7,train,3,0,0.0231811,-9.37339e-27,0.0231811,0.0867664,True,0.0234533,0.00027224,1.58895e-96,5.17761e-09,6.40859e-06
8,final_eval,0,0,0.0231819,-2.17871e-75,0.0231819,0.0867673,True,,,,,
9,final_eval,1,1,0.0231825,-1.56205e-26,0.0231825,0.0867679,True,,,,,
10,final_eval,2,1,0.0231832,9.64297e-51,0.0231832,0.0867686,True,,,,,
11,final_eval,3,0,0.0231838,-1.55044e-26,0.0231838,0.0867693,True,,,,,
