cycle,phase,pattern,label,target_out,other_out,margin,active_hidden_act,correct,post_update_margin,d_margin_after_update,hidden_delta_net,max_active_hidden_weight_delta
0,initial_eval,0,0,0.0557115,-1.89526e-159,0.0557115,0.311289,True,,,,
1,initial_eval,1,1,0.0557009,-3.84746e-26,0.0557009,0.311278,True,,,,
2,initial_eval,2,1,0.0556902,2.37514e-50,0.0556902,0.311266,True,,,,
3,initial_eval,3,0,0.0556796,-3.87241e-26,0.0556796,0.311254,True,,,,
4,train,0,0,0.055669,2.39054e-50,0.055669,0.311242,True,0.0559591,0.000290061,0.175128,1.2822e-05
5,train,1,1,9.05551e-99,-3.82899e-26,3.82899e-26,0.311227,True,-2.36415e-50,-3.82899e-26,0.18032,1.28217e-05
6,train,2,1,2.08461e-147,-8.81446e-75,8.81446e-75,0.311212,True,-5.44234e-99,-8.81446e-75,0.180306,1.28215e-05
7,train,3,0,-2.043e-123,1.10936e-161,-2.043e-123,0.311197,False,1.26143e-147,2.043e-123,0.180292,1.28212e-05
8,final_eval,0,0,-2.91813e-165,2.55378e-210,-2.91813e-165,0.311182,False,,,,
9,final_eval,1,1,-1.5658e-234,1.78919e-189,-1.78919e-189,0.31117,False,,,,
10,final_eval,2,1,9.66611e-259,-1.10452e-213,1.10452e-213,0.311158,True,,,,
11,final_eval,3,0,6.77213e-238,-1.43644e-261,6.77213e-238,0.311146,True,,,,
