cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.14114,1.14111,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.32803e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.14145,1.14144,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.14145,1.14145,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.14146,1.14145,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.0239686,0.0219832,3.04509e-216,-0.00707833,-0.000165136,1.11738e-07,1.35115e-07,1.35115e-07,5.52561e-07
5,train,1,1,True,True,0.136057,0.128877,0.00717949,0.150274,0.159826,0.0284352,0.028275,0.12887,0.136049,True,0.071197075,0.062923,0.129432,-3.34081e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339645,0.339413,0.0239475,0.0218983,1.14945e-06,0.00760462,0.000425129,0.0557772,4.0492e-06,0.0557772,5.5256e-07
6,train,2,1,True,True,0.137043,0.130374,0.00666906,0.142618,0.150384,0.0118543,0.0117632,0.130366,0.137035,True,0.09677764999999999,0.101402,0.0690132,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,0.341484,0.341459,0.0235261,0.0216891,1.38706e-06,0.00668844,1.93861e-05,1.74574e-07,2.17312e-06,2.17312e-06,5.52559e-07
7,train,3,0,True,True,0.131897,0.138554,-0.0066571,0.14573,0.153829,0.0081789,0.00803552,0.13189,0.138546,False,0.09145848749999999,0.177599,0.0626034,0.0967092,0.0976924,0.0551296,0.112825,0.0751191,0.0539902,0.339989,0.339901,0.023123,0.0213644,1.40616e-07,-0.0065678,8.93011e-05,0.030248,4.11129e-06,0.030248,5.52558e-07
8,final_eval,0,0,False,False,0.12849,0.135429,-0.00693946,0.143396,0.152161,0.00787824,0.00770785,0.128483,0.135422,False,0.09056708749999999,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691836,0.11159,0.0941539,0.339399,0.339264,1.14167,1.1992,,,,,,,
9,final_eval,1,1,False,False,0.13594,0.128405,0.00753473,0.150276,0.160617,0.0283414,0.0283299,0.128398,0.135932,True,0.07119579999999999,0.0629215,0.12943,-3.32783e-26,0.186797,0.0107454,0.0814932,0.0435784,0.0546009,0.339639,0.339297,1.14147,1.19659,,,,,,,
10,final_eval,2,1,False,False,0.137385,0.130802,0.00658298,0.142662,0.150382,0.0118539,0.0117606,0.130795,0.137378,True,0.096776525,0.101401,0.0690116,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341434,0.341417,1.14145,1.19398,,,,,,,
11,final_eval,3,0,False,False,0.13156,0.138221,-0.00666047,0.146026,0.153826,0.00816455,0.0080439,0.131553,0.138213,False,0.09145737500000001,0.177599,0.0626016,0.096708,0.0976909,0.0551286,0.112824,0.0751182,0.0539887,0.339925,0.339868,1.14146,1.19138,,,,,,,
