cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.3508e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,1.71458e-06,-0.00635701,0.00055618,0.0827535,0.00347799,0.0827535,5.85202e-07
5,train,1,1,True,True,0.136059,0.129413,0.00664591,0.150927,0.159826,0.0284866,0.0282749,0.129406,0.136051,True,0.071197075,0.062923,0.129432,-2.02639e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339587,0.339413,0.879524,0.926418,2.2141e-06,0.00754876,0.000902842,0.0557806,0.00356109,0.0557806,5.53204e-07
6,train,2,1,True,True,0.13753,0.130871,0.00665957,0.143023,0.15077,0.0118499,0.0117544,0.130864,0.137523,True,0.09677751250000001,0.101402,0.0690122,0.150535,0.0421644,0.0842051,0.0846064,0.121206,0.121089,0.341465,0.341446,0.880414,0.925207,2.81111e-06,0.00717784,0.000518268,1.1332e-07,0.00354653,0.00354653,5.53202e-07
7,train,3,0,True,True,0.132292,0.139517,-0.00722495,0.14613,0.154626,0.00818096,0.00801485,0.132285,0.139509,False,0.0914583375,0.177599,0.0626023,0.0967092,0.0976923,0.0551296,0.112825,0.0751191,0.0539902,0.339976,0.339881,0.880019,0.925816,9.95748e-07,-0.00655179,0.000673159,0.0302343,0.00346318,0.0302343,5.53202e-07
8,final_eval,0,0,False,False,0.129703,0.136422,-0.00671918,0.144923,0.1529,0.00782723,0.00768732,0.129696,0.136414,False,0.09056732499999999,0.05877,0.194423,0.0493434,0.0992349,0.0478398,0.0691836,0.11159,0.0941539,0.339325,0.339246,1.14704,1.14704,,,,,,,
9,final_eval,1,1,False,False,0.136932,0.129453,0.00747903,0.151333,0.161462,0.0284909,0.0283248,0.129446,0.136924,True,0.07119579999999999,0.0629215,0.12943,-3.32783e-26,0.186797,0.0107454,0.0814932,0.0435784,0.0546009,0.339531,0.339275,1.13969,1.13967,,,,,,,
10,final_eval,2,1,False,False,0.137847,0.131281,0.00656604,0.143455,0.15116,0.0118405,0.0117454,0.131274,0.13784,True,0.0967764125,0.101401,0.0690107,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341401,0.341391,1.13967,1.13966,,,,,,,
11,final_eval,3,0,False,False,0.132604,0.139248,-0.00664438,0.146819,0.154625,0.00815599,0.00801464,0.132596,0.13924,False,0.09145723750000001,0.177599,0.0626005,0.096708,0.0976909,0.0551286,0.112824,0.0751182,0.0539887,0.339901,0.339839,1.13967,1.13965,,,,,,,
