cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.121767,0.128736,-0.00696868,False,0.09692490749999999,,,,,
1,initial_eval,1,1,0.121268,0.114725,0.0065427,True,0.116130125,,,,,
2,initial_eval,2,1,0.152804,0.145075,0.0077288,True,0.068718925,,,,,
3,initial_eval,3,0,0.142956,0.150584,-0.00762757,False,0.0809974,,,,,
4,train,0,0,0.121968,0.128724,-0.00675591,False,0.09692461999999999,0.222893,0.229649,0.413654,2.43901e-06,8.72816e-07
5,train,1,1,0.122136,0.329712,-0.207576,False,0.1161499,0.0143042,0.22188,0.428234,8.17628e-06,5.47974e-07
6,train,2,1,0.403815,0.386246,0.0175688,True,0.068682175,0.0176398,7.09385e-05,0.0936219,5.85379e-07,5.35446e-37
7,train,3,0,0.3844,0.401839,-0.0174382,False,0.08095454999999999,-0.0174218,1.64714e-05,0.0891309,5.85378e-07,3.50915e-07
8,train,0,0,0.342848,0.357913,-0.0150644,False,0.0969324,-0.0148104,0.000253995,0.0145528,2.45902e-06,8.71239e-07
9,train,1,1,0.342972,0.329611,0.0133606,True,0.11626714999999999,0.0134373,7.67396e-05,0.0156106,8.26495e-06,6.54183e-07
10,train,2,1,0.405943,0.388302,0.0176403,True,0.068644475,0.0176734,3.31206e-05,0.0023709,5.85371e-07,6.3244e-37
11,train,3,0,0.384143,0.401564,-0.0174201,False,0.08091105,-0.0174197,4.49617e-07,0.00224835,5.8537e-07,3.49897e-07
12,train,0,0,0.353386,0.36823,-0.0148443,False,0.09693979750000001,-0.0148229,2.13578e-05,0.00754082,2.47928e-06,8.69701e-07
13,train,1,1,0.342936,0.329509,0.0134271,True,0.116384125,0.0135097,8.25962e-05,0.0157229,8.35407e-06,7.61173e-07
14,train,2,1,0.406748,0.389074,0.0176739,True,0.068606325,0.0176399,-3.40093e-05,5.48152e-05,5.85363e-07,7.45039e-37
15,train,3,0,0.383759,0.401146,-0.0173876,False,0.08086665,-0.0173872,4.48556e-07,5.19607e-05,5.85362e-07,3.50582e-07
16,final_eval,0,0,0.353353,0.368211,-0.0148584,False,0.09694607999999999,,,,,
17,final_eval,1,1,0.343953,0.330223,0.01373,True,0.11648055,,,,,
18,final_eval,2,1,0.407935,0.390181,0.0177534,True,0.068605125,,,,,
19,final_eval,3,0,0.383755,0.401143,-0.0173876,False,0.0808652,,,,,
