cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.3508e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,3.59703e-07,3.27641e-07,-0.0065355,0.00037769,0.165335,3.63609e-06,0.165335,5.88137e-07
5,train,1,1,True,True,0.136056,0.128977,0.00707808,0.150866,0.159824,0.0285599,0.0281922,0.12897,0.136048,True,0.071197075,0.062923,0.129432,-2.0758e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339538,0.339442,0.878241,0.928288,4.43382e-07,3.2714e-07,0.00783172,0.000753635,0.111415,3.42799e-06,0.111415,5.53196e-07
6,train,2,1,True,True,0.137041,0.130375,0.00666601,0.142665,0.150383,0.011865,0.0117616,0.130368,0.137033,True,0.09677751250000001,0.101402,0.0690122,0.150535,0.0421644,0.0842051,0.0846064,0.121206,0.121089,0.341473,0.341459,0.880091,0.925644,4.40842e-07,9.98578e-48,0.00668604,2.00261e-05,2.37256e-07,3.43273e-06,3.43273e-06,5.53203e-07
7,train,3,0,True,True,0.131794,0.138527,-0.00673301,0.145757,0.153938,0.00817878,0.00803343,0.131787,0.13852,False,0.091458325,0.177599,0.0626022,0.0967092,0.0976923,0.0551296,0.112825,0.0751191,0.0539902,0.339984,0.339884,0.880805,0.924695,4.40618e-08,4.0122e-08,-0.0066075,0.000125507,0.0604677,3.62605e-06,0.0604677,5.53202e-07
8,final_eval,0,0,False,False,0.12898,0.135437,-0.00645667,0.145288,0.152268,0.00777932,0.00778098,0.128973,0.135429,False,0.09056732499999999,0.05877,0.194423,0.0493434,0.0992349,0.0478398,0.0691836,0.11159,0.0941539,0.339273,0.33931,1.14821,1.1482,,,,,,,,
9,final_eval,1,1,False,False,0.136272,0.128511,0.00776105,0.150873,0.161586,0.0283346,0.0283182,0.128504,0.136265,True,0.07119579999999999,0.0629215,0.12943,-3.32785e-26,0.186797,0.0107454,0.0814932,0.0435784,0.0546009,0.339586,0.339233,1.1397,1.13967,,,,,,,,
10,final_eval,2,1,False,False,0.137384,0.130806,0.00657774,0.142758,0.150381,0.0118643,0.0117561,0.130799,0.137376,True,0.09677638749999999,0.101401,0.0690106,0.150534,0.0421629,0.0842042,0.0846054,0.121205,0.121088,0.341413,0.341417,1.13966,1.13966,,,,,,,,
11,final_eval,3,0,False,False,0.131621,0.138229,-0.00660756,0.14638,0.153935,0.00814886,0.00805148,0.131614,0.138221,False,0.09145723750000001,0.177599,0.0626005,0.096708,0.0976909,0.0551286,0.112824,0.0751182,0.0539887,0.339895,0.339859,1.13968,1.13966,,,,,,,,
